20151101
67         BAS RHIN                      
PLACE      DE L EGLISE                
RUE        DE L EGLISE                
IMPASSE    DU MUCKENBACH              
RUE        DES JARDINS                
RUE        DU MAEDERSBACH             
RUE        DU MOULIN                  
RUE        DE L ERLENBACH             
RUE        DE LA FONTAINE             
RUE        PRINCIPALE                 
RUE        DU SONNENBACH              
RUE        DU STEINACKER              
PLACE      DU TILLEUL                 
CF         MAISON FOREST UNGERSBERG   
RUE        VOLOTAL                    
ROUTE      DE VILLE                   
RUE        PAUL EGGER                 
RUE        DES VIGNES                 
           commune :     ALLENWILLER                    departement : BAS RHIN                      
LIEU-DIT   ALTE KUPP                  
LIEU-DIT   ALTE LEHMGRUBE             
LIEU-DIT   ALTWICK                    
LIEU-DIT   ABLASS                     
LIEU-DIT   AUGSTBERG                  
LIEU-DIT   BECKENWALD                 
LIEU-DIT   BIRKFELD                   
LIEU-DIT   BITZ                       
LIEU-DIT   BOLLAND                    
LIEU-DIT   BOTWEIDE                   
LIEU-DIT   BURACKER                   
LIEU-DIT   ENGELSWEG                  
LIEU-DIT   ERBSACKER                  
LIEU-DIT   ENDENPFUHL                 
LIEU-DIT   FINKENSCHLAG               
LIEU-DIT   FRAUENMATT                 
LIEU-DIT   GALGENFELD                 
LIEU-DIT   GALGENPFAD                 
LIEU-DIT   GEISBERG                   
LIEU-DIT   GEISSACKER                 
LIEU-DIT   GEMEINDESCHLAG             
LIEU-DIT   GERENPFAD                  
LIEU-DIT   GRAEBLING                  
LIEU-DIT   GROSSMATT                  
LIEU-DIT   HAEGEL                     
LIEU-DIT   HASELN                     
LIEU-DIT   HEIDEBUCKEL                
LIEU-DIT   HEILIGES BAUMFELD          
LIEU-DIT   HERRENWEG                  
LIEU-DIT   HERRMANNSPIESS             
LIEU-DIT   HINTERLIES                 
LIEU-DIT   HINTERWINKEL               
LIEU-DIT   HIRSCHBERG                 
LIEU-DIT   HOERNERT                   
LIEU-DIT   HOHWAND                    
LIEU-DIT   HUEHNERBERG                
LIEU-DIT   HUETT                      
LIEU-DIT   KATZENBERG                 
LIEU-DIT   KLAMM                      
LIEU-DIT   KLAMMGROSSMATT             
LIEU-DIT   KLEINALLMEND               
LIEU-DIT   KLEINBIRKFELD              
LIEU-DIT   KOELLMATT                  
LIEU-DIT   KRAUTSTUECKER              
LIEU-DIT   KRUMMENRAIN                
LIEU-DIT   LANGENACKER                
LIEU-DIT   LERCHENBERG                
LIEU-DIT   MITTELMATT                 
LIEU-DIT   MOLSENLIND                 
LIEU-DIT   OBEN AM MUENSTERWEG        
LIEU-DIT   RAMMELSBACH                
LIEU-DIT   RAMMELSBACHRAIN            
LIEU-DIT   SCEUERGIEBEL               
LIEU-DIT   SCHWARZDORNHECKE           
LIEU-DIT   SEELMATT                   
LIEU-DIT   SINGRISTERPLATZ            
LIEU-DIT   STEIGENWEG                 
LIEU-DIT   STEINGRUBE                 
LIEU-DIT   STRAENG                    
LIEU-DIT   TRAENKE                    
LIEU-DIT   VIERACKER                  
LIEU-DIT   VILLAGE                    
LIEU-DIT   VOR DEN REBEN              
LIEU-DIT   VORDERWINKEL               
LIEU-DIT   WEIHERMATT                 
LIEU-DIT   WEISSER MARKSTEIN          
LIEU-DIT   ZOLLERSMATT                
RUE        DE LA BERGERIE             
RUE        DE BIRKENWALD              
RUE        DE LA CEINTURE             
RUE        DU CHATEAU D EAU           
RUE        DU CIMETIERE               
RUE        PRINCIPALE                 
RUE        DE LA FORET                
