20151101
RUE        DU FOUR A PAIN             
ROUTE      DE GUEUTTEVILLE            
RUE        D HUGLEVILLE EN CAUX       
PLACE      DE LA MAIRIE               
RUE        DES MAISONNETTES           
ROUTE      DU MONT ROUGE              
ROUTE      DES MOULINS BRISES         
RUE        NOTRE DAME                 
IMPASSE    DU TILLEUL                 
RUE        DE VARVANNES               
ROUTE      DE YERVILLE                
           commune :     ANCRETTEVILLE-SUR-MER          departement : SEINE MARITIME                
LIEU-DIT   CHAMP DE PARIS             
LIEU-DIT   ECOMBARVILLE               
LIEU-DIT   MARE HERTOT                
LIEU-DIT   LA MARE HERTOT             
LIEU-DIT   PLAINE D ANCRETTEVILLE     
LIEU-DIT   TERRES LEPICARD            
LIEU-DIT   VILLAGE                    
CHEMIN     D ANGERVAL                 
RUE        D ASKETILL                 
RUE        DU CALVAIRE                
CHEMIN     DES DALLES                 
ROUTE      D ECRETTEVILLE             
RUE        D ESCOMBARDEVILLE          
CHEMIN     DES FORRIERES              
RUE        DE LA MAIRIE               
CHEMIN     DU MANEGE                  
CHEMIN     DE LA MARE AU CORNU        
ROUTE      DE SAINT PIERRE            
ROUTE      DE SASSETOT                
           commune :     ANGERVILLE BAILLEUL            departement : SEINE MARITIME                
LOT        ALLAIS                     
LIEU-DIT   LE CHATEAU                 
LIEU-DIT   DUFRESNE                   
LIEU-DIT   FERME LE MASSIF            
LIEU-DIT   HAMEAU D ENFER             
LIEU-DIT   HAMEAU DE FROIDURE         
LIEU-DIT   HAMEAU DE L ETANG          
LIEU-DIT   LE HAUT LIMARD             
LIEU-DIT   ROQUEFORT                  
LIEU-DIT   TERRES DU CHATEAU          
LIEU-DIT   LE VILLAGE                 
ROUTE      DE SAINT MACLOU            
SENTIER    RURALE 12                  
CR         17                         
CHEMIN     DE  LA CARRIERE            
ROUTE      DU CHATEAU                 
CHEMIN     DU CHATEAU                 
ROUTE      DUFRESNE                   
ROUTE      DE L'ECOLE                 
CHEMIN     DE L'EGLISE                
CHEMIN     DE L'ENFER                 
CHEMIN     DE L'ETANG                 
SENTIER    DE L'ETANG                 
CHEMIN     DE LA FORGE A L'ETANG      
CHEMIN     DES FROIDURES              
SENTIER    DES FROIDURES              
CHEMIN     DE LA MARE                 
ROUTE      DE LA STATION              
           commune :     ANGERVILLE-LA-MARTEL           departement : SEINE MARITIME                
LOT        LES COQUELICOTS            
           LOTISSEMENT DES PRIMEVERES 
LIEU-DIT   ANGERVILLE                 
LIEU-DIT   LE BOUT VENTEUX            
LIEU-DIT   CHAMP DE FOIRE             
LIEU-DIT   CLOS DU BUISSON            
LIEU-DIT   DAUBEUF                    
LIEU-DIT   AU DESSOUS DES LUNETTES    
LIEU-DIT   LA FOSSE CAPRON            
LIEU-DIT   FOSSE CAPRON               
LIEU-DIT   HAMEAU DE LIMERVILLE       
LIEU-DIT   HAMEAU ET PLAINE DE LIMERV 
LIEU-DIT   LES HATES                  
LIEU-DIT   LIMERVILLE                 
LIEU-DIT   LIMEVILLE                  
LIEU-DIT   LES LUNETTES               
LIEU-DIT   LA MARE AUX SANGSUES       
LIEU-DIT   MIQUETOT                   
LIEU-DIT   LES PIECES DE LA SENTE     
LIEU-DIT   PIECES DE LA SENTE         
LIEU-DIT   LA PLAINE D ANGERVILLE     
LIEU-DIT   PLAINE D YPREVILLE         
LIEU-DIT   LA PLAINE DE DAUBEUF       
LIEU-DIT   PLAINE DE LIMERVILLE       
LIEU-DIT   LA PLAINE DU CALVAIRE      
LIEU-DIT   PLAINE DU CALVAIRE         
LIEU-DIT   PRES DE MIQUETOT           
