20151101
52         HAUTE MARNE                   
LIEU-DIT   SUR LE CHEMIN LE MOINE     
LIEU-DIT   LES CHENEVRITS             
LIEU-DIT   LE CLOS                    
LIEU-DIT   CLOS JOBLIN                
LIEU-DIT   LA COGNOTTE                
LIEU-DIT   LA COMBE                   
LIEU-DIT   SUR LA COMBE A L ANE       
LIEU-DIT   COMBE BEVAUX               
LIEU-DIT   LA COMBE DE L ANE          
LIEU-DIT   COMBE DES REES             
LIEU-DIT   COMBE DE SIGNEVILLE        
LIEU-DIT   COMBE JEAN ANTOINE         
LIEU-DIT   COMBE JEAN MARCHE          
LIEU-DIT   COMBE L OLIVIER            
LIEU-DIT   SUR LA COMBE L OLIVIER     
LIEU-DIT   SUR LA COMBE LE CURE       
LIEU-DIT   COMBE LE CURE              
LIEU-DIT   COMBE MURAT                
LIEU-DIT   LA COMBE RENARD            
LIEU-DIT   LA COMBE SAVATTE           
LIEU-DIT   SUR LA COMBE SAVATTE       
LIEU-DIT   LES COMBELLES              
LIEU-DIT   LES COMBELLES SUD          
LIEU-DIT   LA COMBOTTE                
LIEU-DIT   LA COTE                    
LIEU-DIT   COTE AUX CHATS             
LIEU-DIT   SUR LA COTE AUX CHATS EST  
LIEU-DIT   SUR LA COTE AUX CHATS OUES 
LIEU-DIT   COTE AUX DIABLES           
LIEU-DIT   SUR LE COTE BOURGEOT       
LIEU-DIT   COTE BRAUX                 
LIEU-DIT   COTE CHARLOT               
LIEU-DIT   LA COTE DES VIGNES         
LIEU-DIT   COTE GAMBIEY               
LIEU-DIT   LE COTE SOLEIL             
LIEU-DIT   COTEAU DE SIGNEVILLE       
LIEU-DIT   SUR LE COTEAU DES GDES COM 
LIEU-DIT   COTEAU DES GRANDES COMBES  
LIEU-DIT   COTEAU DU BOURBOU          
LIEU-DIT   COTEAU GUILLANDOT          
LIEU-DIT   LES COTEAUX                
LIEU-DIT   LES COTEAUX DE SAINT-CLAUD 
LIEU-DIT   LA CRAA                    
LIEU-DIT   SUR LA CRAA                
LIEU-DIT   CROIX CABOT                
LIEU-DIT   CROIX SAINTE BARBE         
LIEU-DIT   LES CROTES                 
LIEU-DIT   DERRIERE BEVAUX            
LIEU-DIT   DERRIERE LA TETE DES CHENI 
LIEU-DIT   DERRIERE LA TETE MARTIN    
LIEU-DIT   DERRIERE LES BUISSONS RENA 
LIEU-DIT   DERRIERE MONTECLAIR        
LIEU-DIT   DEVANT BEVAUX              
LIEU-DIT   BELLE EPINE                
LIEU-DIT   ENTREE DE LA COMBE A L ANE 
LIEU-DIT   ENTREE DE LA CRAA          
LIEU-DIT   ENTREE DE LA MONTAGNE      
LIEU-DIT   ENTREE DES HERBUES         
LIEU-DIT   ENTREE DU PERLET           
LIEU-DIT   SUR L ETANG                
LIEU-DIT   L EVANGILE                 
LIEU-DIT   LE FAYS                    
LIEU-DIT   FERME DE BEVAUX            
LIEU-DIT   FOND DE LA COMBE JEAN ANTO 
LIEU-DIT   FOND DE LA MONTAGNE        
LIEU-DIT   FOND DE VILLET             
LIEU-DIT   FOND DES GRANDES COMBES    
LIEU-DIT   FONTAINE AUX VOIES         
LIEU-DIT   SUR LA FONTAINE FALLOT     
LIEU-DIT   FONTAINE FALLOT            
LIEU-DIT   FORGE DE MORTEAU           
LIEU-DIT   LE FORT BEVAUX             
LIEU-DIT   SUR LA FOUCHERE            
LIEU-DIT   LA FOUCHERE                
LIEU-DIT   FOUR A CHAUX               
LIEU-DIT   LES FOURCHES               
LIEU-DIT   LE GODE MINOT              
LIEU-DIT   GONDE FONTAINE EST         
LIEU-DIT   GONDE FONTAINE OUEST       
LIEU-DIT   LE GRAND BANC              
LIEU-DIT   LE GRAND CHEMIN            
LIEU-DIT   SUR LE GRAND JARDIN        
LIEU-DIT   LE GRAND JARDIN            
LIEU-DIT   LA GRANDE MOUILLIERE       
LIEU-DIT   LES GRANDES COMBES         
LIEU-DIT   GRANDES NOUES              
LIEU-DIT   LA GRIPERIE                
LIEU-DIT   LE GRIPOT                  
LIEU-DIT   LE GROS BUISSON            
LIEU-DIT   LE HAUT CHEMIN             
LIEU-DIT   LA HAUTE BORNE             
LIEU-DIT   LES HERBUES DE BLANCHEVILL 
LIEU-DIT   LES JOURNAUX               
LIEU-DIT   LA LAVIERE                 
LIEU-DIT   SUR LA LEVEE D ECOT        
LIEU-DIT   LA MADELEINE               
LIEU-DIT   LES MASURES                
LIEU-DIT   LE MATELOT                 
LIEU-DIT   LE MAUFRE                  
LIEU-DIT   LES MEDELLES               
LIEU-DIT   LES MEGRILLIENES           
LIEU-DIT   LES MENUS BOIS NORD        
LIEU-DIT   LES MENUS BOIS SUD         
LIEU-DIT   MESANGEON                  
LIEU-DIT   LA MONTAGNE EST            
LIEU-DIT   LA MONTAGNE OUEST          
LIEU-DIT   MONTECLAIR                 
LIEU-DIT   LE MONTIGNY                
LIEU-DIT   MOULIN A VENT              
LIEU-DIT   LES NONNOTTES              
LIEU-DIT   LE NOYER                   
LIEU-DIT   PENDANT DU HT ARBRE GDE MO 
