20151101
24         DORDOGNE                      
LIEU-DIT   LA CHAPELLE VERLAINE       
           commune :     AGONAC                         departement : DORDOGNE                      
LIEU-DIT   L ALLEE                    
LIEU-DIT   BARBESSOU                  
LIEU-DIT   BAS VAURE                  
LIEU-DIT   LES BAYSSES                
LIEU-DIT   BEAUCHEVALIER              
LIEU-DIT   BEAUROUCHOU BAS            
LIEU-DIT   BEAUROUCHOU HAUT           
LIEU-DIT   BERZAC                     
LIEU-DIT   LE BOIS                    
LIEU-DIT   BOIS DE CHABAN             
LIEU-DIT   BOIS DE GALABERT           
LIEU-DIT   LA BOISSIERE               
LIEU-DIT   LES BONNELIES              
LIEU-DIT   LES BORDES                 
LIEU-DIT   BORIE DE DOMME             
LIEU-DIT   BORIE DES CAILLOUX         
LIEU-DIT   BORIE NEUVE                
LIEU-DIT   BORIE VIEILLE              
LIEU-DIT   BOSQUELY                   
LIEU-DIT   BOURBOU                    
LIEU-DIT   LE BOURG                   
LIEU-DIT   LA BOURGEADE               
LIEU-DIT   BOUYGES                    
LIEU-DIT   BRACOU                     
LIEU-DIT   BROUDISSOUX                
LIEU-DIT   BUFFIER                    
LIEU-DIT   LES CACAROTTES             
LIEU-DIT   CADAGNES                   
LIEU-DIT   LES COMBELLES              
LIEU-DIT   LES CARASSONNES            
LIEU-DIT   CHABERLIN                  
LIEU-DIT   CHAMPERTIN                 
LIEU-DIT   CHANTEGREL                 
LIEU-DIT   CHATEAU DE LA PORTE        
LIEU-DIT   CHATOURTEAU                
LIEU-DIT   CHAULY                     
LIEU-DIT   LE CLAUD PERIER            
LIEU-DIT   CLAUZELON                  
LIEU-DIT   CLUZEAU BAS                
LIEU-DIT   CLUZEAU HAUT               
LIEU-DIT   LES COMBALOUS              
LIEU-DIT   LES COMBALOUS EST          
LIEU-DIT   LA COMBE                   
LIEU-DIT   COMBE DE BORIE             
LIEU-DIT   COMBE DU SOUDART           
LIEU-DIT   LES COMBES EST             
LIEU-DIT   LES COMBES OUEST           
LIEU-DIT   LES COMMUNAUX              
LIEU-DIT   COUGOUZAC                  
LIEU-DIT   COUYES                     
