20151101
46         LOT                           
LIEU-DIT   LAS GRAVES                 
LIEU-DIT   LAS MILLALS                
LIEU-DIT   LAUBANNIE                  
LIEU-DIT   LENDEVIOS                  
LIEU-DIT   LESPINASSE                 
LIEU-DIT   MARTELS                    
LIEU-DIT   MAS DE CUSSOU              
LIEU-DIT   MAS DE LARTILLOU           
LIEU-DIT   MAS DE PEYRE               
LIEU-DIT   MAURELLE                   
LIEU-DIT   MOULI DE ROUCAUX           
LIEU-DIT   MOULI DE VERDUN            
LIEU-DIT   MOULI VIEL                 
LIEU-DIT   MOULIN DE LAPERGUE         
LIEU-DIT   AU MOULIN VIEUX            
LIEU-DIT   PARTIS                     
LIEU-DIT   PECH LA RODE               
LIEU-DIT   PECH PIALAT                
LIEU-DIT   LES PLACES                 
LIEU-DIT   PRE GRAND                  
LIEU-DIT   ROUCAUX                    
LIEU-DIT   SARATIE                    
LIEU-DIT   SEGALA                     
LIEU-DIT   SIMON                      
LIEU-DIT   SOUYNALE                   
LIEU-DIT   LE SUT                     
LIEU-DIT   LE TERRAL                  
LIEU-DIT   LES TEULIERES              
LIEU-DIT   TOURENE                    
LIEU-DIT   TRAVERS                    
LIEU-DIT   LE VIGNAL                  
LIEU-DIT   VIGNE DE LA CROSE          
LIEU-DIT   VIGNOTE                    
LIEU-DIT   FEULIERES                  
LIEU-DIT   VIEILLE MAISON             
LIEU-DIT   LE SICOUTE                 
LIEU-DIT   LE BOURG                   
           commune :     ANGLARS-JUILLAC                departement : LOT                           
LIEU-DIT   ANGLARS BOURG              
LIEU-DIT   LES BARADES                
LIEU-DIT   LES BARRADES               
LIEU-DIT   BOIS D'ANGLARS             
LIEU-DIT   BOSC REDON                 
LIEU-DIT   BROUILLET                  
LIEU-DIT   CAMP BAS                   
LIEU-DIT   CARAYROU                   
LIEU-DIT   AU CARREFOUR               
LIEU-DIT   CARROS                     
LIEU-DIT   CARROUSSEL                 
LIEU-DIT   LE CAU                     
LIEU-DIT   LES CAYROUSES              
LIEU-DIT   CHAMP GRAND                
LIEU-DIT   CHATAIGNAL                 
LIEU-DIT   CLAU DE FLOIRAS            
LIEU-DIT   CLAU DEL LOUP              
LIEU-DIT   COMBE ALIBERT              
LIEU-DIT   COMBE DELBAT               
LIEU-DIT   COMBE POUZET               
LIEU-DIT   COMBEL ROCHE               
LIEU-DIT   CROIX DEL COUET            
LIEU-DIT   ENCLOS D'ALBIGNE           
LIEU-DIT   EN GARENNE                 
LIEU-DIT   LES GARENNES NORD          
LIEU-DIT   LES GARENNES SUD           
LIEU-DIT   LES GRANGES                
LIEU-DIT   LA GRAVE                   
LIEU-DIT   LES GRAVES                 
LIEU-DIT   JUILLAC                    
LIEU-DIT   LABORIE                    
LIEU-DIT   LA LACADE                  
LIEU-DIT   LAS BORIOS                 
LIEU-DIT   LAS GARENNES               
LIEU-DIT   LAS PEYRIERES              
LIEU-DIT   LAS PEYRUGUES              
LIEU-DIT   LERET                      
LIEU-DIT   MALAYRIES BASSES           
LIEU-DIT   MALAYRIES HAUTES           
LIEU-DIT   MAS DE BOUYSSOU            
LIEU-DIT   MAS DE FANTOU              
LIEU-DIT   MAYNE                      
LIEU-DIT   MAYNE DE GRANIE            
LIEU-DIT   MAYNE DE LAFON             
LIEU-DIT   METAIRIE HAUTE             
LIEU-DIT   NOYER TORD                 
LIEU-DIT   LE PALAIS                  
LIEU-DIT   PEYRE MAILLET              
LIEU-DIT   LES PEYRIERES              
LIEU-DIT   PLANTOU                    
LIEU-DIT   PORT DE CASTELFRANC        
LIEU-DIT   ROUSSILLON                 
LIEU-DIT   LE SAULOU                  
LIEU-DIT   A LA SUS                   
LIEU-DIT   TERRE GRANDE               
LIEU-DIT   TOURONDEL                  
LIEU-DIT   TRAVERS D'EMBALOUS         
LIEU-DIT   TUILERIE                   
LIEU-DIT   THOUARS                    
PLACE      DE L'EGLISE                
           commune :     ANGLARS-NOZAC                  departement : LOT                           
LIEU-DIT   ANGLARS                    
LIEU-DIT   AUNIAC                     
LIEU-DIT   LES BALMES                 
LIEU-DIT   LE BAS                     
LIEU-DIT   BOURBON                    
LIEU-DIT   LES BRUGUES                
LIEU-DIT   LES CASTAGNALS             
LIEU-DIT   CHAMP DE MOURLHON          
LIEU-DIT   CHAMP DU PIGEONNIER        
LIEU-DIT   LE CHAMP GRAND             
LIEU-DIT   LA CONDAMINE               
LIEU-DIT   FONT BONNE                 
LIEU-DIT   FONT VIEILLE               
LIEU-DIT   FUN BOUILLEN               
LIEU-DIT   LA GRANDE VIGNE            
LIEU-DIT   GRANGIE                    
LIEU-DIT   GRAULIERES                 
LIEU-DIT   LE JALOT                   
LIEU-DIT   LE JAYLE                   
LIEU-DIT   LABORIE BLANCHE            
LIEU-DIT   LAGARDELLE                 
LIEU-DIT   LES LANDES                 
LIEU-DIT   LAVAYSSIERE                
LIEU-DIT   LE MOULIN GRAND            
LIEU-DIT   MOURLHON                   
LIEU-DIT   NOZAC                      
LIEU-DIT   LES PARROUCOTS             
LIEU-DIT   PECH PIALAT                
LIEU-DIT   PIERRE LEVEE               
LIEU-DIT   LA PLATELLE                
LIEU-DIT   LES PRADETS                
LIEU-DIT   LES QUATRE                 
LIEU-DIT   RATE PENADES               
LIEU-DIT   ROQUEDURE                  
LIEU-DIT   LA ROUDIE                  
LIEU-DIT   LE TREIL                   
LIEU-DIT   TUQUE DE LA ROUDIE         
LIEU-DIT   VALMIERES                  
LIEU-DIT   VAYSSAC                    
LIEU-DIT   HAMEAU DE VAYSSAC          
LIEU-DIT   COUDERC                    
LIEU-DIT   ROUFFILHAC                 
LIEU-DIT   HAMEAU DE NOZAC            
LIEU-DIT   PEYRELEVADE                
LIEU-DIT   LES PLACES                 
LIEU-DIT   LE PONT D AUNIAC           
           LOTISSEMENT LES GRAULIERES 
           commune :     ARCAMBAL                       departement : LOT                           
LIEU-DIT   LA BALME                   
LIEU-DIT   BARROUILLET                
LIEU-DIT   LA BARTE                   
LIEU-DIT   BEARS                      
LIEU-DIT   LA BEOURADE                
LIEU-DIT   BIGORROQUES                
LIEU-DIT   BONNAC                     
LIEU-DIT   LA BORIE HAUTE             
LIEU-DIT   LE BOUSQUET                
LIEU-DIT   LES BOUYGUES               
LIEU-DIT   CAMP DE BONTEMPS           
LIEU-DIT   CAMP DE LAS TEOULOS        
LIEU-DIT   CAMP DE MARTI              
LIEU-DIT   CAP DE LA RIVIERE          
LIEU-DIT   LES CARATIES               
LIEU-DIT   LE CARRY                   
LIEU-DIT   LE CAUSSE                  
LIEU-DIT   CEVENE DE PASTURAT         
LIEU-DIT   CEVENES DE BEARS           
LIEU-DIT   CEVENES DE MONDIES         
LIEU-DIT   CEVENES DES ESCALLES       
LIEU-DIT   LES CLAUX HAUTS            
LIEU-DIT   LES CLEDOUS                
LIEU-DIT   LES CLOUPS                 
LIEU-DIT   LE COLOMBIER               
LIEU-DIT   LES COMBALS                
LIEU-DIT   COMBE DU PUITS             
LIEU-DIT   COMBE DU TREBOULOU         
LIEU-DIT   COMBE ESCURE               
LIEU-DIT   COMBE MEGERE               
LIEU-DIT   LE COMBEL                  
LIEU-DIT   COMBEL DE FLORINE          
LIEU-DIT   COMBEL DE FLORY            
LIEU-DIT   COMBEL DE RENEZAL          
LIEU-DIT   COMBEL FOURCAT             
LIEU-DIT   COMMUNAL                   
LIEU-DIT   LA COSTE                   
LIEU-DIT   LES COTES                  
LIEU-DIT   LE COURPOU                 
LIEU-DIT   CROIX DE FER               
LIEU-DIT   LA DEZEVE                  
LIEU-DIT   LA DURE                    
LIEU-DIT   FEUTALLES                  
LIEU-DIT   FOND DE RIVIERE            
LIEU-DIT   FOND DU ROUMEGAS           
LIEU-DIT   FOURATES                   
LIEU-DIT   GALASSOU                   
LIEU-DIT   GALESSIE                   
LIEU-DIT   GALESSIE BAS               
LIEU-DIT   GALESSIE HAUT              
LIEU-DIT   GALIGNIERES                
LIEU-DIT   LES GALINIERES             
LIEU-DIT   GAMASSADE                  
LIEU-DIT   LA GARENE                  
LIEU-DIT   LES GRAVES                 
LIEU-DIT   LE GREZAL                  
LIEU-DIT   LES GUILLOUNES             
LIEU-DIT   L'IGUE                     
LIEU-DIT   LAC DE LERGNE              
LIEU-DIT   LAUMET                     
LIEU-DIT   LESCLOT                    
LIEU-DIT   MALE TERRE                 
LIEU-DIT   MAS DE BARTE               
LIEU-DIT   MAS DE TOULZA              
LIEU-DIT   LES MAZUTS                 
LIEU-DIT   LES MAZUTS SUD             
LIEU-DIT   MIDY DES RAXOLS            
LIEU-DIT   MONDIES                    
LIEU-DIT   PARRAYNE                   
LIEU-DIT   LES PARROTS                
LIEU-DIT   PAS ETROIT                 
LIEU-DIT   PASTURAT                   
LIEU-DIT   LE PECH                    
LIEU-DIT   PECH AGUET                 
LIEU-DIT   PECH DE BEARS              
LIEU-DIT   PECH DE BERNARD            
LIEU-DIT   PECH DE LA VISTE           
LIEU-DIT   PECH DE PITROU             
LIEU-DIT   PECH DE VIGNOLES           
LIEU-DIT   LE PECH DES MAZUTS         
LIEU-DIT   PECH LOUGARD               
LIEU-DIT   PECH LOUIS                 
LIEU-DIT   PETRADES                   
LIEU-DIT   PEYRE TRAUCADE             
LIEU-DIT   PEYREFIT                   
LIEU-DIT   PIECE GRANDE               
LIEU-DIT   PLACE RONDE                
LIEU-DIT   LES PLACES                 
LIEU-DIT   LA PLAINE                  
LIEU-DIT   LES PLAINES                
LIEU-DIT   AU PORT                    
LIEU-DIT   PRAT LONG                  
LIEU-DIT   QUIOUL DEL PECH            
LIEU-DIT   RIVIERE BASSE              
LIEU-DIT   RIVIERE D'ARCAMBAL         
LIEU-DIT   RIVIERE DE MONDIES         
LIEU-DIT   RIVIERE DU MOULIN          
LIEU-DIT   ROC DE LA RIVIERE          
LIEU-DIT   ROQUES                     
LIEU-DIT   LES ROUMEGAS               
LIEU-DIT   LA ROUMEGOUZE              
LIEU-DIT   SUR LA ROUTE               
LIEU-DIT   SALABERTE                  
LIEU-DIT   LA SARRADE                 
LIEU-DIT   LA SOLE                    
LIEU-DIT   SOULILLON DE BONNAC        
LIEU-DIT   LA SUQUETE                 
LIEU-DIT   LES THIRONDELS             
LIEU-DIT   LES TRAVERS                
LIEU-DIT   LE TRAVERS                 
LIEU-DIT   TRAVERS DE L'IGUE          
LIEU-DIT   TRAVERS DE LA FONTAINE     
LIEU-DIT   TRAVERS DE LA GAILLARDE    
LIEU-DIT   TRAVERS DE LAS CLEDOS      
LIEU-DIT   TRAVERS DU CAUSSE          
LIEU-DIT   TRAVERS DU PECH LOUIS      
LIEU-DIT   TRAVERS NOIR               
LIEU-DIT   TRAVERS ROUGE              
LIEU-DIT   LE TREBOULOU               
LIEU-DIT   TREIZEVENT                 
LIEU-DIT   TRIGODINA                  
LIEU-DIT   LES USCLADES               
LIEU-DIT   LES VAISSIES               
LIEU-DIT   LES VALSES                 
LIEU-DIT   LA VALSETTE                
LIEU-DIT   LES VERS                   
LIEU-DIT   VIEILLES VIGNES            
LIEU-DIT   VIGNASSES                  
LIEU-DIT   VIGNE DE MADAME            
LIEU-DIT   VIGNE GRANDE               
LIEU-DIT   LES VIGNETS                
LIEU-DIT   LES XASSES                 
LIEU-DIT   PONT ARCAMBAL              
LIEU-DIT   PONT D'ARCAMBAL            
ROUTE      DE VILLEFRANCHE            
PLACE      GALESSIS BAS               
PLACE      POSTE                      
PLACE      DE L EGLISE D ARCAMBAL     
PLACE      DE L ESPACE PROPRETE       
PLACE      DU FOYER RURAL             
PLACE      DU LOTISSEMENT DU GREZAL   
RUE        N 12                       
RUE        N  13                      
RUE        N 7                        
RUE        N 8                        
           commune :     LES ARQUES                     departement : LOT                           
LIEU-DIT   LES ARQUES                 
LIEU-DIT   LES ARQUES EST             
LIEU-DIT   AURICOSTE                  
LIEU-DIT   BELALBRE                   
LIEU-DIT   BOUT                       
LIEU-DIT   CAMBRET                    
LIEU-DIT   LE CAMUS                   
LIEU-DIT   LE CAMUS EST               
LIEU-DIT   LA CASTAGNAL               
LIEU-DIT   CHAMP DE CROCHES           
LIEU-DIT   CHAMP DE CROCHIS           
LIEU-DIT   CHAMP DE L EGLISE          
LIEU-DIT   LES CHAMPS DU BOUT         
LIEU-DIT   COMBE NOIRE                
LIEU-DIT   LE FAU                     
LIEU-DIT   FAURE                      
LIEU-DIT   FAZENDE                    
LIEU-DIT   GANIOLE                    
LIEU-DIT   GARY                       
LIEU-DIT   GINAILLAC                  
LIEU-DIT   LA GRANGE                  
LIEU-DIT   IMPETAUDIS                 
LIEU-DIT   JAMMET                     
LIEU-DIT   LABRUGUE                   
LIEU-DIT   LACOMBETTE                 
LIEU-DIT   LACUSSAGUE                 
LIEU-DIT   LADET                      
LIEU-DIT   LADOUS                     
LIEU-DIT   LAFORGE                    
LIEU-DIT   LAMOUTOI                   
LIEU-DIT   LAPOUMIGNAGUE              
LIEU-DIT   LAUCAS                     
LIEU-DIT   LESQUIROL                  
LIEU-DIT   LESTOUR                    
LIEU-DIT   LEYRISSOU                  
LIEU-DIT   MAGAT                      
LIEU-DIT   MARAIS DES ARQUES          
LIEU-DIT   MARTINET                   
LIEU-DIT   MOULIN DE LAFORGE          
LIEU-DIT   LA PASSADE                 
LIEU-DIT   PECH CALVEL                
LIEU-DIT   PECH DE L ABEILLE          
LIEU-DIT   PECH DE LADOUS             
LIEU-DIT   PECH NEGRE                 
LIEU-DIT   PECH PIOUNET               
LIEU-DIT   PECH PIOUNET NORD          
LIEU-DIT   PECHARMINIE                
LIEU-DIT   LES PICADES                
LIEU-DIT   PIECES VIEILLES            
LIEU-DIT   LES PLACES                 
LIEU-DIT   PRADELLE                   
LIEU-DIT   PRE NEUF                   
LIEU-DIT   PROFARENS                  
LIEU-DIT   RATIER                     
LIEU-DIT   RIVEL                      
LIEU-DIT   ROC DE LA FORGE            
LIEU-DIT   ROQUEFORT                  
LIEU-DIT   ROUDA                      
LIEU-DIT   SAINT ANDRE                
LIEU-DIT   SAINT MARTIN               
LIEU-DIT   SARRAU                     
LIEU-DIT   SENAILLAC                  
LIEU-DIT   THEMINES                   
LIEU-DIT   LA TREMOUILLAIRE           
LIEU-DIT   TRIGODINA                  
LIEU-DIT   TRONQUIERE                 
LIEU-DIT   TRONQUIERE NORD            
LIEU-DIT   TROUCHE                    
LIEU-DIT   LE TRUC                    
LIEU-DIT   VAXAUDIE                   
LIEU-DIT   LA VIALE                   
LIEU-DIT   LA VIALOTTE                
LIEU-DIT   LA MOULINE                 
           commune :     ASSIER                         departement : LOT                           
LIEU-DIT   BALADOU                    
LIEU-DIT   LA BALME                   
