20151101
87         HAUTE VIENNE                  
LIEU-DIT   LE GRAND MURET             
LIEU-DIT   LE GRAND PRE               
LIEU-DIT   LA GRANDE TERRE            
LIEU-DIT   LES GRANDS BRUGEAUX        
LIEU-DIT   LES GRANDS PRES            
LIEU-DIT   LES GRANGES                
LIEU-DIT   LES GRAVAIS                
LIEU-DIT   GROS BOIS                  
LIEU-DIT   LA GROSSE PIERRE           
LIEU-DIT   HENRIAT                    
LIEU-DIT   LE HURAUD                  
LIEU-DIT   LA JALOUSIE                
LIEU-DIT   LA JARTRE                  
LIEU-DIT   JONAS                      
LIEU-DIT   JUMEAUX                    
LIEU-DIT   LALEUF                     
LIEU-DIT   LAMOURS                    
LIEU-DIT   LA LANDE                   
LIEU-DIT   LES LANDES                 
LIEU-DIT   LAS BENEIX                 
LIEU-DIT   LES LATHIERES              
LIEU-DIT   LAURIERE                   
LIEU-DIT   LAVAUD                     
LIEU-DIT   LES LENVERS                
LIEU-DIT   LESSART                    
LIEU-DIT   LES LIGNES                 
LIEU-DIT   LES LOGES                  
LIEU-DIT   LA MAISONNETTE             
LIEU-DIT   LE MAQUIS                  
LIEU-DIT   MARAILLAT NORD             
LIEU-DIT   MARAILLAT SUD              
LIEU-DIT   LES MARAIS                 
LIEU-DIT   LES MAS                    
LIEU-DIT   LE MAS DU PUY              
LIEU-DIT   LE MAS MEYNARD             
LIEU-DIT   LE MASDOUMIER              
LIEU-DIT   MASSUGERAS EST             
LIEU-DIT   MASSUGERAS OUEST           
LIEU-DIT   LES MAUVAIS PRES           
LIEU-DIT   MAZAUDON                   
LIEU-DIT   LA MAZAURIE                
LIEU-DIT   LE MAZET                   
LIEU-DIT   MAZURE                     
LIEU-DIT   LES MEILLAUDS              
LIEU-DIT   LES MINES                  
LIEU-DIT   LES MOLES                  
LIEU-DIT   LE MONT                    
LIEU-DIT   MONT MERY                  
LIEU-DIT   MONTHELY                   
LIEU-DIT   LE MOULIN BRUTINAUD        
LIEU-DIT   LE MOULIN DE BOUCHERIE     
LIEU-DIT   MOULIN DE CROCHEPOT        
LIEU-DIT   LE MOULIN DE CROSSAS       
LIEU-DIT   MOULIN DE NOUAILLAS        
LIEU-DIT   LE MOULIN MAZAUD           
LIEU-DIT   LES NEGRES                 
LIEU-DIT   NOUAILLAS                  
LIEU-DIT   L OMBRE                    
LIEU-DIT   LES PACAGES DE CROCHEPOT   
LIEU-DIT   LES PAILLISSOUS            
LIEU-DIT   LES PATURAGES              
LIEU-DIT   LES PATURAUX               
LIEU-DIT   LES PAYES                  
LIEU-DIT   LE PECHER                  
LIEU-DIT   LES PENDANTS               
LIEU-DIT   LA PERADE                  
LIEU-DIT   PERET                      
LIEU-DIT   PEYROU                     
LIEU-DIT   LES PERRIERES              
LIEU-DIT   PETAVINE                   
LIEU-DIT   PETIT JUNIAT               
LIEU-DIT   LE PETIT MURET             
LIEU-DIT   LA PETITE COUTURE          
LIEU-DIT   LES PETITS PATURAUX        
LIEU-DIT   PETROU                     
LIEU-DIT   DU PEYRAT                  
LIEU-DIT   LA PIERRE CREUSADE         
LIEU-DIT   LES PIERRES                
LIEU-DIT   LES PLANAUDS               
LIEU-DIT   LES POINTY                 
LIEU-DIT   POINTY                     
LIEU-DIT   LE POIRIER                 
LIEU-DIT   LE PONT DE JONAS           
LIEU-DIT   LE PONT DU REY             
LIEU-DIT   LES POUGES                 
LIEU-DIT   LES PRADELLES              
LIEU-DIT   LE PRE BOUTET              
LIEU-DIT   LE PRE DES NOUHAUDS        
LIEU-DIT   LE PRE DU RUISSEAU         
LIEU-DIT   LES PRES DE BOURDELAS      
LIEU-DIT   PRES DE L ETANG            
LIEU-DIT   PRES DE LA GANNE           
LIEU-DIT   LES PRES DES VERGNES       
LIEU-DIT   LES PRES MAZEAUX           
LIEU-DIT   LE PUY                     
LIEU-DIT   LE PUY BERTRAND            
LIEU-DIT   LE PUY CHAVANAS            
LIEU-DIT   LE PUY D HENRIAT           
LIEU-DIT   LE PUY DE LA GARDE         
LIEU-DIT   LE PUY DE LA NOIX          
LIEU-DIT   LE PUY DE MAZET            
LIEU-DIT   LE PUY DES FORGES          
LIEU-DIT   LE PUY DU BREUIL           
LIEU-DIT   LE PUY DU FOURNAUD         
LIEU-DIT   LE PUY DU MAZET            
LIEU-DIT   LE PUY DU MOULIN           
LIEU-DIT   LE PUY GARSAULT            
LIEU-DIT   LES PUY NOIRS              
LIEU-DIT   LE PUY PALISSART           
LIEU-DIT   LE PUY PAUTOU              
LIEU-DIT   LE PUY PAYAUD              
LIEU-DIT   LE PUY REDON               
LIEU-DIT   LE PUY ROUDIER             
LIEU-DIT   PUY VIOT ROUGE             
LIEU-DIT   LES PUYS                   
LIEU-DIT   LES QUATRE VENTS           
LIEU-DIT   LES QUATRES ROUTES         
LIEU-DIT   LES RAMADAS                
LIEU-DIT   LES RANGES                 
LIEU-DIT   LES RANTYS                 
LIEU-DIT   LES RAYERES                
LIEU-DIT   LE RECLAUD                 
LIEU-DIT   LES RECULADES              
LIEU-DIT   DE REIX                    
LIEU-DIT   LES RENGEAS                
LIEU-DIT   LES REPLATS                
LIEU-DIT   RIBAGNAC                   
LIEU-DIT   LES RIBIERES               
LIEU-DIT   LES RIVAILLES              
LIEU-DIT   RIVIERAT                   
LIEU-DIT   LES ROCHES                 
LIEU-DIT   ROUILLERAS                 
LIEU-DIT   LES SAGNES                 
LIEU-DIT   SAINT ANDRE                
LIEU-DIT   SAINT ROCH                 
LIEU-DIT   SAINTE ANNE                
LIEU-DIT   LA SANGUE                  
LIEU-DIT   LES SAVANNES               
LIEU-DIT   SAVAYAT                    
LIEU-DIT   LES SECHES                 
LIEU-DIT   LA SEUVE                   
LIEU-DIT   LE TARIER                  
LIEU-DIT   LE TERME                   
LIEU-DIT   LES TERMES                 
LIEU-DIT   TERRE DU MILIEU            
LIEU-DIT   LES TERRES DE LA CROIX     
LIEU-DIT   LA TOURAILLE               
LIEU-DIT   TRASFORET                  
LIEU-DIT   LES TUILIERES              
LIEU-DIT   VASCHURE                   
LIEU-DIT   LA VERGNE                  
LIEU-DIT   LES VERGNES                
LIEU-DIT   LES VERGNOLLES             
LIEU-DIT   LES VERTS                  
LIEU-DIT   LES VIATS                  
LIEU-DIT   VIEUX                      
LIEU-DIT   LA CHATAIGNERAIE           
LIEU-DIT   HENRIAT NORD               
RUE        ALPHONSE DAUDET            
RUE        ANATOLE FRANCE             
ALLEE      ANDRE MALRAUX              
RUE        ANNA BEILLOT               
RUE        DE LA BARRE                
RUE        ANDRE MARIE AMPERE         
ALLEE      GEORGES BIZET              
RUE        DE BEAUSEJOUR              
RUE        HECTOR BERLIOZ             
RUE        DE BELLEVUE                
RUE        DU BEUVREIX                
PASSAGE    BUGEAUD                    
RUE        DU BEYTOUR                 
RUE        DU BREUIL                  
ALLEE      CAMILLE CLAUDEL            
RUE        DES CANTINES               
ALLEE      DES BOULEAUX               
RUE        CARNOT                     
IMPASSE    DES CANTINES               
CITE       CHANTEGROS                 
IMPASSE    CHANTEGROS                 
RUE        DE CHANTEGROS              
RUE        DE CHANTELAUVE             
ALLEE      DES CHATAIGNIERS           
ALLEE      DES CHENES                 
CHEMIN     DE LA CHAPELLE             
RUE        DE COQUI                   
RUE        DES CROUZILLAUDS           
PLACE      DU 19 MARS 1962            
ALLEE      CLAUDE DEBUSSY             
RUE        DESCARTES                  
RUE        DES DOC BALLET             
RUE        DARIUS MILHAUD             
RUE        DU DR GIROU                
RUE        DU DOC POUQUET             
RUE        EMILIE FAURE               
           PARVIS DE L'EGLISE         
ALLEE      DES FAUVETTES              
PLACE      DES FLEURS                 
RUE        DE LA GARE                 
PLACE      DE LA FONTAINE             
ALLEE      DES FORETS                 
IMPASSE    FRANCOIS CHATELUS          
AVENUE     FRANCOIS MITTERRAND        
RUE        GAY LUSSAC                 
PLACE      DE LA GARE                 
RUE        DE LA GANE DE JUMEAU       
RUE        GUSTAVE EIFFEL             
AVENUE     GENERAL DE GAULLE          
RUE        GEORGES BRASSENS           
ALLEE      GEORGE SAND                
CHEMIN     DES GRANGES                
RUE        HENRI BECQUEREL            
RUE        DU GERBASSOU               
PLACE      DU 8 MAI 1945              
AVENUE     DES HORTENSIAS             
RUE        J B MARQUET                
ALLEE      DES HETRES                 
IMPASSE    JEAN GIRAUDOUX             
PLACE      DE L HOTEL DE VILLE        
RUE        JEAN BAPTISTE LANDON       
RUE        JEAN GAGNANT               
RUE        JEAN JAURES                
RUE        JEAN ET GABRIEL TEXIER     
ALLEE      DES JONQUILLES             
RUE        JULES FERRY                
CHEMIN     DE LA LAITERIE             
ALLEE      LAMARTINE                  
IMPASSE    DU LAVOIR                  
RUE        LAVOISIER                  
RUE        LEON BLUM                  
PASSAGE    LEO LAGRANGE               
CHEMIN     DE LA LANDE DE NOUAILLAS   
AVENUE     DE LA LIBERATION           
IMPASSE    DE LA MAILLERIE            
RUE        MARCEL PAGNOL              
AVENUE     MARKT ECKENTAL             
RUE        MARYSE BASTIE              
CHEMIN     DES MARINES                
RUE        DE LA MAZAURIE             
ALLEE      DE LA METHODE              
RUE        MOLIERE                    
RUE        MICHEL LHERITIER           
RUE        DE MONTHELY                
ALLEE      DE MONTMERY                
ALLEE      DU MURET                   
