20151101
IMPASSE    DU DOCTEUR LABAT           
RUE        DU DOCTEUR LABESQUE        
RUE        DU DOCT LOUIS BROCQ        
BOULEVARD  DU DOCTEUR MESSINES        
PLACE      DROITS DE L HOMME          
RUE        DES DROITS DE L'ENFANT     
RUE        DES DROITS DE L HOMME      
RUE        DU DUC D ORLEANS           
IMPASSE    DUCOS DU HAURON            
RUE        DUCOS DU HAURON            
RUE        DUCOURNEAU                 
QUAI       QUAI DU CANAL              
QUAI       QUAI DE DUNKERQUE          
QUAI       DE DUNKERQUE               
RUE        DURANTON                   
IMPASSE    DE DURRENS                 
RUE        DE DURRENS                 
BOULEVARD  EDOUARD LACOUR             
RUE        DE L ECOLE NORMALE         
RUE        ECOLES DES TRANSMISSIONS   
RUE        DE L ECOLE VIEILLE         
RUELLE     DE L ECOLE VIEILLE         
RUE        EDMOND ROSTAND             
AVENUE     EDOUARD HERRIOT            
IMPASSE    EL GRECO                   
RUE        ELISEE RECLUS              
RUE        EMILE SENTINI              
RUE        EMILE ZOLA                 
RUE        EMMANUEL DELBOUSQUET       
RUE        DE L EMPRUNT               
RUE        D EPERNON                  
AVENUE     DE L ERMITAGE              
RUE        ERNEST LAFON               
RUE        ERNEST RENAN               
RUE        ERNEST SARROU              
AVENUE     D ESPAGNE                  
RUE        ETIENNE DOLET              
RUE        EUGENE LE ROY              
BOULEVARD  EUGENE PELLETAN            
PLACE      EUGENE PELLETAN            
RUE        DE LA FALAISE              
RUE        FAVAL                      
RUE        FELIX AUNAC                
RUE        FERDINAND DAVID            
IMPASSE    FIARIS                     
RUE        DES FLEURS                 
RUE        FLEURUS                    
RUE        FLOIRAC                    
IMPASSE    FLOREAL                    
ALLEE      DU FOIRAIL                 
RUE        DU FOIRAIL                 
RUE        FON DE RACHE               
RUE        FON NOUVELLE               
RUE        DE LA FONDERIE             
RUE        DE FONROCHE                
RUE        DE FOUYTE PORC             
RUE        FRANCIS CARCO              
RUE        FRANCOIS ARAGO             
RUE        FUMADELLES                 
RUE        FREDERIC MISTRAL           
RUE        FRERES MAGEN               
IMPASSE    GABRIEL FAURE              
RUE        GABRIEL GRIFFON            
PLACE      GABRIEL LAPEYRUSSE         
AVENUE     DE GAILLARD                
CRS        GAMBETTA                   
IMPASSE    GARCIA LORCA               
PASSAGE    GARONNE                    
RUE        GARONNE                    
ALLEE      DE GASCOGNE                
RUE        PAUL GAUGUIN               
PASSAGE    GAUJA                      
RUE        GENERAUX ARLABOSSE         
RUE        DU GENERAL BRUN            
IMPASSE    DU GAL DE BAZELAIRE        
AVENUE     DU GAL DE GAULLE           
AVENUE     DU GENERAL LECLERC         
RUE        DU GAL RESSAYRE            
RUE        GEORGE SAND                
RUE        GEORGES BIZET              
RUE        GEORGES CLEMENCEAU         
AVENUE     GEORGES DELPECH            
IMPASSE    GEORGES LEYGUES            
IMPASSE    GEORGES GUYNEMER           
QUAI       GEORGES LEYGUES            
RUE        GEORGES THOLIN             
RUE        GEORGES THOMAS             
RUE        GERARD DE NERVAL           
IMPASSE    GERARD DUVERGE             
RUE        GERARD DUVERGE             
RUE        GERGOVIE                   
RUE        ANDRE GIDE                 
RUE        GIMBREDE                   
RUE        JEAN GIRAUDOUX             
IMPASSE    GOETHE                     
IMPASSE    LA GOULFIE                 
IMPASSE    LES GLORIETTES             
IMPASSE    GOUNOD                     
PLACE      GOYA                       
IMPASSE    GRAMMONT                   
RUE        GRAMMONT                   
RUE        DE LA GRANDE HORLOGE       
RUE        GRANDE MURAILLE            
PLACE      DES GRANDS HOMMES          
RUE        GRAVISSAT                  
IMPASSE    GRAVISSAT                  
           PER DU GRAVIER             
IMPASSE    DE GRENIER                 
RUE        GRENOUILLA                 
RUE        GUILLAUME DELPRAT          
RUE        GUSTAVE BOHM               
RUE        GUSTAVE FLAUBERT           
RUE        HENRI ARGENTON             
AVENUE     HENRI BARBUSSE             
RUE        HENRI DESCOINS             
RUE        HENRY DUNANT               
RUE        HENRY MARTIN               
PLACE      HENRI IV                   
RUE        DES HEROS RESISTANCE       
RUE        HOCHE                      
RUE        HONORE DE BALZAC           
RUE        HORTENSE SCHNEIDER         
ALLEE      HUIT MAI 1945              
RUE        DES ILES                   
AVENUE     D ITALIE                   
RUE        J B PERES                  
PLACE      DES JACOBINS               
RUE        JACQUARD                   
PLACE      DU HALAGE                  
RUE        DU JARDIN PUBLIC           
IMPASSE    JASMIN                     
PLACE      JASMIN                     
PLACE      JEAN BAPTISTE DURAND       
AVENUE     DOCTEUR JEAN BRU           
RUE        JEAN DAYMA                 
RUE        JEAN DE DURFORT            
RUE        JEAN DIDIER BAZE           
AVENUE     JEAN JAURES                
IMPASSE    JEAN FRANCOIS BLADE        
RUE        JEAN FRANCOIS BLADE        
RUE        J FRANCOIS SAMAZEUIL       
IMPASSE    JEAN JAURES                
RUE        JEAN LOUIS BELLOC          
IMPASSE    JEAN MERMOZ                
RUE        JEAN GABRIEL DOMERGUE      
RUE        JEAN MACE                  
PLACE      JEAN MOULIN                
PLACE      JEAN JACQUES ROUSSEAU      
IMPASSE    JEAN LABRUNIE              
PLACE      JEAN RACINE                
RUE        JEANNE D ARC               
RUE        JEAN LAFFORE               
RUE        JEAN TERLES                
RUE        JEAN TORTHE                
RUE        JEAN VINCENT               
RUE        JEGUN DE MARANS            
RUE        ROGER JOHAN                
RUE        DU JEU DE PAUME            
AVENUE     JOSEPH AMOUROUX            
RUE        JOSEPH BARA                
PLACE      JOSEPH CHAUMIE             
IMPASSE    JOSEPH DE PESQUIDOUX       
RUE        JOURDAIN                   
AVENUE     DES JARDINAILLES           
RUE        DES JUIFS                  
RUELLE     DES JUIFS                  
RUE        JULES ANDRIEU              
RUE        JULES CELS                 
RUE        JULES FERRY                
RUE        JULES MASCARON             
RUE        JEAN RACINE                
RUE        JULES RAIMU                
RUE        KLEBER                     
RUE        JULES MASSENET             
RUE        JULES VERNE                
RUE        JOSEPH KESSEL              
RUE        LABOULBENE                 
PLACE      LACEPEDE                   
RUE        LACEPEDE                   
IMPASSE    EDOUARD LACOUR             
PLACE      LAFAYETTE                  
RUE        LAFAYETTE                  
RUE        LAFFARGUE                  
IMPASSE    LAFONTAINE                 
RUE        LAGASSE                    
RUE        LA GOULFIE                 
RUE        LAGRANGE                   
IMPASSE    DE LAGRAVE                 
RUE        DE LAGRAVERE               
RUE        LAGRILLE                   
PLACE      DES LAITIERS               
RUE        LAKANAL                    
RUE        DE LALANDE                 
RUE        LAMARTINE                  
PLACE      LAMENNAIS                  
RUE        LAMENNAIS                  
RUE        LAMOUROUX                  
RUE        DE LAS                     
RUE        LASSAIGNE                  
AVENUE     DE LATTRE DE TASSIGNY      
RUE        DES LAURIERES              
RUE        LAVOISIER                  
RUE        LAULANIE                   
IMPASSE    LEDRU ROLLIN               
RUE        LEDRU ROLLIN               
RUE        LEO LAGRANGE               
AVENUE     LEON BLUM                  
RUE        LEPELLETIER                
RUE        LESPARROU                  
RUE        LESPINASSE                 
BOULEVARD  DE LA LIBERTE              
RUE        DE LILLE                   
RUE        LISBONNE                   
RUE        LISZT                      
RUE        LLANELLI                   
RUE        LOISEAU                    
IMPASSE    LOISEL                     
RUE        LOMET                      
RUE        LONDRADE                   
RUE        LOUIS BLANC                
RUE        LOUIS LAVELLE              
RUE        LOUIS VIVENT               
RUE        MAILLE                     
RUE        MALATUFFE                  
