20151101
LIEU-DIT   LE VINEAU                  
LIEU-DIT   LE VIVIER                  
LIEU-DIT   LA VOIRIE                  
LIEU-DIT   LA GLAUMIERE               
LIEU-DIT   PIECE DE LA TOURNIERE      
LIEU-DIT   LA BERGE                   
LIEU-DIT   LA BERGERIE                
LIEU-DIT   LA LOUISIANE               
LIEU-DIT   L OREE                     
LIEU-DIT   LE PETIT PAULMY            
LIEU-DIT   LE MOULIN DE RIVES         
LIEU-DIT   LA SABLIERE                
LIEU-DIT   LE BAS RIBEAULT            
ALLEE      DES ACACIAS                
RUE        DE LA BRUNELIERE           
RUE        DE BEAUREGARD              
RUE        DU BOIS PEROU              
RUE        DE BELLEVUE                
ROUTE      DE BESSE                   
ROUTE      DU BLANC                   
IMPASSE    DU CHATEAU                 
RUE        DE LA CHOCOLATERIE         
RUE        DES COMBATTANTS EN AFN     
CHEMIN     DE CHIZAY                  
RUE        DU COMMERCE                
RUE        DES COTEAUX                
PLACE      CONTY MAIGNANT             
RUE        DESCARTES                  
PLACE      DE L EGLISE                
RUE        DES FONDERIES              
RUE        DES FORGES                 
ROUTE      DU GRAND PRESSIGNY         
RUE        DU 8 MAI 1945              
RUE        JOSEPH PINET               
RUE        DE LANGEVILLE              
ROUTE      DE LEUGNY                  
IMPASSE    DES LILAS                  
PLACE      DE LA MAIRIE               
RUE        DE LA MARCAUDERIE          
RUE        MARCEL MAIRE               
RUE        DES MOULINS                
RUE        DE NEUILLY                 
RUE        DU 11 NOVEMBRE 1918        
RUE        DE LA PAIX                 
RUE        PASTEUR                    
RUE        DU PONT                    
RUE        DU 14 JUILLET 1789         
RUE        RABELAIS                   
ALLEE      DE RIBEAULT                
RUE        DE RIVES                   
AVENUE     DES TERMELLES              
ROUTE      DU VAL DE CLAISE           
ALLEE      DES VIGNES DE BEAUREGARD   
           commune :     AMBILLOU                       departement : INDRE ET LOIRE                
LIEU-DIT   L AIREAU DES BODINS        
LIEU-DIT   L ANGEVINIERE              
LIEU-DIT   LA BARONNERIE              
LIEU-DIT   BAS BOUCHET                
LIEU-DIT   LE BAS BOUCHET             
LIEU-DIT   BEAUJARDIN                 
LIEU-DIT   BELLAIR                    
LIEU-DIT   BELLANDE                   
LIEU-DIT   LES BERNARDS               
LIEU-DIT   LES BERNELLERIES           
LIEU-DIT   LA BERNETTERIE             
LIEU-DIT   LES BESNARDS               
LIEU-DIT   LA BICOQUE                 
LIEU-DIT   LA BOHARDIERE              
LIEU-DIT   LES BOIS DE BELLE VUE      
LIEU-DIT   LES BOIS DE FOU BELARD     
LIEU-DIT   LES BOIS DE L ANGEVINIERE  
LIEU-DIT   LES BOIS DE L ETANG        
LIEU-DIT   LES BOIS DE L HERMITIERE   
LIEU-DIT   BOIS DE LA BUTTE OU 8E COU 
LIEU-DIT   LES BOIS DE LA CARTONNIERE 
LIEU-DIT   LES BOIS DE LA COUPE       
LIEU-DIT   BOIS DE LA FORGE           
LIEU-DIT   LES BOIS DE LA HEZIERE     
LIEU-DIT   BOIS DE LA METAIRIE BASSE  
LIEU-DIT   LE BOIS DE LA MOTTE        
LIEU-DIT   LES BOIS DE LA PERRAY      
LIEU-DIT   LES BOIS DE LA PERREE      
LIEU-DIT   LES BOIS DE LA ROUSSERIE   
LIEU-DIT   BOIS DES LAQUAS            
LIEU-DIT   LE BOIS DES TROIS DERMANTS 
LIEU-DIT   LES BOIS DU GRAND BROUSSON 
LIEU-DIT   LES BOIS DU PLESSIS        
LIEU-DIT   LES BOIS DU VIVIER         
LIEU-DIT   BOIS FONTAINE              
LIEU-DIT   BOIS VOISIN                
LIEU-DIT   LES BOURDINIERES           
LIEU-DIT   LE BOURG                   
LIEU-DIT   LA BOUSSERIE               
LIEU-DIT   BOYERE                     
LIEU-DIT   BRASSERAC                  
LIEU-DIT   LE BREMAURIN               
LIEU-DIT   LA BROSSE                  
LIEU-DIT   LES BROSSES                
LIEU-DIT   LES BRULES OU LA 9E COUPE  
LIEU-DIT   BRUYERES DU GRAND BROUSSON 
LIEU-DIT   LA BUCHE DE THE            
LIEU-DIT   LES CANTERIES              
LIEU-DIT   CANTON DU GRAND CHEMIN     
LIEU-DIT   LA CARANDRY                
LIEU-DIT   LE CARROI                  
LIEU-DIT   LE CARROI DES CARROSSES    
LIEU-DIT   LA CAVE                    
LIEU-DIT   LA CESERE                  
LIEU-DIT   LA CHAPELIERE              
LIEU-DIT   LA CHATAIGNERAIE           
LIEU-DIT   LA CHAUSSEE                
LIEU-DIT   LA CHENAYE                 
LIEU-DIT   LA CHESNAYE                
LIEU-DIT   LES CHEVAUPY               
LIEU-DIT   CLOS DE BELLAIR            
LIEU-DIT   CLOS DE L EPINE            
LIEU-DIT   LE CLOS FLEURI             
LIEU-DIT   LE CLOS FOURNEAU           
LIEU-DIT   LE CLOS VERON              
