20151101
LIEU-DIT   LA BUTTE                   
RUE        DE LA CHAPELLE             
RUE        DE LA CROIX                
RUE        GRANDE                     
VC         GRANDE RUELLE              
ROUTE      D HERBEAUVILLIERS          
           HAM DE JACQUEVILLE         
RUE        JACQUEVILLE                
           LE PRIEURE                 
ROUTE      DE LARCHANT                
ROUTE      DE MALESHERBES             
CHEMIN     DES MANNERIES              
RUE        DE LA MARE                 
RUE        DE LA MOCQUE SOURIS        
RUE        DE LA PORTE VERTE          
RUE        DES RELIGIEUSES            
CHEMIN     DE RONDE                   
RUE        DU VIEUX PUITS             
           commune :     ANDREZEL                       departement : SEINE ET MARNE                
LIEU-DIT   ANDREZEL                   
LIEU-DIT   BOIS DU BOULAY             
LIEU-DIT   LA BORDE                   
LIEU-DIT   CIMETIERE AUX LIEVRES      
LIEU-DIT   LES CLOSEAUX               
LIEU-DIT   LES CROIX BLANCHES         
LIEU-DIT   LA CROIX SAINT ABDON       
LIEU-DIT   FERME DE LA BORDE          
LIEU-DIT   FERME DE MAINPINCIEN       
LIEU-DIT   FERME DES HAUTES ROCHES    
LIEU-DIT   FERME DES LOGES            
LIEU-DIT   LA GRACE DE DIEU           
LIEU-DIT   LA GUIGNEVILLE             
LIEU-DIT   LES GUILLOTS               
LIEU-DIT   LES HAUTES LOGES           
LIEU-DIT   LA HAYE QUI BOIT           
LIEU-DIT   LIMANON                    
LIEU-DIT   MAINPINCIEN                
LIEU-DIT   MARCHAIS DE JOUY           
LIEU-DIT   LE MARCHAIS FLEURY         
LIEU-DIT   MARCHAIS PATEAU            
LIEU-DIT   MARCHAIS POISSON           
LIEU-DIT   MARE A COURET              
LIEU-DIT   MARE A LA POUCHARDE        
LIEU-DIT   LE NOIR                    
LIEU-DIT   PARC ET CHATEAU D ANDREZEL 
LIEU-DIT   LE POMMIER DOUX            
LIEU-DIT   REMISE DE L ORME           
LIEU-DIT   LE TRUISY                  
LIEU-DIT   VERONIQUE                  
LIEU-DIT   LES VILLENEUVES            
ROUTE      DE LA BORDE                
RUE        DES CHAMPS                 
ROUTE      DEPART 47                  
CHEMIN     DE L EGLISE                
PLACE      DES FETES                  
RUE        DE GUIGNEVILLE             
CHEMIN     DE GUIGNEVILLE             
RUE        JEAN PORCHERAY             
RUE        DES MARNIERES              
RUE        MARTIN IV                  
RUE        DE LA POMPE                
ROUTE      DU TRUISY                  
           LE HAMEAU DU PRE           
RUE        TOURNEBRIDE                
RUE        DE TRUISY                  
           commune :     ANNET-SUR-MARNE                departement : SEINE ET MARNE                
