20151101
LIEU-DIT   MONTAUDRI                  
LIEU-DIT   MOULIN A VENT              
LIEU-DIT   ORGUES                     
LIEU-DIT   LE PAPETIER                
LIEU-DIT   PEYRECAVE                  
LIEU-DIT   PEYRUQUET                  
LIEU-DIT   LA PICHE                   
LIEU-DIT   LA PIECE LONGUE            
LIEU-DIT   PORTOTENI                  
LIEU-DIT   POUPAT                     
LIEU-DIT   PRE DE L EVEQUE            
LIEU-DIT   PREHOUENDE                 
LIEU-DIT   RIEUTORT                   
LIEU-DIT   RIVIERE D ALAN             
LIEU-DIT   RIVIERE DE BACHAS          
LIEU-DIT   RIVIERE DE MONTOULIEU      
LIEU-DIT   ROQUES                     
LIEU-DIT   SAINT-BERNARD              
LIEU-DIT   SAINT JOSEPH               
LIEU-DIT   SAINT PE                   
LIEU-DIT   SAINT PION                 
LIEU-DIT   SAUTERNE                   
LIEU-DIT   SERBIAN                    
LIEU-DIT   LA SERRE                   
LIEU-DIT   SOUAGES                    
LIEU-DIT   STEOULEQUETS               
LIEU-DIT   LE TERREFORT               
LIEU-DIT   TREMOULET                  
LIEU-DIT   TUQUET                     
LIEU-DIT   LA VILLE                   
LIEU-DIT   HAMEAU DU TREMOULET        
           commune :     ALBIAC                         departement : HAUTE GARONNE                 
LIEU-DIT   AUBARESSES                 
LIEU-DIT   AZAMS                      
LIEU-DIT   BOIS DE LA PLAINE          
LIEU-DIT   LA BORIE                   
LIEU-DIT   BOUTARIC                   
LIEU-DIT   CAMP DE LA COSTE           
LIEU-DIT   EN DOMINIQUE               
LIEU-DIT   LA FONTAINE                
LIEU-DIT   EN GIRONNAS                
LIEU-DIT   LABOURDETTE                
LIEU-DIT   MAURELIS                   
LIEU-DIT   MILLEAU                    
LIEU-DIT   MOULON DU VILLAGE          
LIEU-DIT   PITEAU                     
LIEU-DIT   PRAT LOUNG                 
LIEU-DIT   RIBALS                     
LIEU-DIT   LA RIVIERE                 
LIEU-DIT   EN SEYRE                   
LIEU-DIT   EN VAISSIERES              
LIEU-DIT   LE VILLAGE                 
           commune :     AMBAX                          departement : HAUTE GARONNE                 
LIEU-DIT   LES ARROQUES               
LIEU-DIT   BATILANCE NORD             
LIEU-DIT   BATILANCE SUD              
LIEU-DIT   BERNES                     
LIEU-DIT   LA BIGNASSE                
LIEU-DIT   BORIES                     
LIEU-DIT   BOURGAUT                   
LIEU-DIT   BURROU                     
LIEU-DIT   CANAVIERES                 
LIEU-DIT   LE CHATEAU                 
LIEU-DIT   DUFAUT                     
LIEU-DIT   L EGLISE                   
LIEU-DIT   ENBARRERE                  
LIEU-DIT   LA GARENNE                 
LIEU-DIT   LA GESTERE                 
LIEU-DIT   GIBROLES                   
LIEU-DIT   HAJAOU                     
LIEU-DIT   LAGARDELLE                 
LIEU-DIT   LAMEZAN                    
LIEU-DIT   LA MARIETTE                
LIEU-DIT   MARTRES NORD               
LIEU-DIT   MARTRES SUD                
LIEU-DIT   MEILLENGA                  
LIEU-DIT   PEYROLE                    
LIEU-DIT   LA PLANE                   
LIEU-DIT   PRADERE                    
LIEU-DIT   LA RIVIERE                 
LIEU-DIT   SAINT MARTIN               
LIEU-DIT   SARROT                     
LIEU-DIT   SELAROT                    
LIEU-DIT   LA SERRE                   
LIEU-DIT   TUILERIE                   
LIEU-DIT   LE VILLAGE                 
           commune :     ANAN                           departement : HAUTE GARONNE                 
LIEU-DIT   ANCAMPS                    
LIEU-DIT   AS BATANES                 
LIEU-DIT   AS PEYREGAS                
