20151101
55         MEUSE                         
LIEU-DIT   AU DESSUS DE LONGEAU       
LIEU-DIT   LES AVIGNONS               
LIEU-DIT   SUR LA BANDOILE            
LIEU-DIT   LES BLOSSETTES             
LIEU-DIT   LA BONIETTE                
LIEU-DIT   AU BRASSELET               
LIEU-DIT   AU BREUIL                  
LIEU-DIT   CADEBOIS                   
LIEU-DIT   AU CAPUCIN                 
LIEU-DIT   LA CARRIERE                
LIEU-DIT   CARRIERE A EAU             
LIEU-DIT   CHAMP LE CHEVALIER         
LIEU-DIT   CHAMP LIENETTE             
LIEU-DIT   AU CHAMPE                  
LIEU-DIT   SUR LE CHEMIN D ORNEL      
LIEU-DIT   SUR LE CHEMIN DE METZ      
LIEU-DIT   AU CHEMIN PRE              
LIEU-DIT   LES CLOUYERES              
LIEU-DIT   A CLUME                    
LIEU-DIT   SUR CLUME                  
LIEU-DIT   COTE DE L ETANG            
LIEU-DIT   A LA CROIX DE MISSION      
LIEU-DIT   LA CROUEE                  
LIEU-DIT   AU DEROUTY                 
LIEU-DIT   DEVANT HOUSSE              
LIEU-DIT   L ENFER                    
LIEU-DIT   A L ETANG                  
LIEU-DIT   L ETANG D AMEL             
LIEU-DIT   FOSSE A L OTRON            
LIEU-DIT   AUX FOSSES                 
LIEU-DIT   A LA FRANCHE RAIE          
LIEU-DIT   A LA GORGIERE              
LIEU-DIT   GRAND HAUT DU TRICE        
LIEU-DIT   LES GRANDES FAUCHEES       
LIEU-DIT   LE GROS CORNOUILLER        
LIEU-DIT   LA GROSSE EPINE            
LIEU-DIT   LA HAIE AUX CHAMPS         
LIEU-DIT   SUR LE HAUT CHEMIN         
LIEU-DIT   HAUT DE HOUSSE             
LIEU-DIT   HAUT DE LONGEAU            
LIEU-DIT   HAYE DE LA WOYE            
LIEU-DIT   LA HAYE DOURAT             
LIEU-DIT   LA HAYE HABOUX             
LIEU-DIT   HOUSSE                     
LIEU-DIT   AUX IGRES                  
LIEU-DIT   AU JARDIN ELEVE            
LIEU-DIT   JARDIN GERARD              
LIEU-DIT   AUX JONQUETTES             
LIEU-DIT   LA LAMPE                   
LIEU-DIT   A LAVAUX                   
LIEU-DIT   LONGEAU                    
LIEU-DIT   LES LONGUES RAIES          
LIEU-DIT   AU MAUCOUX                 
LIEU-DIT   MIRONVAUX                  
LIEU-DIT   MONTANT AU CUGNET          
LIEU-DIT   A MONTONRAIE               
LIEU-DIT   A LA NOUE DES MOINES       
LIEU-DIT   SUR ORNE                   
LIEU-DIT   PETIT HAUT DU TRICE        
LIEU-DIT   LE PETIT JAI               
LIEU-DIT   LA PETITE FIN              
LIEU-DIT   LA PETITE HAYETTE          
LIEU-DIT   PIECE BARROIS              
LIEU-DIT   PIECE LEBONDIDIER          
LIEU-DIT   LE PINARD                  
LIEU-DIT   POIVRENARD                 
LIEU-DIT   AU PONT DE PIERRE          
LIEU-DIT   LES POUX                   
LIEU-DIT   A LA PRELE                 
LIEU-DIT   LES PRES DE LONGEAU        
LIEU-DIT   LE PRIEUR ET L HOPITAL     
LIEU-DIT   LA QUEUE D ALONDE          
LIEU-DIT   LES RIBONNEAUX             
LIEU-DIT   AU ROCAILLON               
LIEU-DIT   LES SAUSSINS               
LIEU-DIT   SUR LE SAUVEUR             
LIEU-DIT   SECHE PRE                  
LIEU-DIT   SUR LA SENTE DE LA SAULX   
LIEU-DIT   SOUS LE MOULIN             
LIEU-DIT   SOUS LE PRIEUR ET L HOPITA 
LIEU-DIT   A LA TRANCHEE D ORNEL      
LIEU-DIT   AUX TRIQUEMANDES           
LIEU-DIT   A LA TROUCHEE              
LIEU-DIT   VAUZEL DES FORGES          
LIEU-DIT   AU VIEUX CHEMIN            
LIEU-DIT   LA VIGNETTE                
LIEU-DIT   LES VINGT ARPENTS          
LIEU-DIT   LA WANONETTE               
LIEU-DIT   A BRIGAUT                  
LIEU-DIT   LA CROISETTE               
RUE        BASSE                      
RUE        DE LA CALIFORNIE           
RUE        DU CHAUFFOUR               
RUE        DE LA FOURCHE              
GR         GRANDE RUE DE L EGLISE     
RUE        HAUTE                      
RUE        DE MAUCOURANT              
RUE        DE MONTRICON               
CRS        DU PRIEURE                 
           commune :     ANCEMONT                       departement : MEUSE                         
LOT        DU PARC A GRUMES           
LIEU-DIT   LES ARRHES                 
LIEU-DIT   L AUSELIERE                
LIEU-DIT   LES AWOUISSES              
LIEU-DIT   BAS DU FOND DE LAVAUX      
LIEU-DIT   BEAUREGARD                 
LIEU-DIT   BEL AFFUT                  
LIEU-DIT   BOUZONVAUX                 
LIEU-DIT   LA BREBIS                  
LIEU-DIT   LA CAILLAUDIERE            
LIEU-DIT   LE CAMBOSSIN               
LIEU-DIT   CHAMP CHAUVIN              
LIEU-DIT   CHAMP ROBIN                
LIEU-DIT   LES CHAMPS BAPTOUS         
LIEU-DIT   LES CHARMES                
LIEU-DIT   SUR LE CHEMIN DES BARDELET 
LIEU-DIT   AU CHENE                   
LIEU-DIT   AU CHENE GOSSIN            
LIEU-DIT   LE CHENE GOSSIN            
LIEU-DIT   LE CLOS                    
LIEU-DIT   LE CORBEAU                 
LIEU-DIT   LES CORES                  
LIEU-DIT   COTE HAIRESSE              
LIEU-DIT   COUPES AFFOUAGERES D ANCEM 
LIEU-DIT   CRETNIERE                  
LIEU-DIT   LA CROIX                   
LIEU-DIT   LES DAMZELLES              
LIEU-DIT   LE DEFFOY                  
LIEU-DIT   DERRIERE LES JARDINS       
LIEU-DIT   AU DESSOUS DU GRAND PONT   
LIEU-DIT   DEVANT DE LA COTE LA HAIRE 
LIEU-DIT   DEVANT LA PETITE RUE       
LIEU-DIT   L ETOT                     
LIEU-DIT   FOND DE HENRY PUITS        
LIEU-DIT   FRANCS DIXMES              
LIEU-DIT   GOD NOGE                   
LIEU-DIT   GRAND CHAMP                
LIEU-DIT   LA HAIE BRULEE             
LIEU-DIT   LA LARGE TETE              
LIEU-DIT   LE LIAT                    
LIEU-DIT   LONGUE CHARMEE             
LIEU-DIT   MAUREY                     
LIEU-DIT   MONTANS DES RUISSEAUX      
LIEU-DIT   MONTBLARIEUX               
LIEU-DIT   LA MORLETTE                
LIEU-DIT   NOEL MASSON                
LIEU-DIT   LA NOUETTE                 
LIEU-DIT   LES OUILLONS               
LIEU-DIT   PLATEL                     
LIEU-DIT   POIRIER LE LOUP            
LIEU-DIT   LA POIRIERE                
LIEU-DIT   AU POMMETIER               
LIEU-DIT   LA PONCETTE                
LIEU-DIT   A LA PONCETTE SUR LE RUISS 
LIEU-DIT   AU PONT DU DIABLE          
LIEU-DIT   PRES PONCIN                
LIEU-DIT   PRES ST JEAN               
LIEU-DIT   AU PUISARD                 
LIEU-DIT   QUART EN RESERVE D ANCEMON 
LIEU-DIT   LA QUEUE DU CLOS           
LIEU-DIT   LA REDOUTE                 
LIEU-DIT   LES REPAREES               
LIEU-DIT   AU RETOUR DE L EAU         
LIEU-DIT   SAINT MARCEL               
LIEU-DIT   AU SAUSSA                  
LIEU-DIT   AU SORBIER                 
LIEU-DIT   AU SOU                     
LIEU-DIT   LA SOUE                    
LIEU-DIT   SOUS LE CHENE GOSSIN       
LIEU-DIT   LES TERMES                 
LIEU-DIT   LES TOURELLES              
LIEU-DIT   LE TREMBLE                 
LIEU-DIT   LA VANNE                   
LIEU-DIT   VAUSEL CLAUDE              
LIEU-DIT   LA VAUX                    
LIEU-DIT   LES VIGNES                 
LIEU-DIT   VILLAGE D ANCEMONT         
LIEU-DIT   LA VIOLLE                  
IMPASSE    DU BILLONNEAU              
RUE        BRIQUETTE                  
RUE        DES CHARMES                
VC         CHEVRE RUE                 
RUE        COURTE                     
ROUTE      DE DIEUE                   
ROUTE      DE DUGNY                   
RUE        DE L EGLISE                
RUE        DU FOUR                    
RUE        DE LA GARE                 
GR         GRANDE RUE                 
IMPASSE    DU BILLONNEAU              
IMPASSE    DES TOURELLES              
RUE        DES HETRES                 
RUE        DU LOT DE BILLONNEAU       
RUE        DU LOT DES TOURELLES       
PTR        PETITE RUE                 
RUELLE     LA RUELLE                  
ROUTE      DE SENONCOURT              
RUE        DU STADE                   
IMPASSE    DES TOURELLES              
RUE        SERPENTE                   
IMPASSE    DES TOURELLES              
           commune :     ANCERVILLE                     departement : MEUSE                         
LOT        DU BAS DE BRAUX            
LOT        CASTORS RUE DE CHAMOUILLEY 
CITE       DE LA POINTERIE            
CITE       SMCM DE LA POINTERIE       
LOT        DU GRAND BOIS              
           LA POINTERIE               
LOT        DU BAS DE NOLIVOT          
LIEU-DIT   LE BAS DE BRAUX            
LIEU-DIT   LE BAS DE BRAUX SUR LA MAR 
LIEU-DIT   LE BAS DE GIBORGEON        
LIEU-DIT   LE BAS DE NOLIVOT          
