20151101
59         NORD                          
LIEU-DIT   LA VOIE PERDUE             
LIEU-DIT   WARWAMME                   
LIEU-DIT   BRIGODE                    
LIEU-DIT   CENTRE COMMERCIAL LE TRIOL 
LIEU-DIT   CENTRE COMMERCIAL COUSINER 
LIEU-DIT   IMMEUBLE PERICENTRE        
LIEU-DIT   CENTRE COMMERCIAL PONT DE  
LIEU-DIT   LES BRULES D EN BAS        
LIEU-DIT   LES BRULES D EN HAUT       
LIEU-DIT   CENSE DU HAVUT             
LIEU-DIT   LA FONTAINE                
LIEU-DIT   LE BAS DU RECUEIL          
LIEU-DIT   LE HAUT DU RECUEIL         
LIEU-DIT   LA PLANCHE BOUCHERY        
LIEU-DIT   HAMEAU D EPINOY            
LIEU-DIT   BABYLONE                   
LIEU-DIT   LES BAS CHAMPS             
LIEU-DIT   LE BAS DE LA CRUPPE        
LIEU-DIT   MOULIN D ASCQ              
LIEU-DIT   BOIS BLANCS                
LIEU-DIT   LA BRASSERIE               
LIEU-DIT   MOULIN DE BRIQUES          
LIEU-DIT   CITE SCIENTIFIQUE          
LIEU-DIT   COLLINE DE MARCHENELLE     
LIEU-DIT   COUTURE DE BABYLONE        
LIEU-DIT   COUTURE DE LA COUSINERIE   
LIEU-DIT   CROIX DE WALLERS           
LIEU-DIT   EPINOY                     
LIEU-DIT   LES FACULTES               
LIEU-DIT   GOLF DU SART               
LIEU-DIT   HAMEAU DU BREUCQ           
LIEU-DIT   HAMEAU DE LA COUSINERIE    
LIEU-DIT   HAMEAU DU SART             
LIEU-DIT   LE HERON                   
LIEU-DIT   HOTEL DE VILLE             
LIEU-DIT   LE MAITRE DAVID            
LIEU-DIT   LE PARC                    
LIEU-DIT   PAVE DE LANNOY             
LIEU-DIT   LA PETITE MARQUE           
LIEU-DIT   PIED SENTE DE WACLART      
LIEU-DIT   LE POLLIEUL                
LIEU-DIT   LA POSTE                   
LIEU-DIT   LES PRES                   
LIEU-DIT   LES QUATRE CANTONS         
LIEU-DIT   QUINCAMPOIX                
LIEU-DIT   LA RESIDENCE               
LIEU-DIT   RUE CARNOT                 
LIEU-DIT   SAINT SAUVEUR              
LIEU-DIT   LE STADIUM                 
LIEU-DIT   LE TERRAIN D AVIATION      
LIEU-DIT   TRIANGLE D ASCQ            
LIEU-DIT   RUE CARNOT                 
RUE        DE L ABBE BONPAIN          
RUE        DE L ABBE COUSIN           
RUE        ABBE COUSIN RES L ETRILLE  
RUE        DE L ABBE GILLERON         
RUE        DE L ABBE LEMIRE           
RUE        ADAM DE LA HALLE           
BOULEVARD  ALBERT 1ER                 
RUE        ALBERT SAMAIN              
RUE        ALEXANDRE DETROY           
RUE        ALFRED DE MUSSET           
RUE        ALFRED DE VIGNY            
