20151101
86         VIENNE                        
LIEU-DIT   LES GRANDS CHAMPS          
LIEU-DIT   LES GRANDS PATURAUX        
LIEU-DIT   LES GRANDS PRES            
LIEU-DIT   LE GRAS BOTTE              
LIEU-DIT   LES GRASSAUDIERES          
LIEU-DIT   LES GRELIERES              
LIEU-DIT   LES GRELIERS               
LIEU-DIT   LES GRENODIERES            
LIEU-DIT   LE GROS CHATAIGNIER        
LIEU-DIT   LE HAUT RENCLOS            
LIEU-DIT   L HERBIERE                 
LIEU-DIT   LE HERSY                   
LIEU-DIT   LES HULAS                  
LIEU-DIT   L ISLE MORTE               
LIEU-DIT   LES JARRIES                
LIEU-DIT   LES JAUNAS                 
LIEU-DIT   LES JOLIVES                
LIEU-DIT   LAFOND DES VERGNES         
LIEU-DIT   LAFOND PIGEAU              
LIEU-DIT   LAFONGODECHE               
LIEU-DIT   LAGERAUT                   
LIEU-DIT   LES LAISES                 
LIEU-DIT   LES LIANDES                
LIEU-DIT   LES LISONNIERES            
LIEU-DIT   LE LIZA                    
LIEU-DIT   LA LOGE                    
LIEU-DIT   LES LOGES                  
LIEU-DIT   LONGIENNE                  
LIEU-DIT   LES LONGUES PLANCHES       
LIEU-DIT   LES MAGNOUX                
LIEU-DIT   LA MANGEROLLE              
LIEU-DIT   LA MARGERE                 
LIEU-DIT   LA MARTINIERE              
LIEU-DIT   LES MARTINIERES            
LIEU-DIT   LES MATS                   
LIEU-DIT   LES MELIERS                
LIEU-DIT   MESSIGNAC                  
LIEU-DIT   LA MIANNE                  
LIEU-DIT   LE MILIEU                  
LIEU-DIT   LES MOLIERES               
LIEU-DIT   LE MOLLET                  
LIEU-DIT   LES MOMPAS                 
LIEU-DIT   MONTAJEAU                  
LIEU-DIT   MONTERBAN                  
LIEU-DIT   LES MORCEAUX               
LIEU-DIT   LES MOUILDIS               
LIEU-DIT   LES MOULIERES              
LIEU-DIT   LE MOULIN                  
LIEU-DIT   LES MOULINS                
LIEU-DIT   LES MURAILLES              
LIEU-DIT   LES NEUF VEAUX             
LIEU-DIT   LES NOUGERESSES            
LIEU-DIT   LES NOYERS                 
LIEU-DIT   LES ORMEAUX                
LIEU-DIT   L OUTRE                    
LIEU-DIT   LES PALETTES               
LIEU-DIT   LA PANDILLE                
LIEU-DIT   LE PARADIS                 
LIEU-DIT   LE PARC                    
LIEU-DIT   LA PASSAGERE               
LIEU-DIT   LES PATROUILLERES          
LIEU-DIT   LE PATURAL                 
LIEU-DIT   LE PATURAL A ROCHOUX       
