20151101
64         PYRENEES ATLANTIQUES          
LIEU-DIT   COUME D ARRIPE             
LIEU-DIT   COUNDRES                   
LIEU-DIT   CRESTIA                    
LIEU-DIT   DABAN ATHAS                
LIEU-DIT   D ARRECHAU                 
LIEU-DIT   DEBAT LESPOUNE             
LIEU-DIT   DESSUS PELOY ET BARRAN     
LIEU-DIT   ESQUE                      
LIEU-DIT   ET GLERE                   
LIEU-DIT   ET SALIET                  
LIEU-DIT   ESCOURRETS HIERET LABARQUE 
LIEU-DIT   ETS MAILS                  
LIEU-DIT   ETS PISES                  
LIEU-DIT   ETS PLECHOTS ET CAP DE BRO 
LIEU-DIT   LA GARGANDE                
LIEU-DIT   ICHANTES                   
LIEU-DIT   IZAURE                     
LIEU-DIT   JAURE                      
LIEU-DIT   JOUERS                     
LIEU-DIT   LABAT DE LHERS             
LIEU-DIT   LABAT DE LHERS ET MANSALTE 
LIEU-DIT   LABIGOUER                  
LIEU-DIT   LALACUE                    
LIEU-DIT   LA NABE                    
LIEU-DIT   LANNE DET MIEY             
LIEU-DIT   LANOT DE DABAN             
LIEU-DIT   LEN                        
LIEU-DIT   LIAPRE                     
LIEU-DIT   LOSQUE DE PONCE            
LIEU-DIT   LUGARRAS                   
LIEU-DIT   LES MALESSES DE LABIGOUER  
LIEU-DIT   MONTAGNE DE LACUARDE       
LIEU-DIT   MONTAGNE DE LIET           
LIEU-DIT   MONTAGNE DE LIART          
LIEU-DIT   MONTAGNE DE PONCE          
LIEU-DIT   MONTAGNOT                  
LIEU-DIT   PEDAING DE LOSQUE          
LIEU-DIT   PETRABE                    
LIEU-DIT   PISES                      
LIEU-DIT   PLANE DE CHARACOU          
LIEU-DIT   LE POEY                    
LIEU-DIT   PONT DE LESCUN             
LIEU-DIT   BIALA ET GABERCEN          
LIEU-DIT   COSTE DE ST CHRISTAU BERGO 
LIEU-DIT   MONTAGNE DE GEE OU D ISEYE 
LIEU-DIT   SAINT CRISTAU              
LIEU-DIT   SAINT JILOUA               
LIEU-DIT   SECQUE SPIOU               
LIEU-DIT   SERRELONGUE                
LIEU-DIT   SOUM D AULET               
LIEU-DIT   ST GILOUA ET LAGAHE        
LIEU-DIT   TEMBLA DU LAPASSA          
LIEU-DIT   TRESIMAN                   
LIEU-DIT   URE                        
LIEU-DIT   VILLAGE                    
VC         D ARRECHAU                 
VC         D AULET                    
PLACE      DE LA MAIRIE               
RUE        DE BAIX                    
RUE        BEGARIE                    
CHEMIN     CARRERASSE                 
RUE        CENTRALE                   
RUE        COSTE MARIOU               
RUE        DARRE CHICHETTE            
RUE        DARRE LAURENS              
VC         D ESPLATE                  
RUE        ESQUERRE                   
RUE        FONTAINE PELOY             
RUE        DU FOUR CANDAU             
CHEMIN     DE GARCET                  
RUE        DE HAUT                    
RUE        LABEGUERE                  
RUE        MADRILH                    
PLACE      DE LA MAIRIE               
RUE        MATACHOT                   
RUE        DU MOULIN                  
N          134                        
RUE        DU POUEY                   
VC         DU SAILLET                 
RUE        TRANICOT                   
RUE        TROUSSILH                  
           commune :     AGNOS                          departement : PYRENEES ATLANTIQUES          
LOT        DU BINET                   
LOT        LE CLOS DE LA GLORIETTE    
LOT        LES OLIVIERS               
LOT        LE PAS D ASPE              
LOT        PLAINE DE GERS             
LOT        RESIDENCES DE LA PLAINE    
LOT        LE SOUM DE SEGU            
LOT        DU TERMY                   
LOT        LE TERMY 3                 
LOT        LE TERMY 4                 
LOT        ZA DES PYRENEES            
LOT        LE VAL D ASPE              
LIEU-DIT   BACHAGUES                  
LIEU-DIT   BAREILLE                   
LIEU-DIT   GERS                       
LIEU-DIT   LABAIG ET LASSEROS         
LIEU-DIT   LANNE DE HAUT              
LIEU-DIT   LASSERRE                   
LIEU-DIT   MESPLOUS                   
LIEU-DIT   PLOUTS                     
LIEU-DIT   SAYETTE                    
LIEU-DIT   SERRECASTEIG               
LIEU-DIT   VILLAGE                    
RUE        D AGNOS                    
RUE        D ARLET                    
CHEMIN     DE BACCARAU                
IMPASSE    DU CAMP DE CESAR           
RUE        DE BACHAGUES               
IMPASSE    DU BINET                   
RUE        DU BINET                   
PLACE      DES BRUYERES               
CHEMIN     DE BUGUANGUE               
RUE        DU CAMP DE CESAR           
PLACE      DES CHARDONS               
RUE        DU CHATEAU                 
IMPASSE    DU CHENE                   
CHEMIN     DE LA COLLINE              
RUE        DES COQUELICOTS            
RUE        DES EDELWEISS              
RUE        DE L EGALITE               
RUE        DES EGLANTINES             
IMPASSE    DES GENTIANES              
RUE        DE LA GLORIETTE            
IMPASSE    DE LA GLORIETTE            
RUE        DES IRIS                   
RUE        DU LOU PARIS               
IMPASSE    DES LYS                    
RUE        DE PARIS                   
RUE        DU PLOUTS                  
RUE        DES PYRENEES               
RUE        DU TERMY                   
RUE        DE L UNION                 
RUE        DES VIOLETTES              
           SOUM DE SEGU               
RUE        SOUM DE SEGU               
           commune :     AHAXE-ALCIETTE-BASCASSAN       departement : PYRENEES ATLANTIQUES          
LIEU-DIT   AHAXAMENDY                 
LIEU-DIT   AHAXE CHILO                
LIEU-DIT   AHAXE ONDO                 
LIEU-DIT   BASTIDA                    
LIEU-DIT   BELLARRE                   
LIEU-DIT   BOURGUISTA                 
LIEU-DIT   CAPILLA                    
LIEU-DIT   CHILINCHABIDE              
LIEU-DIT   ERRECALDIA                 
LIEU-DIT   ERROMATEGUY                
LIEU-DIT   GARATAMENDY                
LIEU-DIT   GASTALEPHO                 
LIEU-DIT   GASTELLU                   
LIEU-DIT   GATARRE                    
LIEU-DIT   IRAANE                     
LIEU-DIT   IRIBERRY                   
LIEU-DIT   IRIGOIN                    
LIEU-DIT   ITALATCE                   
LIEU-DIT   ITALAXE                    
LIEU-DIT   LAHIBOUROU                 
LIEU-DIT   LAHIBOUROUGAINA            
LIEU-DIT   LARLOUCIA                  
LIEU-DIT   LIBIETA                    
LIEU-DIT   LITAMENDY                  
LIEU-DIT   MENDIGAGNE                 
LIEU-DIT   MINDURRY                   
LIEU-DIT   MONHOUA                    
LIEU-DIT   OLHERRY                    
LIEU-DIT   OLHERRY CO BORDA           
LIEU-DIT   OSPITALETCHE               
LIEU-DIT   OUHAITCIA                  
LIEU-DIT   SAGARDOYGUIBELE            
LIEU-DIT   SARLANCIA                  
LIEU-DIT   SEINEGUY                   
LIEU-DIT   SIBIETA                    
LIEU-DIT   UHALDIA                    
LIEU-DIT   UHARTIA                    
LIEU-DIT   VILLAGE D AHAXE            
LIEU-DIT   VILLAGE D ALCIETTE         
LIEU-DIT   VILLAGE DE BASCASSAN       
ROUTE      D IRATY                    
           commune :     AHETZE                         departement : PYRENEES ATLANTIQUES          
LOT        ELIZ ALDEA                 
LOT        ERROTA ZAHAR               
LOT        LOUVRADOUX                 
LOT        PEILLE                     
LOT        PLAZAKO LANDA              
LOT        SOLORZANO                  
RESIDENCE  BASARRI                    
RESIDENCE  ETXAHUN                    
RESIDENCE  OTXALDE                    
RESIDENCE  UZTAPIDE                   
RESIDENCE  XALBADOR                   
RESIDENCE  XAMPUN                     
LIEU-DIT   ADAMENEA                   
LIEU-DIT   AGUERRIA                   
LIEU-DIT   AKERRETA                   
LIEU-DIT   AMISSOLA                   
LIEU-DIT   BELHARDIA                  
LIEU-DIT   BERNATENIA                 
LIEU-DIT   BIPERENBORDA               
LIEU-DIT   CHAHARRENEA                
LIEU-DIT   CHANGOENEA                 
LIEU-DIT   CHIMICORENBORDA            
LIEU-DIT   CIPIAENEA                  
LIEU-DIT   CIPIENA                    
LIEU-DIT   DORREA                     
LIEU-DIT   ESTELAUR                   
LIEU-DIT   ETCHEBIAGA                 
LIEU-DIT   HAROZTEGIA                 
LIEU-DIT   HARRIETA                   
LIEU-DIT   ITHURBIDENBORDA            
LIEU-DIT   ITHURBIDIA                 
LIEU-DIT   JOUANETENEA                
LIEU-DIT   KASKOINHERRIA              
LIEU-DIT   LAHARAGA                   
LIEU-DIT   LARRE ONDOA                
LIEU-DIT   LARRELOUSSIA               
LIEU-DIT   LARRETCHEVERRIA            
LIEU-DIT   LARRUNTA                   
LIEU-DIT   LAURENTZENIA               
LIEU-DIT   MASCOENEA                  
LIEU-DIT   MENDI ALDEA                
LIEU-DIT   MOLERESKO LARREA           
LIEU-DIT   MOSKOLOENEA                
LIEU-DIT   OLHAINIA                   
LIEU-DIT   ORGANBERRIA                
LIEU-DIT   OSTALERIAKOBORDA           
LIEU-DIT   OSTOLAPIA                  
LIEU-DIT   OURONIA                    
LIEU-DIT   LA PLACE                   
LIEU-DIT   UHAZALDEA                  
LIEU-DIT   MESTELANKOPARETA           
CHEMIN     ADAMENEA                   
CHEMIN     D'AGERREA                  
CHEMIN     ALTURAN                    
CHEMIN     AMIZOLA                    
CHEMIN     D'ARRAKOTENEA              
CHEMIN     D'ARROBIA                  
CHEMIN     APEZAIN LANDA              
ROUTE      D'ARBONNE                  
CHEMIN     D'ATXOTA                   
CHEMIN     DE BASOA                   
CHEMIN     DE BETRITTOENEA            
ROUTE      DE BIDART                  
CHEMIN     BELARDIA                   
CHEMIN     DE BERNATENEA              
CHEMIN     BERROUETA                  
CHEMIN     DE BIDEGARAYA              
CHEMIN     DE BIDEXKA                 
CHEMIN     DE BIKARIONEA              
CHEMIN     DE BIPERRENBORDA           
CHEMIN     ELIZ ALDEA                 
CHEMIN     DE DOMINTXENEA             
CHEMIN     DE DORREA                  
ROUTE      ETCHE CHURRIA              
CHEMIN     D'ERROTA                   
CHEMIN     D'ERROTA XAHAR             
CHEMIN     DE FRANTSAENEA             
CHEMIN     D'HARRETXEA                
CHEMIN     D'HARRIETA                 
CHEMIN     HILHERRIA                  
CHEMIN     D'ITURBIDEA                
CHEMIN     DE LAHARRAGA               
CHEMIN     DE LARRALDEA               
CHEMIN     DE LARREKOINA              
CHEMIN     DE LARRUNTA                
CHEMIN     DE MARIATTOENEA            
CHEMIN     DE MULIENEA                
CHEMIN     OLHAINA                    
CHEMIN     LARRE LUZEA                
CHEMIN     OLHAENEA                   
CHEMIN     D'ORGENBIDEA               
CHEMIN     OSO                        
CHEMIN     D'OSTALERIA                
ROUTE      DE SAINT PEE               
CHEMIN     D'OSTALERIAKOBORDA         
CHEMIN     DE PENDIXA                 
ROUTE      DE SAINT JEAN DE LUZ       
CHEMIN     D'OSTALAPEA                
CHEMIN     PLAZAKO LANDA              
CHEMIN     SASKOENEA                  
CHEMIN     PAULOENEA                  
CHEMIN     D'UHARTEA                  
CHEMIN     D'UHAZALDEA                
CHEMIN     D'URONEA                   
CHEMIN     DE XIMIKOENEA              
CHEMIN     DE XIMIKORENBORDA          
CHEMIN     D'ESKOLA                   
CHEMIN     D'ETXEHERRIA               
RUE        HERRIKO BIHOTZA            
CHEMIN     D'ITURBIDENBORDA           
CHEMIN     D'ITURRALDEA               
CHEMIN     DE JOANETAENEA             
CHEMIN     DE KALLARDOENEA            
CHEMIN     DE MARIHARTENEA            
CHEMIN     DE MARTIKOTENIA            
PLACE      MATTIN TRECU               
CHEMIN     DE MERLATUA                
CHEMIN     D'OLHANGO BIDEA            
CHEMIN     D'ERROTAXAHARRA            
CHEMIN     GAZTELU BERRIA             
CHEMIN     HAIZE TOKI                 
CHEMIN     HAROZTEGIA                 
CHEMIN     MENDI ALDE                 
CHEMIN     ECHCORTERIA                
PLACE      DES BERTSULARI             
CHEMIN     DES CHENES                 
CHEMIN     HERRIXKA                   
           commune :     AICIRITS CAMOU SUHAST          departement : PYRENEES ATLANTIQUES          
LOT        CNRO                       
LOT        GUILLEMET                  
LOT        JOUANTHO                   
QUA        LAMERENS                   
LOT        LASSABE                    
LOT        P. HOURCADETTE             
LOT        TTARGA                     
LIEU-DIT   A                          
LIEU-DIT   BORDENAVE                  
LIEU-DIT   CAMOU NORD                 
LIEU-DIT   CAMOU SUD                  
LIEU-DIT   CHANGARE                   
LIEU-DIT   ESCUTARY                   
LIEU-DIT   ETCHECOIN                  
LIEU-DIT   ETCHEVERS                  
LIEU-DIT   EYHERACHAR                 
LIEU-DIT   HIPPODROME                 
LIEU-DIT   LAMERENS                   
LIEU-DIT   LE MOULIN                  
LIEU-DIT   SALDICHURY                 
LIEU-DIT   SALHA                      
LIEU-DIT   SUHAST NORD                
LIEU-DIT   SUHAST SUD                 
LIEU-DIT   LE VILLAGE                 
ROUTE      D AICIRITS                 
ROUTE      DE L EGLISE                
AVENUE     THEODORE D'ARTHEZ          
ROUTE      DEPARTEMENTALE 11          
ROUTE      DEPARTEMENTALE 29          
ROUTE      DEPARTEMENTALE 529         
ROUTE      DEPARTEMENTALE 933         
ROUTE      D'ARBERATS                 
ROUTE      D'ARBOUET                  
ROUTE      D'AYERGUY                  
IMPASSE    BIAK                       
IMPASSE    BORDABERRY                 
ROUTE      DE BORDABERRY              
ALLEE      DE CHOURY                  
ROUTE      DES ECOLES                 
ROUTE      EGLISE DE SUHAST           
ROUTE      DE L'EGLISE SUHAST         
ROUTE      ELGARTEMIX                 
IMPASSE    EMEKI                      
IMPASSE    ERREKARTIA                 
ROUTE      ESPERANTZA                 
ROUTE      D'ESQUILAMBORDE            
ROUTE      ETCHARTIA                  
RUE        ETXE GOXOAK                
ROUTE      DE EYHERACHAR              
ROUTE      JEAN DE LA GARDE           
ALLEE      GOXOKI                     
CHEMIN     DU GUE                     
RUE        HAIZPE                     
ROUTE      D'IHITZAGUE                
ROUTE      DE JAUBERRIA               
