20151101
16         CHARENTE                      
LIEU-DIT   LES BOIS DE LA TOUR        
LIEU-DIT   LES BOIS DE LAVAUD         
LIEU-DIT   LES BOIS DES JARRIS        
LIEU-DIT   BOIS DES MERLES            
LIEU-DIT   LES BOIS DU BOUX           
LIEU-DIT   BOIS DU GLAND              
LIEU-DIT   LE BOURG                   
LIEU-DIT   LE BOUX                    
LIEU-DIT   LES BRANDES                
LIEU-DIT   LES CASSOTES               
LIEU-DIT   LE CHAMP DE L EPINETTE     
LIEU-DIT   CHAMP DU LAC               
LIEU-DIT   LES CHAMPS DE CHEZ BODU    
LIEU-DIT   LES CHAMPS DE LA BOISSIERE 
LIEU-DIT   LES CHAMPS DE LA COUR      
LIEU-DIT   LES CHAMPS DEVANT LA PORTE 
LIEU-DIT   LES CHAMPS DU PUITS        
LIEU-DIT   LES CHAMPS SAUTS           
LIEU-DIT   LES CHAMPS VERRIN          
LIEU-DIT   LES CHATELIERS             
LIEU-DIT   CHEZ BERT                  
LIEU-DIT   CHEZ BODU                  
LIEU-DIT   CHEZ BRANGER               
LIEU-DIT   CHEZ CHAGNAUD              
LIEU-DIT   CHEZ COUDRET               
LIEU-DIT   CHEZ GRANGER               
LIEU-DIT   CHEZ GROYON                
LIEU-DIT   CHEZ GUESNARD              
LIEU-DIT   CHEZ JOURDAIN              
LIEU-DIT   CHEZ LISSET                
LIEU-DIT   CHEZ MACHET                
LIEU-DIT   CHEZ MACONNET              
LIEU-DIT   CHEZ PROU                  
LIEU-DIT   LA CLIE                    
LIEU-DIT   LE CLOS                    
LIEU-DIT   LES COSSANES               
LIEU-DIT   LA COUR                    
LIEU-DIT   LE COURTIOU                
LIEU-DIT   LE CREUX                   
LIEU-DIT   DERRIERE LES VIGNES        
LIEU-DIT   LES ESSARTS                
LIEU-DIT   LES GALANTS                
LIEU-DIT   LA GILARDERIE              
LIEU-DIT   LE GRAND CHAMP             
LIEU-DIT   LE GRAND RENFERME          
LIEU-DIT   LA GRANDE BEIGE            
LIEU-DIT   LA GRANDE PIECE            
LIEU-DIT   LA GRANDE REIGE            
LIEU-DIT   LES GRANDES BROUES         
LIEU-DIT   LES GRANDES OUCHES         
LIEU-DIT   LES GRANDS CHAMPS          
LIEU-DIT   LES GRANDS CHAMPS DE LA BA 
LIEU-DIT   LES GROIES                 
LIEU-DIT   LES GUITARDS               
LIEU-DIT   LES GUITARS                
LIEU-DIT   LES IMPOTS                 
LIEU-DIT   LES LOGES                  
LIEU-DIT   LE LOGIS                   
LIEU-DIT   LES MEILLIERES             
LIEU-DIT   LES MENAGERS               
LIEU-DIT   L OUCHE                    
LIEU-DIT   L OUCHETTE                 
LIEU-DIT   PANAVIN                    
LIEU-DIT   LE PATIS                   
