20151101
12         AVEYRON                       
LIEU-DIT   NOUX                       
LIEU-DIT   LA PAUZE                   
LIEU-DIT   LA PENDARIE                
LIEU-DIT   LE PESQUIE                 
LIEU-DIT   LES PLACES                 
LIEU-DIT   LA PLANE                   
LIEU-DIT   LES PLANES                 
LIEU-DIT   PLANEZE                    
LIEU-DIT   LA PLANTADE                
LIEU-DIT   LA POMAREDE                
LIEU-DIT   POUJOL                     
LIEU-DIT   LES PRADALS                
LIEU-DIT   LES PRADINES               
LIEU-DIT   PUECH BOSC                 
LIEU-DIT   PUECH DE GASCOU            
LIEU-DIT   PUECH DE LA BORIE          
LIEU-DIT   PUECH DE POUJOL            
LIEU-DIT   PUECH DEL MOULI            
LIEU-DIT   PUECH DEL REY              
LIEU-DIT   PUECHAGUT                  
LIEU-DIT   LA RIALE                   
LIEU-DIT   LE ROC DE L ENNE           
LIEU-DIT   RODEIS                     
LIEU-DIT   ROUZIES                    
LIEU-DIT   SAINTE CATHERINE           
LIEU-DIT   LE SALVAGE                 
LIEU-DIT   SELVE                      
LIEU-DIT   SENTORIE                   
LIEU-DIT   SERRES                     
LIEU-DIT   SOLS                       
LIEU-DIT   LA TAYRADE                 
LIEU-DIT   LES TESSONIERES            
LIEU-DIT   LE TIOULAS                 
LIEU-DIT   LA TIOULE                  
LIEU-DIT   TRANTOUL                   
LIEU-DIT   LE TRAVERS ET PRAT NAU     
LIEU-DIT   VERNHOLS                   
LIEU-DIT   LA VIALE                   
LIEU-DIT   VIGNE MIQUELE              
LIEU-DIT   LA VIGNOTTE                
LIEU-DIT   L ETOILE                   
LIEU-DIT   LE BOURG                   
PLACE      CENTRES                    
ROUTE      DE LA MICALIE              
           commune :     ALPUECH                        departement : AVEYRON                       
LIEU-DIT   ALPUECH                    
LIEU-DIT   LA BARENE                  
LIEU-DIT   LE BIAUGA                  
LIEU-DIT   BOUGES                     
LIEU-DIT   LE BOUISSOU                
LIEU-DIT   LA BRANQUE                 
LIEU-DIT   LA BRANQUE ALTE            
LIEU-DIT   CABELS                     
LIEU-DIT   CAMP SAINT MARTY           
LIEU-DIT   LES CANALS                 
LIEU-DIT   LES CANDELES               
LIEU-DIT   LE CAYLA                   
LIEU-DIT   LE CAYRE                   
LIEU-DIT   LA CAZELLE                 
LIEU-DIT   LE CONTRAS                 
LIEU-DIT   COSELLE BROUSLADE          
LIEU-DIT   LES COSTES                 
LIEU-DIT   LE COUDERC                 
LIEU-DIT   COUFINHAL                  
LIEU-DIT   LA CROSE                   
LIEU-DIT   ESPEYRAC                   
LIEU-DIT   LE FANGASSOU               
LIEU-DIT   FONT CAVE                  
LIEU-DIT   LES FRAUX                  
LIEU-DIT   LES INDICES                
LIEU-DIT   JOUNQUET                   
LIEU-DIT   LACROZE                    
LIEU-DIT   LADRECH                    
LIEU-DIT   LE MOULIN DE RODES         
LIEU-DIT   PAS DE LAVAYSSE            
LIEU-DIT   PEYRE FICADE               
LIEU-DIT   LES PRADES                 
LIEU-DIT   PRE D ETIENNE              
LIEU-DIT   PRE LONG                   
LIEU-DIT   PRE MUROL                  
LIEU-DIT   PRIDOUGOUS                 
LIEU-DIT   PUECH FOURQUE              
LIEU-DIT   RICOUR                     
LIEU-DIT   LA RODE                    
LIEU-DIT   LE ROUQUAT                 
LIEU-DIT   LES SINGLES                
LIEU-DIT   SISTROUS                   
LIEU-DIT   LA TAURE                   
LIEU-DIT   LE TERON                   
LIEU-DIT   LE TRAP BAS                
LIEU-DIT   LE TRAP NALT               
LIEU-DIT   LA VAYSSIERE               
LIEU-DIT   LA VIALETTE                
