20151101
02         AISNE                         
LIEU-DIT   AU DESSUS DES GOYERES      
LIEU-DIT   DESSUS DES TREILLES        
LIEU-DIT   LE DESSUS DES TREILLES SUD 
LIEU-DIT   AU DESSUS DU CHEMIN DE COR 
LIEU-DIT   AU DESSUS DU GRAND SAVART  
LIEU-DIT   AU DESSUS DU MARCHONNET    
LIEU-DIT   AU DESSUS DU MOULIN DE L E 
LIEU-DIT   AU DSU DU RAVIN DE FONTENA 
LIEU-DIT   DSU LA CARRIERE SAINT MEDA 
LIEU-DIT   DEVANT D HUISY             
LIEU-DIT   LES DOUVYERS               
LIEU-DIT   ENTRE DEUX RUES            
LIEU-DIT   LE FOND DES NAMEELLES      
LIEU-DIT   LE FOND DES ROSSOIS        
LIEU-DIT   LE FOND DU BOCHAU          
LIEU-DIT   LA FONTAINE DES MECHES     
LIEU-DIT   LA FONTAINE DES MECHES SUD 
LIEU-DIT   LA FONTAINE HUYON          
LIEU-DIT   LA FONTAINE ROUGE          
LIEU-DIT   FONTENAILLE                
LIEU-DIT   LE FONTENU                 
LIEU-DIT   LES FONTINETTES            
LIEU-DIT   LES FONTINETTES NORD       
LIEU-DIT   LA FOSSE AUX FRESNES       
LIEU-DIT   LA FOSSE DU MENIL          
LIEU-DIT   LA GALOPPE                 
LIEU-DIT   LE GIRLOT                  
LIEU-DIT   LA GLAUX                   
LIEU-DIT   LA GLAUX SUD               
LIEU-DIT   LE GOUGEON                 
LIEU-DIT   LA GOUTIERE                
LIEU-DIT   LA GOUTIERE OUEST          
LIEU-DIT   LE GRAND JARDIN            
LIEU-DIT   GRAVELINE                  
LIEU-DIT   EN HAUT DE LA RUELLE DE CI 
LIEU-DIT   JURY                       
LIEU-DIT   LES LARRIS                 
LIEU-DIT   LES LARRIS GENET           
LIEU-DIT   LAUBEAU                    
LIEU-DIT   MARAIS DES CORVES          
LIEU-DIT   MARAIS DES CORVES OUEST    
LIEU-DIT   LE MARCHONNET              
LIEU-DIT   LES MEMES LOTS             
LIEU-DIT   LE MENIL                   
LIEU-DIT   MONT DES CHOUETTES         
LIEU-DIT   LA MONTAGNE DE JURY        
LIEU-DIT   LA MONTAGNE DES BOIS THIBA 
LIEU-DIT   LA MONTAGNE DU PAVILLON    
LIEU-DIT   LE MONTAIGU                
LIEU-DIT   MONTJART                   
LIEU-DIT   LE MOULIN DE L ETANG       
LIEU-DIT   MOULIN DE L ETANG          
LIEU-DIT   LE PARADIS                 
LIEU-DIT   LE PARADIS NORD            
LIEU-DIT   LE PAVILLON                
LIEU-DIT   LE PAYER                   
LIEU-DIT   LES PEINES LAMBERT         
LIEU-DIT   PICOT                      
LIEU-DIT   LE PILOURY                 
LIEU-DIT   LA PLAINE DU PAVILLON      
LIEU-DIT   LES PLES                   
LIEU-DIT   LES PRES DE CANARD         
LIEU-DIT   PRES DE CHAUFOURS          
LIEU-DIT   LES PRES DE LA MAZURE      
LIEU-DIT   LES PRES DE LA MAZURE-NORD 
LIEU-DIT   LES PRES DU MARAIS         
LIEU-DIT   LES PRES DU MARCHONNET     
LIEU-DIT   PRES LES FOSSES            
LIEU-DIT   LE PUITS D AMBRIEF         
LIEU-DIT   LES PUTES                  
LIEU-DIT   RAVIN DE CHEVREUX          
LIEU-DIT   RAVIN DE FONTENAILLE       
LIEU-DIT   LES ROCHES DU BOCHAU       
LIEU-DIT   LES ROISES                 
LIEU-DIT   LES RONSETS                
LIEU-DIT   LES ROSSOIS                
LIEU-DIT   ROYARD                     
LIEU-DIT   LE RU PREUX                
LIEU-DIT   RUE DU MOULIN              
LIEU-DIT   LA RUELLE DE CIRY          
LIEU-DIT   LA RUELLE GILLE            
LIEU-DIT   LA RUELLE MORET            
LIEU-DIT   LA RUELLE MORET NORD       
LIEU-DIT   LA SALLE                   
LIEU-DIT   LA SAULSCELLE              
LIEU-DIT   LES SAUSSAIES DU MARCHONNE 
LIEU-DIT   LES SAUSSAIES DU MENIL     
LIEU-DIT   LES SAUSSAIES DU MESNIL SU 
LIEU-DIT   SAVART DE FONTENU          
LIEU-DIT   SAVART DE PLORAIN          
LIEU-DIT   LA SIERGE                  
LIEU-DIT   SOUS COINON                
LIEU-DIT   SOUS LA COUTURE            
LIEU-DIT   SOUS LA CROISETTE          
LIEU-DIT   SOUS LA FONTAINE CHARON    
LIEU-DIT   SOUS LA JUSTICE            
LIEU-DIT   SOUS LES ANNOIS            
LIEU-DIT   TERRES DE VOIDELLE         
LIEU-DIT   TERRES DU MARAIS DES CORVE 
LIEU-DIT   LES TERRES DU MONTJARD     
LIEU-DIT   TERRES DU RU PREUX         
LIEU-DIT   VAILLY                     
LIEU-DIT   LES VANTEAUX               
LIEU-DIT   VIGNERON                   
LIEU-DIT   LES VIGNES DU MONTAIGU     
LIEU-DIT   LES VIGNES MADAME          
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   LE VILLAGE DE JURY         
LIEU-DIT   VOIDELLE                   
LIEU-DIT   LES VOYETTES               
LIEU-DIT   AU DESSUS DE LA RUELLE DE  
RUE        DE L AUBE                  
RUE        DES ALOES                  
RUE        DU BIA                     
RUE        DE LA BOISTELLE            
RUE        DU CARRIER                 
RUE        DE LA CHAPELLE             
RUE        DU CHAUFFOUR               
RUE        DE CHEVREUX                
RUE        DE LA CROIX DU CARRIER     
RUE        DE LA CROUTELLE            
SENTIER    DU CROTTOIS                
RUE        DES ECOLES                 
RUELLE     GILLES                     
GR         GRANDE RUE                 
RUE        DU JURY                    
RUE        DE LA MAIRIE               
PLACE      DE LA MAIRIE               
RUE        DE LA MAZURE               
RUE        DU MESNIL                  
RUE        DU MONTJARD                
RUE        DU MOULIN DE L ETANG       
RUE        DES PRES                   
RUE        PREUX                      
RUE        DE LA SALLE                
ROUTE      DE PUISIEUX                
RUE        DU PUITS DES CHEVAUX       
RUE        DE LA SIEGE                
RUE        DE SOISSONS                
RUE        DE VENIZEL                 
SENTIER    DES VOYETTES               
           commune :     AGNICOURT ET SECHELLES         departement : AISNE                         
           LES LEGERES                
LIEU-DIT   LA BASSIERE                
