20151101
25         DOUBS                         
LIEU-DIT   LA MANESSE                 
LIEU-DIT   A MARCHE                   
LIEU-DIT   SUR LA MAUGERE             
LIEU-DIT   LA MOUGEOTTE               
LIEU-DIT   LE PARADIS                 
LIEU-DIT   LES FASSANAUX              
LIEU-DIT   LA PERINOTTE               
LIEU-DIT   SUR LE PEU                 
LIEU-DIT   PIECES AU GREVELOT         
LIEU-DIT   PIECES D EPINES            
LIEU-DIT   AUX PIECES DE SOI          
LIEU-DIT   LA PINCHELINE              
LIEU-DIT   EN PISSEVIEILLE            
LIEU-DIT   PLANCHE JACQUES MATHIEU    
LIEU-DIT   SUR PLANCHE JACQUES MATHIE 
LIEU-DIT   LA PLANTE                  
LIEU-DIT   AU POSTULANT               
LIEU-DIT   PRE REBOUTON               
LIEU-DIT   AU PRE VOYEN               
LIEU-DIT   PRES AU PRETRE             
LIEU-DIT   PRES BERNARD               
LIEU-DIT   PRES BOULMIERS             
LIEU-DIT   PRES D ETOLE               
LIEU-DIT   PRES DE LA CORNE JEAN THOM 
LIEU-DIT   PRES DE LA FONTAINE DE VEN 
LIEU-DIT   PRES DE LA MAUGERE         
LIEU-DIT   PRES DE LA TAILLEUSE       
LIEU-DIT   PRES DE LA VAIVRE          
LIEU-DIT   PRES SAINT MARTIN          
LIEU-DIT   PRES DES VERGERS DESSOUS   
LIEU-DIT   PRES DES VERGERS DESSUS    
LIEU-DIT   PRES DU CARON              
LIEU-DIT   PRES DU PONTOT DESSUS      
LIEU-DIT   PRES DU PONTOT DU BAS      
LIEU-DIT   PRES DU PRINCE             
LIEU-DIT   PRES VIGIERS               
LIEU-DIT   LE PUY                     
LIEU-DIT   RANG AU DROLE              
LIEU-DIT   RANG DE BELIN              
LIEU-DIT   SUR LE RANG DE PUY         
LIEU-DIT   LE RANG POUCHIS            
LIEU-DIT   AUX RENARDIERES            
LIEU-DIT   REVERS DES VOICHISES       
LIEU-DIT   REVERS PANICET             
LIEU-DIT   SUR LA RIOTTE              
LIEU-DIT   SUR SAINT MARTIN           
LIEU-DIT   LE SAUVAUX                 
LIEU-DIT   AU SOULOYER                
LIEU-DIT   SOUS LA GRETTE             
LIEU-DIT   SOUS LE CHATEAU            
LIEU-DIT   SOUS LE CHATELOT           
LIEU-DIT   SOUS LE CHEMIN DE LA CHASS 
LIEU-DIT   SOUS LES MURS              
LIEU-DIT   SOUS LES VIGNES AU PRETRE  
LIEU-DIT   LA TAILLEUSE               
LIEU-DIT   TERRES ROUGES              
LIEU-DIT   LA TRINITE                 
LIEU-DIT   SUR VENDOLE                
LIEU-DIT   AUX VERGEROTS              
LIEU-DIT   LA VERPILLERE              
LIEU-DIT   VERSOUS                    
LIEU-DIT   LA VIGNASSE                
LIEU-DIT   VIGNES AU PRETRE           
LIEU-DIT   VIGNES A POUCHIS           
LIEU-DIT   VIGNES BELIN               
LIEU-DIT   VIGNES BLANCHES            
LIEU-DIT   VIGNES DE LA ROUTE         
LIEU-DIT   SUR LES VIGNES DE LAS      
LIEU-DIT   VIGNES DE LAS              
LIEU-DIT   VIGNES DES CHANDELOTTES    
LIEU-DIT   VIGNES DES TRANCHEES       
LIEU-DIT   VIGNES DU CHATELOT         
LIEU-DIT   VIGNES DU COTARD           
LIEU-DIT   VIGNES MONIN               
LIEU-DIT   VIGNES SAINT MARTIN        
LIEU-DIT   AU VILLAGE                 
LIEU-DIT   VILLAGE DU BAS             
LIEU-DIT   AUX VOICHISES              
LIEU-DIT   SOUS LE BOIS DES CHANDELOT 
LIEU-DIT   CHAMPS DE L ETOLLE         
GR         GRANDE RUE                 
RUE        ALBERT 1ER                 
RUE        DE BELLEVUE                
RUE        DE L EGLISE                
CHEMIN     DU RELAIS                  
RUE        DES CHAMPS LIMBAS          
RUE        DU CHATELOT                
RUE        DES COMBES                 
RUE        DES FAVORGES               
IMPASSE    DES GRANGES                
CHEMIN     DE LA GRANDE FIN           
RUE        DES JARDINS                
RUE        JOUFFROY D ABBANS          
IMPASSE    DU MONUMENT                
CHEMIN     DU POSTULANT               
ROUTE      DE QUINGEY                 
RUE        DU RANCHOT                 
RUE        SAINT MARTIN               
RUE        DU SIGNAL                  
IMPASSE    DES VIGNES                 
           commune :     ABBENANS                       departement : DOUBS                         
LOT        DU PAQUIS                  
LIEU-DIT   LES ARBUES                 
LIEU-DIT   EN BAILLARD                
LIEU-DIT   EN BELINE                  
LIEU-DIT   EN BELLE VOYE              
LIEU-DIT   BIEF DU MIELET             
LIEU-DIT   LA BILLAUDINE              
LIEU-DIT   EN BILLEBOIS               
LIEU-DIT   AU BLANC NOYER             
LIEU-DIT   BOIS BANAL                 
LIEU-DIT   BOIS DE CHANSALARD         
LIEU-DIT   BOIS DE LA COTE DE FER     
LIEU-DIT   BOIS DE RANTARCEY          
LIEU-DIT   BOIS DU CHANOIS            
LIEU-DIT   LA BONNE FONTAINE          
LIEU-DIT   EN BOULAN                  
LIEU-DIT   LE BOUTENIER               
LIEU-DIT   EN BOYARD                  
