20151101
79         DEUX SEVRES                   
           RESIDENCE DU CHATEAU       
IMPASSE    DE CATINION                
RUE        DE CATINION                
IMPASSE    DU CHENE                   
RUE        DU CHENE VERT              
IMPASSE    DES CHARMES                
RUE        CHIRON MACON               
RUE        DES CHARMES                
SQUARE     DES CHARMES                
RUE        CHOPIN                     
RUE        DES CHEVREFEUILLES         
SQUARE     CLEMENT ADER               
IMPASSE    DES CHARDONNERETS          
SQUARE     COLETTE                    
RUE        COLETTE DUVAL              
ALLEE      DES COQUELICOTS            
RUE        DE COUTEAUDEAU             
ROUTE      DE  BUFFAGEASSE            
RUE        DU COUVENT                 
PLACE      DE LA DEFFRIE              
CHEMIN     DE LA DIGUE                
RUE        DE LA DIGUE                
PLACE      DU 19 MARS 1962            
CHEMIN     DES EGAUX                  
RUE        DES EGLANTINES             
RUE        DE L'EGLISE                
SQUARE     DE L ERABLE                
RUE        DES FAUVETTES              
IMPASSE    DU FIEF CAILLON            
RUE        DU FIEF CHEVALIER          
RUE        DU FIEF SOLEIL             
IMPASSE    DES FONTENELLES            
RUE        DES FONTENELLES            
IMPASSE    JACQUELINE AURIOL          
RUE        DES HIRONDELLES            
RUE        DE LA GARENNE              
CHEMIN     DE LA GRANGE               
RUE        DU HAUT DE LA ROUSSELLERIE 
RUE        DE LA GUIRANDE             
RUE        DE LA GARE                 
RUE        DU GENERAL RESNIER         
RUE        GEORGE SAND                
SQUARE     GEORGE SAND                
RUE        DU HAMEAU DE LA MOIE       
RUE        HENRI PICOU                
RUE        DU HAMEAU DE L EBAUPIN     
RUE        HELENE BOUCHER             
IMPASSE    DE LA JAMINE               
VC         LE HAMEAU DE PISSARDANT    
RUE        JEAN BELIN                 
ROUTE      DE HAUT MAIRE              
RUE        JEAN F LAURENT RABAULT     
RUE        JEAN MERMOZ                
RUE        DES HERSES                 
RUE        ALPHONSE DE LAMARTINE      
CHEMIN     DU LOGIS                   
IMPASSE    LYDIA LITVAK               
IMPASSE    DU LEVANT                  
IMPASSE    LULLI                      
PLACE      DE LA MAIRIE               
ROUTE      DE MAIRE                   
RUE        MARYSE BASTIE              
RUE        DE LA MASSATRIE            
ESPLANADE  DE LA MAIRIE               
RUE        DE LA MAIRIE               
RUE        DES MESANGES               
RUE        DE LA MOIE                 
CHEMIN     DE LA MOTTE                
RUE        DU MOULIN                  
RUE        MOZART                     
RUE        DE LA NAVIGATION           
SQUARE     LYDREY                     
RUE        NEUVE                      
RUE        NICOLAS TESLA              
ROUTE      DE NIORT                   
IMPASSE    DU NOYER                   
IMPASSE    DES ORMEAUX                
RUE        DE L'OUTARDE CANEPETIERE   
           CHEMIN DE PALAIS           
RUE        DU PETIT FIEF              
IMPASSE    PETOSSE                    
ROUTE      DE PIED BLANC              
IMPASSE    DES PRES VIGNAUX           
IMPASSE    DE LA PIERRIERE            
RUE        DE LA PIERRIERE            
RUE        DES PINSONS                
RUE        DE PISSARDANT              
IMPASSE    DE LA PLAINE               
SQUARE     PLAISANCE                  
RUE        DU POITOU                  
ROUTE      DE PRAHECQ                 
RUE        DE LA PRAIRIE              
IMPASSE    DES PRES DE LA DIGUE       
RUE        DES PRES DE LAUBIER        
IMPASSE    DES QUATRE VENTS           
PLACE      RENE CASSIN                
RUE        DU RENCLOS                 
IMPASSE    DES ROCHES                 
RUE        DES ROITELETS              
IMPASSE    DES ROSIERS                
RUE        DES ROSSIGNOLS             
IMPASSE    DES ROUGES GORGES          
IMPASSE    DE LA ROUSSELLERIE         
RUE        DE LA ROUSSELLERIE         
ROUTE      DE SAINT FLORENT           
SQUARE     SAINT JACQUES              
IMPASSE    SAINT LAMBIN               
RUE        SAINT MAURICE              
RUE        DE SAINTONGE               
SQUARE     SAINTONGE                  
ROUTE      DES SANGUINIERES           
RUE        SCHUBERT                   
RUE        DE SOUCHE                  
PLACE      DU SOUVENIR FRANCAIS       
IMPASSE    STRAUSS                    
RUE        DE TARTALIN                
IMPASSE    DES TILLEULS               
RUE        DES TOURNESOLS             
ALLEE      DU TREFLE                  
RUE        DES TROIS FONTAINES        
IMPASSE    TROP MY DURE               
IMPASSE    PAUL VERLAINE              
RUE        VICTOR HUGO                
