20151101
33         GIRONDE                       
LIEU-DIT   GRAND BOIS MAJOU NORD      
LIEU-DIT   GRAND TAILLIS EST          
LIEU-DIT   GRAND TAILLIS OUEST        
LIEU-DIT   LA GRANDE COTE             
LIEU-DIT   LA GRANGE-NORD             
LIEU-DIT   LA GRANGE SUD              
LIEU-DIT   A LA GRANJOTE              
LIEU-DIT   A GRANJOTE                 
LIEU-DIT   LA GRAVE NORD              
LIEU-DIT   LA GRAVE SUD               
LIEU-DIT   LES GRAVES                 
LIEU-DIT   LA GRAVETTE                
LIEU-DIT   AUX GUERINS                
LIEU-DIT   LA HAQUETTE                
LIEU-DIT   LE HERRE EST               
LIEU-DIT   LE HERRE OUEST             
LIEU-DIT   JACQUILLE                  
LIEU-DIT   JANOUTIC                   
LIEU-DIT   JEAN DE VIDEAU EST         
LIEU-DIT   JEAN DE VIDEAU OUEST       
LIEU-DIT   JEAN DELESE                
LIEU-DIT   JEAN GRAS                  
LIEU-DIT   JEAN DUC EST               
LIEU-DIT   JEAN DUC OUEST             
LIEU-DIT   AU JUNQUET                 
LIEU-DIT   JURJETS                    
LIEU-DIT   JUSIX                      
LIEU-DIT   LACAMPAGNE                 
LIEU-DIT   A LAFARGUE                 
LIEU-DIT   LAGRANGE                   
LIEU-DIT   LAMON                      
LIEU-DIT   LAMONT                     
LIEU-DIT   LAMOTHE                    
LIEU-DIT   LANDE DE LAMON             
LIEU-DIT   LANDE DU FORGERON          
LIEU-DIT   LANINE                     
LIEU-DIT   AU LANOT                   
LIEU-DIT   LAROUDERA                  
LIEU-DIT   LARRIERE                   
LIEU-DIT   A LASSUS                   
LIEU-DIT   LA LEBE EST                
LIEU-DIT   LA LEBE-OUEST              
LIEU-DIT   LHOUMIET                   
LIEU-DIT   A LILANE                   
LIEU-DIT   LILANE                     
LIEU-DIT   LUQUET                     
LIEU-DIT   MACON DE BAS               
LIEU-DIT   MACON DE HAUT              
LIEU-DIT   MANGILLE                   
LIEU-DIT   LA MARCHANDE               
LIEU-DIT   MARCIS NORD                
LIEU-DIT   MARCIS-SUD                 
LIEU-DIT   MARQUISAT                  
LIEU-DIT   MARSAN                     
LIEU-DIT   MARSAULHOMME               
LIEU-DIT   MARTIN                     
LIEU-DIT   MATELOT                    
LIEU-DIT   LA MATTE                   
LIEU-DIT   MAYNAS                     
LIEU-DIT   MAYNIAS                    
LIEU-DIT   MAZOT                      
LIEU-DIT   A MENAOUT                  
LIEU-DIT   MESTRERENAUD               
LIEU-DIT   METAIRIE DE LA BASSE COUR  
LIEU-DIT   METAIRIE DE ROUZET         
LIEU-DIT   METAIRIE NEUVE             
LIEU-DIT   MINJOULETS                 
LIEU-DIT   MONTET                     
LIEU-DIT   MOULIN BOUYTAOUT           
LIEU-DIT   MOULIN DU TORD             
LIEU-DIT   LA PALOU                   
LIEU-DIT   LE PARRE                   
LIEU-DIT   AU PARRE                   
LIEU-DIT   PASQUET                    
LIEU-DIT   PAULY                      
LIEU-DIT   PAUMET                     
LIEU-DIT   PAUPAIL                    
LIEU-DIT   PEREY                      
LIEU-DIT   PERICON                    
LIEU-DIT   PERICOT                    
LIEU-DIT   PERROT                     
LIEU-DIT   PETIT BARBAN               
LIEU-DIT   PETIT PLANTOIS             
LIEU-DIT   PETOCAT                    
LIEU-DIT   PEY DE LABAT EST           
LIEU-DIT   PEY DE LABAT OUEST         
LIEU-DIT   PIC                        
LIEU-DIT   PIECE D AILLAS             
LIEU-DIT   PIECE D ARMAN              
LIEU-DIT   PIECE DE PIERRE            
LIEU-DIT   PIECE DES GUERRINS         
LIEU-DIT   PIECE DES VIMIERES         
LIEU-DIT   PIECE DU MOULIN            
LIEU-DIT   PIECE DU PALAYRE           
LIEU-DIT   PIGAS                      
LIEU-DIT   PINET                      
LIEU-DIT   AUX PLACES                 
LIEU-DIT   AU PLANTOIS NORD           
LIEU-DIT   AU PLANTOIS SUD            
LIEU-DIT   POULET                     
LIEU-DIT   LA PRADE                   
LIEU-DIT   LA PRADE DE HAOUT          
LIEU-DIT   PRE DE CAILLAOU            
LIEU-DIT   PRE DE L EGLISE            
LIEU-DIT   PRE DE LA BASSANNE         
LIEU-DIT   PRIAC                      
LIEU-DIT   QUINCARNON                 
LIEU-DIT   RAZIN                      
LIEU-DIT   REGANET                    
LIEU-DIT   LA RENARDEYRE              
LIEU-DIT   AU REPASSAT                
LIEU-DIT   RHE                        
LIEU-DIT   RICHARD                    
LIEU-DIT   RIOULET                    
LIEU-DIT   A ROCHET                   
LIEU-DIT   ROE                        
LIEU-DIT   ROUGEY                     
LIEU-DIT   ROUX                       
LIEU-DIT   ROUZET                     
LIEU-DIT   A SALLETTE                 
LIEU-DIT   AU SANDAT                  
LIEU-DIT   SATAGNET                   
LIEU-DIT   SERE                       
LIEU-DIT   AUX SIX JOURNAUX           
LIEU-DIT   AU SOURD                   
LIEU-DIT   AU SYNDIC                  
LIEU-DIT   LE TACH                    
LIEU-DIT   LES TACHOUEYRES            
LIEU-DIT   TECQUEY                    
LIEU-DIT   TENIN                      
LIEU-DIT   LA TERRE FORTE             
LIEU-DIT   TERRES DE PURGUETTE        
LIEU-DIT   TERRES DE JANOUTIC         
LIEU-DIT   TERRES FORTES              
LIEU-DIT   TINGAT                     
LIEU-DIT   TISSEOU                    
LIEU-DIT   TIVOLY                     
LIEU-DIT   TONNEDOURE                 
LIEU-DIT   LE TORD                    
LIEU-DIT   TOURET                     
LIEU-DIT   TOUYET                     
LIEU-DIT   TOZIN                      
LIEU-DIT   TRESORIER                  
LIEU-DIT   TUILERIE                   
LIEU-DIT   TUILERIE DE BOUHEBEN       
LIEU-DIT   TUILERIE DE LEGER          
LIEU-DIT   TUJEAU DE BERLIN NORD      
LIEU-DIT   TUJEAU DE BERLIN SUD       
LIEU-DIT   PURGUETTE                  
LIEU-DIT   LA VILLE                   
AVENUE     DE BOUHEBEN                
           commune :     AMBARES-ET-LAGRAVE             departement : GIRONDE                       
LOT        ARTISANAL DE SABAREGES     
LOT        LES ALBIZZIAS              
LOT        ECO QUARTIER DES ERABLES   
CLOS       AZALEE                     
CITE       BEL AIR                    
LOT        DOMAINE DES COUTINS        
LOT        DOMAINE DE BEAUSEJOUR      
LOT        CHATEAU DU GUA 3           
LOT        CHATEAU DU GUA 2           
LOT        CHATEAU DU GUA 1           
LOT        PLACE DU CANTON 2          
LOT        CLOS DES BLANDATS          
CITE       DES BLANDATS               
LOT        LA CAMPANIE                
LOT        PLACE DU CANTON 1          
LOT        CLOS SAINT PIERRE 1        
LOT        LE COTEAU                  
LOT        LE SQUARE CLEMENCEAU       
LOT        LE CHEMIN DE LA VIE        
CITE       LAVOISIER                  
LOT        LE COTEAU                  
HAM        DE LA CLAIRIERE            
           LES DEMEURES DE GRAVES 1   
           LES DEMEURES DE GRAVES VI  
           LES COTEAUX DE GRAVES 1    
           LES COTEAUX DE GRAVES II   
RESIDENCE  LES HAUTS D AMBARES        
LOT        DOMAINE D'HOSTEIN 1        
LOT        DOMAINE D HOSTEIN 2        
RESIDENCE  LE CLOS DU PRIEURE         
LOT        CLOS DE L'HISTOIRE         
LOT        LE CLOS DE MARSILLON       
LOT        LES COUTINS II             
LOT        LES JARDINS DE BERNATET    
LOT        LES JARDINS DE BROUSTEY    
LOT        LES JARDINS DE LA LANDE    
LOT        LES JARDINS DU PRIEURE     
CLOS       LAMARTINE                  
LOT        PLACE DE LA LIBERTE        
LOT        LE CLOS DE LOUSTEAUNEUF    
DOMAINE    DE MARTET                  
LOT        MOULIN DU GUA 1            
LOT        MOULIN DU GUA 2            
LOT        MOULIN DU GUA 3            
LOT        LA MOULINE                 
LOT        LES ORMEAUX                
LOT        PAGE                       
DOMAINE    DE PARABELLE               
LOT        LA PERGOLA                 
RESIDENCE  LES PRES DE MICKAELIS      
LOT        LES 4 SAISONS              
LOT        LES ROSES                  
RESIDENCE  LE PRE DE SABAREGES        
CENTRE     SAINT DENIS                
CLOS       ST GEORGES                 
CLOS       ST MICHEL                  
LOT        LES TILLEULS               
LOT        DU VAL DE BARES            
LOT        LES VILLAS MARQUET         
LIEU-DIT   AGNANS                     
LIEU-DIT   LES BADAUNES               
LIEU-DIT   BAGNOLET                   
LIEU-DIT   BARAILLE                   
LIEU-DIT   BARAU                      
LIEU-DIT   BARBOT                     
LIEU-DIT   BAREYRES                   
LIEU-DIT   BAROT                      
LIEU-DIT   BEAUJET                    
LIEU-DIT   BEAUSEJOUR                 
LIEU-DIT   BEL-AIR                    
LIEU-DIT   BELLEVUE                   
LIEU-DIT   BERNATETS                  
LIEU-DIT   BILLOQUET                  
LIEU-DIT   LA BLANCHE                 
LIEU-DIT   LES BLANDATS               
LIEU-DIT   BOIS DE LA BLANCHE         
LIEU-DIT   LE BOIS VERT               
LIEU-DIT   LE BOURG                   
LIEU-DIT   AU BOUT DU PARC EST        
LIEU-DIT   BOUT DU PARC OUEST         
LIEU-DIT   BRANDIER                   
LIEU-DIT   BRECHET                    
LIEU-DIT   BREDE                      
LIEU-DIT   LE BROUSTEY                
LIEU-DIT   LE BUISSON                 
LIEU-DIT   LA CABANE                  
LIEU-DIT   CABLAN                     
LIEU-DIT   CAILLAU                    
LIEU-DIT   LE CANTON                  
LIEU-DIT   CARTAU                     
LIEU-DIT   LES CAUSSELLES             
LIEU-DIT   CHANTE L ALOUETTE          
LIEU-DIT   AU CHAPELEY                
LIEU-DIT   CHATAIGNIER                
LIEU-DIT   CHATEAU DE SAINT DENIS     
LIEU-DIT   CHAUVET                    
LIEU-DIT   CHEMIN DE LA VIE           
LIEU-DIT   LE CHENE VERT              
LIEU-DIT   COMPAN                     
LIEU-DIT   LE COUDE                   
LIEU-DIT   COUDE                      
LIEU-DIT   COURTEFESSE NORD           
LIEU-DIT   COURTEFESSE SUD            
LIEU-DIT   LES COUTINS                
LIEU-DIT   LA CROIX NOIRE             
LIEU-DIT   DURANDEAU                  
LIEU-DIT   FORMONT                    
LIEU-DIT   LE GAES                    
LIEU-DIT   GARLOP EST                 
LIEU-DIT   GARLOP OUEST               
LIEU-DIT   GAROUILLA                  
LIEU-DIT   GAUDIN                     
LIEU-DIT   GAUSSELAND                 
LIEU-DIT   LE GAY                     
LIEU-DIT   GOBOLE                     
LIEU-DIT   LA GORP NORD               
LIEU-DIT   LA GORP SUD                
LIEU-DIT   GRAIN                      
LIEU-DIT   GRAND JEAN                 
LIEU-DIT   GRAND MARAIS               
LIEU-DIT   LA GRANDE PALUE DE SABAREG 
LIEU-DIT   GRANDE GORP                
LIEU-DIT   LE GRANOUILLA              
LIEU-DIT   LE GRAVA                   
LIEU-DIT   LA GRAVE EST               
LIEU-DIT   LA GRAVE OUEST             
LIEU-DIT   GRAVOT                     
LIEU-DIT   AU GUA EST                 
LIEU-DIT   AU GUA OUEST               
LIEU-DIT   HOSTEIN                    
LIEU-DIT   LA HOURCADE                
LIEU-DIT   JAMBES                     
LIEU-DIT   AUX JAUGUES                
LIEU-DIT   JEAN PRAT                  
LIEU-DIT   LABOURET                   
LIEU-DIT   LACANAU EST                
LIEU-DIT   LAMARQUE                   
LIEU-DIT   A LA LANDE                 
LIEU-DIT   LAREE                      
LIEU-DIT   LAUMENA                    
LIEU-DIT   LOUSTAUNEUF                
LIEU-DIT   LOUSTAUNEUF SUD            
LIEU-DIT   LYONNAIS                   
LIEU-DIT   MALERET                    
LIEU-DIT   MANCHET                    
LIEU-DIT   MARAIS DE PEYCHAUD         
LIEU-DIT   MARANSINS                  
LIEU-DIT   MARQUET NORD               
LIEU-DIT   MARQUET SUD                
LIEU-DIT   MARSILLON                  
LIEU-DIT   MARTET NORD                
LIEU-DIT   MARTET SUD                 
LIEU-DIT   LE MAYNE                   
LIEU-DIT   MERLET                     
LIEU-DIT   METAIRIE DES JAUGUES       
LIEU-DIT   MICHAELIS                  
LIEU-DIT   LA MOINESSE                
LIEU-DIT   MORINS                     
LIEU-DIT   MOULIN DE BATAILLEY        
LIEU-DIT   MOULIN DU GUA              
LIEU-DIT   LA MOULINE NORD            
LIEU-DIT   LA MOULINE-SUD             
LIEU-DIT   L OEIL DU PAS              
LIEU-DIT   PALUE DE BEAUJET           
LIEU-DIT   PALUE DE COURTEFESSE       
LIEU-DIT   PALUE DE LA BLANCHE        
LIEU-DIT   LA PALUE DE SABAREGES      
LIEU-DIT   PARABELLE                  
LIEU-DIT   PAS DU LOUP                
LIEU-DIT   PATATAS                    
LIEU-DIT   PELET                      
LIEU-DIT   PELET EST                  
LIEU-DIT   PETITE GORP EST            
LIEU-DIT   PETITE GORP OUEST          
LIEU-DIT   PEYCHAUD                   
LIEU-DIT   PICON                      
LIEU-DIT   LES PLACEOTS               
LIEU-DIT   LES PLACES                 
LIEU-DIT   PLANCAT                    
LIEU-DIT   POMERIE                    
LIEU-DIT   PONCHUT                    
LIEU-DIT   PONTET                     
LIEU-DIT   LE POTEAU                  
LIEU-DIT   LE POUGEAU                 
LIEU-DIT   POUSSEGUERE                
LIEU-DIT   PRINCETEAU                 
LIEU-DIT   LE PROTESTANT              
LIEU-DIT   RABANEAU                   
LIEU-DIT   LA RICODONNE               
LIEU-DIT   LES ROBACANS               
LIEU-DIT   ROCHEFORT                  
LIEU-DIT   SABAREGES                  
LIEU-DIT   SADIRAUT                   
LIEU-DIT   SAINT DENIS                
LIEU-DIT   SAINT SEVER                
LIEU-DIT   SAURIN                     
LIEU-DIT   SICART                     
LIEU-DIT   SURIN                      
LIEU-DIT   LE TARREY D AILLABAU       
LIEU-DIT   TERRASSON                  
LIEU-DIT   LE TILLAC                  
LIEU-DIT   LA TOQUE                   
LIEU-DIT   TOUTIFAUT                  
LIEU-DIT   LES TRETINS                
LIEU-DIT   LE TREUIL                  
LIEU-DIT   TRUQUET                    
LIEU-DIT   VERDO                      
LIEU-DIT   CITE DU BOURG              
LIEU-DIT   LE MAIL DES TILLEUIS       
VOIE       RAPIDE BASSENS AMBES       
           AUTOROUTE A 10             
           D 257                      
           D 942                      
RUE        ABBE DULONG                
IMPASSE    ABBE LALANNE               
RUE        ALFRED JARRY               
RUE        ALFRED DE MUSSET           
RUE        DES ALBATROS               
RUE        DES ALBIZZIAS              
RUE        ANDRE CLANIS               
PLACE      ARMAND CHAMPEAU            
RUE        AMPERE                     
RUE        ANDRE LIGNAC               
RUE        D ANJOU                    
PLACE      DE L ARBRE DE LA LIBERTE   
RUE        D ARGENTEUIL               
RUE        DE L AVENIR                
IMPASSE    ANTOINE POL                
CHEMIN     DES BADAUNES               
RUE        DE BARBERE                 
CHEMIN     DE BAREYRES                
RUE        DE BAROT                   
IMPASSE    BARRUS                     
CHEMIN     DU BARUS                   
RUE        DE BASSENS                 
CHEMIN     DE BEAUJET                 
RUE        DE BEAUSEJOUR              
AVENUE     BEL AIR                    
CITE       BEL AIR PAVILLONS          
CHEMIN     DE BERNATET                
IMPASSE    BERNATET                   
IMPASSE    DES BLANDATS               
RUE        DES BLANDATS               
CHEMIN     DU BOIS DE LA BLANCHE      
CHEMIN     DU BOIS VERT               
ALLEE      DU BOIS VERT               
RUE        BORIS VIAN                 
RUE        DU BOUT DU PARC            
RUE        DE BRANDIER                
CHEMIN     DE BRECHET                 
RUE        DU BROUSTEY                
CHEMIN     DU CAILLOU                 
CHEMIN     DE CAMPAN                  
RUE        DE CANTERANE               
RUE        DU CANTON                  
