20151101
09         ARIEGE                        
LIEU-DIT   PECH AURIOL ET MONTMIJA    
LIEU-DIT   PEYREGUEL ET MOURGUES      
LIEU-DIT   PEYRO FIGUIERO             
LIEU-DIT   PEYROS JUNTOS ET TERRAC    
LIEU-DIT   PEYROS JUNTOS              
LIEU-DIT   PLUTELS ET LA PRADE        
LIEU-DIT   PUJOLS DE LA FERRIERE ET G 
LIEU-DIT   PUYPARLANT                 
LIEU-DIT   RIBALS DE PENO             
LIEU-DIT   RIBELLOS                   
LIEU-DIT   SAINT PIERRE               
LIEU-DIT   SARRAT DE MESCLE           
LIEU-DIT   SARRAT DES AOUZELS ET AUTR 
LIEU-DIT   TERRE NEGRO                
LIEU-DIT   LA TRENGUE                 
LIEU-DIT   LA TRURIERE                
LIEU-DIT   VIGNE PERBEYRE             
LIEU-DIT   VILLAGE                    
CHEMIN     D ANDARS                   
ROUTE      D ARQUES                   
RUE        DE LA CAMPAGNE             
RUE        DE CAYCHAX                 
CHEMIN     DU CIMETIERE               
RUE        DE L EGLISE                
PLACE      DE L EGLISE                
PLACE      DE LA MAIRIE               
CHEMIN     DES MOURGUES               
RUE        DE NAPPY                   
N          20                         
ROUTE      PAROUMES                   
CHEMIN     DES PLUTELS                
RUE        DU PRESBYTERE              
RUE        DU POUSSADOU               
CHEMIN     DE REBEU                   
RUE        DE REY SEC                 
CHEMIN     DES RIBELLES               
           commune :     ALEU                           departement : ARIEGE                        
LIEU-DIT   AGOUADIS                   
LIEU-DIT   ALIOU                      
LIEU-DIT   AMAGUAT                    
LIEU-DIT   ASPREX                     
LIEU-DIT   AUBAGNE                    
LIEU-DIT   LE BACANT                  
LIEU-DIT   BANS                       
LIEU-DIT   LA BARAQUE                 
LIEU-DIT   BARGUEROS                  
LIEU-DIT   BARTE                      
LIEU-DIT   BATAILLET                  
LIEU-DIT   BAUCH                      
LIEU-DIT   BEDELLOURA                 
LIEU-DIT   BEDILLET                   
LIEU-DIT   BEDILLOUSE                 
LIEU-DIT   BENTAILLOU                 
LIEU-DIT   BERDUQUET                  
LIEU-DIT   BERGE                      
LIEU-DIT   LA BERNADOLE               
LIEU-DIT   LA BERNEDE                 
LIEU-DIT   BERNEDE                    
LIEU-DIT   LA BERNERE                 
LIEU-DIT   BERNOUY                    
LIEU-DIT   BIECH                      
LIEU-DIT   BIGNALOU                   
LIEU-DIT   BOIS DE DEJOUS             
LIEU-DIT   SUR LE BOIS DE DIJOUS      
LIEU-DIT   BOIS DE GABACH             
LIEU-DIT   BOIS DE GALLAS             
LIEU-DIT   BOIS DE LA FOUNT           
LIEU-DIT   BOIS DE LA HAGE            
LIEU-DIT   BOIS DE LYLLE              
LIEU-DIT   BOIS DE ROUACH             
LIEU-DIT   BORDE DE LAS BOUSIGUES     
LIEU-DIT   BORDE DE ROUSSEAU          
LIEU-DIT   BORDO NAOU                 
LIEU-DIT   LA BORGUERO                
LIEU-DIT   BOSC D ISABE               
LIEU-DIT   BOSC DE COURATTE           
LIEU-DIT   BOSC DE GANDE              
LIEU-DIT   BOSC DE LA CARBOUERE       
LIEU-DIT   BOSC DE LA COSTE           
LIEU-DIT   BOSC DE LA PELADE          
LIEU-DIT   BOSC DEL BARAILLAT         
LIEU-DIT   BOSC DRILO                 
LIEU-DIT   BOULOUGNE                  
LIEU-DIT   BOURDAOU                   
LIEU-DIT   LA BOURDASSE               
LIEU-DIT   BOURDAU                    
LIEU-DIT   BOUSQUET                   
LIEU-DIT   LE BOUSQUET                
LIEU-DIT   BOUZIGASSES                
LIEU-DIT   BRANCALOT                  
LIEU-DIT   BROUCAILLUS                
LIEU-DIT   BRUNET                     
LIEU-DIT   CABESSAOU                  
LIEU-DIT   CAMANSOU                   
LIEU-DIT   CAMARTIA                   
LIEU-DIT   CAMMAGNUS                  
