20151101
RUE        EMILE LEFEBVRE             
RUE        EMILE ZOLA                 
RUE        DES ERABLES                
RUE        ERNEST RENAN               
RUE        ETIENNE DOLET              
IMPASSE    ETIENNE DOLET              
RUE        EUGENE D HALLENDRE         
PLACE      DE FLERS DE L ORNE         
RUE        FLORENT EVRARD             
RUE        DES FOSSES                 
RUE        FRANCOIS LAMBERT           
IMPASSE    DE LA FRATERNITE           
RUE        GASTON FILLIETTE           
RUE        GEORGES FOURNIER           
RUE        GEORGES LOUCHET            
RUE        GONDRY                     
RUE        DE GRENOBLE                
RUE        DE GUERET                  
RUE        HILAIRE MICHAUT            
SQUARE     HUBERT CREPIN              
RUE        DES IFS                    
RUE        JEAN-BAPTISTE LEBAS        
RUE        JC D'HONDT                 
RUE        JEAN ETIENNE               
PLACE      JEAN JAURES                
IMPASSE    JEAN JAURES                
RUE        JEAN MOULIN                
RUE        JEAN ZAY                   
RUE        JULES BUCQUET              
RUE        DE KIRCHENBOLLENBACH       
CITE       LEFEBVRE                   
RUE        DE LAON                    
RUE        DE LAVAL                   
RUE        LAVOISIER                  
RUE        LEON MATHIEU               
RUE        LA FONTAINE                
IMPASSE    DE LA LIBERTE              
RUE        DE LISBONNE                
RUE        DE LONDRES                 
RUE        LUCIEN DISTINGHIN          
RUE        DE LYON                    
RUE        DE LUXEMBOURG              
RUE        DE MADRID                  
RUE        DE MACON                   
IMPASSE    DE LA MAIRIE               
RUE        DU MANS                    
RUE        MARC LANVIN                
RUE        MARCEL ACHARD              
RUE        MARCEL DELIS               
RUE        MARCEL GUIDE               
RUE        MARCEL PAGNOL              
IMPASSE    DE LA MARNE                
RUE        MATHIEU FLORIDE            
RUE        MAURICE CARON              
RUE        MAURICE SERGEANT           
RUE        MARX DORMOY                
RUE        DE MELUN                   
RUE        DE METZ                    
CHEMIN     DES MORTS                  
RUE        DU MOULIN HACART           
RUE        MICHEL SELAME              
RUE        DE MOULINS                 
RUE        DE NANCY                   
RUE        DE NANTES                  
RUE        D ORLEANS                  
RUE        PASCAL                     
RUE        PASTEUR                    
RUE        PAUL CAMPHIN               
SQUARE     PAUL CAMPHIN               
RUE        PAUL HANTZ                 
RUE        DU PERE ORCEAU             
RUE        DES PEUPLIERS              
IMPASSE    PIERRE BEREGOVOY           
