20151101
LIEU-DIT   LA VALLEE DE L ETANG       
LIEU-DIT   LA VALLEE DE LUNETTE       
LIEU-DIT   LES VERSEES                
LIEU-DIT   LA VIGNE BLANCHE           
LIEU-DIT   LE VIGNEAU                 
LIEU-DIT   LA VIGNIERE                
           ZONE ARTISANALE            
CHEMIN     DU BIARD                   
CHEMIN     DE LA BOUCHONNERIE         
IMPASSE    DU BOURG                   
ROUTE      DU BOURGET                 
ROUTE      DE LA BUOTTIERE            
ROUTE      DE LA CARRIERE             
ROUTE      DU CHATEAU                 
ROUTE      DE LA CHAUMINE             
ROUTE      DE LA CHENOLLIERE          
CHEMIN     DU CHER                    
RUE        DU COMMERCE                
CHEMIN     DU COTEAU                  
RUE        DE L'EGLISE                
ROUTE      DE LA FOLTIERE             
ROUTE      DE LA GAUTERIE             
CHEMIN     DU HAUT SERELLE            
PLACE      MAIRIE                     
ALLEE      DU MARRONNIER              
CHEMIN     DE L'ORMEAU                
ROUTE      DU PERCHAS                 
CHEMIN     DU PERNAS                  
IMPASSE    DU PERNAS                  
ROUTE      DU PERNAS                  
ROUTE      DU PERRIN                  
CHEMIN     DU PETIT PERCHAS           
IMPASSE    DE LA PILTIERE             
ROUTE      DE LA PILTIERE             
ROUTE      DU PONT                    
CHEMIN     DE PREUILLAND              
ROUTE      DE PREUILLAND              
ROUTE      DE LA POUVARDERIE          
CHEMIN     DE LA RABOTTIERE           
ROUTE      DU SEIGLE VERT             
ROUTE      DE SERELLE                 
CHEMIN     DE LA TOUCHE               
ROUTE      DE LA VALLEE               
ROUTE      DE LA VARENNE              
CHEMIN     DES VIGNES                 
CHEMIN     DE LA CAILLAUDIERE         
ROUTE      DE LA CAILLAUDIERE         
           commune :     AREINES                        departement : LOIR ET CHER                  
           LYCEE AGRICOLE             
LIEU-DIT   BELLESORT                  
LIEU-DIT   LA BERGERIE                
LIEU-DIT   LA BIZARDERIE              
LIEU-DIT   BOIS D HUCHIGNY            
LIEU-DIT   BOIS DE BRULENE            
LIEU-DIT   BOIS DU BILLOIR            
LIEU-DIT   LE BON BIEN                
LIEU-DIT   BOURDIGAL                  
LIEU-DIT   LE BOURG                   
LIEU-DIT   BRULENE                    
LIEU-DIT   CHAMP DE SAINT MARTIN      
LIEU-DIT   CHAPE D ANE                
LIEU-DIT   CHATEAU MARGOT             
LIEU-DIT   LE CHEMIN VERT             
LIEU-DIT   LE CHENE BROSSIER          
LIEU-DIT   COGNEBUEE                  
LIEU-DIT   LA COUTURE                 
LIEU-DIT   LA CREPINERIE              
LIEU-DIT   LA CROIX BEDIN             
LIEU-DIT   LA CROIX ROUGE             
