20151101
2B         HAUTE CORSE                   
LIEU-DIT   PRUNO                      
LIEU-DIT   PUNTA A PINZALONE          
LIEU-DIT   PUNTA MEZZANI              
LIEU-DIT   PUNTA QUERCETTO            
LIEU-DIT   QUERCETTO                  
LIEU-DIT   QUERCIE RITONDO            
LIEU-DIT   QUERCIETA                  
LIEU-DIT   QUERCIO                    
LIEU-DIT   QUERCIO AL POJOLO          
LIEU-DIT   QUERCIOLA                  
LIEU-DIT   QUERCITELLO                
LIEU-DIT   RADELLE                    
LIEU-DIT   RAFANIONE                  
LIEU-DIT   RALIGLIA                   
LIEU-DIT   RALLA                      
LIEU-DIT   REDUNI                     
LIEU-DIT   RIPALE DI BANNI            
LIEU-DIT   RITTOLO                    
LIEU-DIT   ROSOLOJO                   
LIEU-DIT   ROSSA CHINA                
LIEU-DIT   SALINO                     
LIEU-DIT   SAN STEFANO                
LIEU-DIT   SANERAJA                   
LIEU-DIT   SANTO CROCE                
LIEU-DIT   SBARRA PORCO               
LIEU-DIT   SCOLCHE                    
LIEU-DIT   SETONIA                    
LIEU-DIT   SIALARI                    
LIEU-DIT   SINEVALLE                  
LIEU-DIT   SOLANA CAGIAJA             
LIEU-DIT   SOLANO CAMPANAJO           
LIEU-DIT   SORBE                      
LIEU-DIT   SPONDA ORTIBORIO           
LIEU-DIT   SPONDO ROSSO               
LIEU-DIT   SPONGANEGRO                
LIEU-DIT   STICULACCIE                
LIEU-DIT   STRETTA                    
LIEU-DIT   SUALELLO                   
LIEU-DIT   TADDEACCIE                 
LIEU-DIT   TAFO NATTA                 
LIEU-DIT   TANE                       
LIEU-DIT   TERRAZZOLO                 
LIEU-DIT   TETINA                     
LIEU-DIT   TIEULAJA                   
LIEU-DIT   TOFO                       
LIEU-DIT   TOMERACCIA                 
LIEU-DIT   TOPE                       
LIEU-DIT   TREGINAGLIA                
LIEU-DIT   VACCAJA                    
LIEU-DIT   VALGHE                     
LIEU-DIT   VALLANDRIA                 
LIEU-DIT   VALLE                      
LIEU-DIT   VALLE A QUERCIOLA          
LIEU-DIT   VALLE AL CASTAGNO          
LIEU-DIT   VALLE ANDACCIE             
LIEU-DIT   VALLE DEVARI               
LIEU-DIT   VALLO                      
LIEU-DIT   VECCHIOLE                  
LIEU-DIT   VENGELISTA                 
LIEU-DIT   VENTOSA                    
LIEU-DIT   VERIEMESCO                 
LIEU-DIT   VICCAJA                    
LIEU-DIT   VIGNACCE                   
LIEU-DIT   VITOLO                     
LIEU-DIT   VITTOLO                    
LIEU-DIT   VITULENZIA                 
LIEU-DIT   VOLTE                      
LIEU-DIT   ZIBRIO                     
LIEU-DIT   ZIULETTA                   
LIEU-DIT   AITI                       
LIEU-DIT   FIUMINALE                  
LIEU-DIT   SAN LORENZO                
           commune :     ALANDO                         departement : HAUTE CORSE                   
LIEU-DIT   ACCINTO                    
