20151101
45         LOIRET                        
LIEU-DIT   BOIS DU PENDANT            
LIEU-DIT   LE BOIS TAMBONNIAU         
LIEU-DIT   LE BORDELLE                
LIEU-DIT   LA BOURELLERIE             
LIEU-DIT   LE BOURG                   
LIEU-DIT   LES BOURGOINS              
LIEU-DIT   BRISELANCE                 
LIEU-DIT   BROSSERONDE                
LIEU-DIT   LES BRUYERES               
LIEU-DIT   LE BUISSON                 
LIEU-DIT   LE CARRE                   
LIEU-DIT   LE CARRE DES ERELLES       
LIEU-DIT   LES CASTORS                
LIEU-DIT   LA CAUSTIERE               
LIEU-DIT   LES CHAMPS BLANCS          
LIEU-DIT   LES CHAMPS DE LA LETHUMIER 
LIEU-DIT   LES CHAMPS DE PIPAULT      
LIEU-DIT   LES CHAMPS DES MORTS       
LIEU-DIT   LES CHAMPS DES RATELIERS   
LIEU-DIT   LES CHAMPS DES SARADINS    
LIEU-DIT   LES CHAMPS FLEURIS         
LIEU-DIT   LES CHANDELLES             
LIEU-DIT   LE CHANTIER                
LIEU-DIT   LES CHARBONNIERES          
LIEU-DIT   LES CHARDONNEREAUX         
LIEU-DIT   LA CHAROGERIE              
LIEU-DIT   LES CHARPENTIERS           
LIEU-DIT   LA CHARRIERE               
LIEU-DIT   LE CHATEAU DE VIROY        
LIEU-DIT   LES CHATELAINS             
LIEU-DIT   LES CHATELIERS             
LIEU-DIT   LES CHEMINEES DES PEYNAULT 
LIEU-DIT   LA CHENEE                  
LIEU-DIT   LE CHESNOY                 
LIEU-DIT   LA CHISE                   
LIEU-DIT   LE CHRIST                  
LIEU-DIT   LE CLOS BEZAULT            
LIEU-DIT   CLOS DE LA FERRAGUE        
LIEU-DIT   CLOS DE LA FONTAINE        
LIEU-DIT   CLOS DE LA JUSTICE         
LIEU-DIT   CLOS DE LA POULAILLERIE    
LIEU-DIT   CLOS DE LA VALLEE A BEZE   
LIEU-DIT   LE CLOS DE MALTAVERNE      
LIEU-DIT   CLOS DE SAINT BENOIST      
LIEU-DIT   CLOS DE TREILLE DES FAUCHE 
LIEU-DIT   LE CLOS DERY               
LIEU-DIT   CLOS DES CHANDELLES        
LIEU-DIT   CLOS DES ERELLES           
LIEU-DIT   CLOS DES GRANDES CREVEES   
LIEU-DIT   CLOS DES MAUPAS            
LIEU-DIT   LE CLOS DES MIROIRS        
LIEU-DIT   CLOS DES PETITES CREVEES   
LIEU-DIT   CLOS DES PETITS LOUIS      
LIEU-DIT   CLOS DES REGNIERS          
LIEU-DIT   CLOS DES SABLONS           
LIEU-DIT   CLOS DU BASSE LOT          
LIEU-DIT   CLOS DU BOIS ROSSIGNOL     
LIEU-DIT   LES CLOS DU CANAL          
LIEU-DIT   CLOS DU CHAUMARD           
LIEU-DIT   CLOS DU CIMETIERE          
LIEU-DIT   CLOS DU GRAND BOULAS       
LIEU-DIT   CLOS DU PAS REDE           
LIEU-DIT   CLOS DU PONT               
LIEU-DIT   CLOS DU TREMBLOIS          
LIEU-DIT   LE CLOS VINOT              
LIEU-DIT   LE CLOSEAU                 
LIEU-DIT   LES CLOSEAUX               
LIEU-DIT   LA COGNETTERIE             
LIEU-DIT   LES CORTINS                
LIEU-DIT   COULEUVREUX                
LIEU-DIT   LE COUP CHAMPION           
LIEU-DIT   LA CROIX SAINT JACQUES     
LIEU-DIT   LE CROT AUX CHIENS         
LIEU-DIT   LE CUISSIS                 
LIEU-DIT   LES DADOTS                 
LIEU-DIT   ECLUSE DE LA TUILERIE      
LIEU-DIT   L ERABLE                   
LIEU-DIT   LE FAITE DES GRANDS CHAMPS 
LIEU-DIT   LA FERTE                   
LIEU-DIT   LES FONDS DE VILLENEUVE    
LIEU-DIT   LA FONTAINE                
LIEU-DIT   LA FORET                   
LIEU-DIT   LE GENETOY                 
LIEU-DIT   LES GIRAULTS               
LIEU-DIT   LES GLANDS DE L EGLISE     
LIEU-DIT   LES GOTHS                  
LIEU-DIT   LE GRAND CHENE             
LIEU-DIT   LE GRAND CLOS              
LIEU-DIT   LA GRANDE RAME             
LIEU-DIT   LES GRANDES VIGNES         
LIEU-DIT   LES GRANDS CHAMPS          
LIEU-DIT   LES GRANDS TAILLIS DE PIPA 
LIEU-DIT   LA GRASSINIERE             
LIEU-DIT   LA GREFFERIE               
LIEU-DIT   LE GROS MOULIN             
LIEU-DIT   LE GUE PIGEON              
LIEU-DIT   HAMEAU DE PIPAULT          
LIEU-DIT   LES HANTES                 
LIEU-DIT   HAUT DE LA VALLEE A BEZE   
LIEU-DIT   HAUT DU GRAND CLOS         
LIEU-DIT   LES HAUTES FEUILLES        
LIEU-DIT   LES HAUTES LOGES           
