20151101
32         GERS                          
LIEU-DIT   AU VILLAGE                 
LIEU-DIT   A VILLENEUVE               
LIEU-DIT   AUX GAVACHES               
LIEU-DIT   AU MOUSSOUMET              
LIEU-DIT   AU CHATEAU DE MESPLE       
LIEU-DIT   ENCAILLAVET                
           commune :     ANTRAS                         departement : GERS                          
LIEU-DIT   A ARTIGUEVIEILLE           
LIEU-DIT   A LA BOURDETTE             
LIEU-DIT   AU CAILLAOU                
LIEU-DIT   A CASSAN                   
LIEU-DIT   A L EGLISE                 
LIEU-DIT   A ENCANAILLE               
LIEU-DIT   AU GAY                     
LIEU-DIT   A JEANBLAN                 
LIEU-DIT   A LACOMETE                 
LIEU-DIT   A LASCOUMASSES             
LIEU-DIT   A LESTERRADES              
LIEU-DIT   A MARIEMBOURG              
LIEU-DIT   A MARAINGO                 
LIEU-DIT   A MAURET                   
LIEU-DIT   AU MOULIN                  
LIEU-DIT   AU PASTOUREAU              
LIEU-DIT   AU POUY                    
LIEU-DIT   FERME DU PRASTOULET        
LIEU-DIT   FERME D ENJOUET            
LIEU-DIT   FERME DE LACOMETE          
LIEU-DIT   HAMEAU D ENFIEUX           
LIEU-DIT   FERME D EMPIOT             
LIEU-DIT   MOULIN D ENCOHE            
LIEU-DIT   HAMEAU DE LALIGUE          
LIEU-DIT   FERME DU PASTOUREAU        
LIEU-DIT   FERME D EMBERDOT           
LIEU-DIT   FERME DE MAUPEU            
LIEU-DIT   AU CHATEAU                 
           commune :     ARBLADE-LE-BAS                 departement : GERS                          
LIEU-DIT   A BELARDINE                
LIEU-DIT   A BENELLE                  
LIEU-DIT   A BOURROUILLON             
LIEU-DIT   BRUCHOUA                   
LIEU-DIT   A CASTAGNET                
LIEU-DIT   CATCHEBOT                  
LIEU-DIT   COUHE                      
LIEU-DIT   DUPRE                      
LIEU-DIT   A LABEROLLE                
LIEU-DIT   A LARCHE                   
LIEU-DIT   MALARD                     
LIEU-DIT   A MIGNON                   
LIEU-DIT   PEILLAS                    
LIEU-DIT   PESQUEROT                  
LIEU-DIT   A REY                      
LIEU-DIT   TAILLIS                    
LIEU-DIT   TINARRAGE                  
LIEU-DIT   TURRUC                     
LIEU-DIT   TURRUCOLES                 
LIEU-DIT   VILLAGE                    
LIEU-DIT   A CURON                    
LIEU-DIT   A BEROLLE                  
LIEU-DIT   A SEIGNOURET               
