20151101
78         YVELINES                      
ROUTE      CENTRALE                   
AVENUE     CESAR FRANCK               
ALLEE      CHARLIE PARKER             
ALLEE      CHARLIE CHAPLIN            
RUE        DES CHAMPS                 
           CHANTIER SOCEA             
           LIEUDIT CHEMIN NEUF        
RUE        DU CHENE FEUILLU           
ALLEE      DES CLAIRIERES             
SQUARE     DES CIGOGNES               
ALLEE      DES CHARDONNERETS          
RUE        CLAUDE DEBUSSY             
RUE        CLAUDE ROUGET DE LISLE     
RUE        CAMILLE JENATZY            
IMPASSE    DU CLOS SEIGNEUR           
RUE        DE LA CHAUFFERIE           
RUE        COFFINIERES                
ALLEE      COLETTE                    
RUE        DES COMMUNES               
AVENUE     DE CONFLANS                
PLACE      DE LA CONSTITUANTE         
ALLEE      DES COQUELICOTS            
RUE        DES COTTAGES               
           LDT DE LA CROIX D ACHERES  
ALLEE      DANIELLE CASANOVA          
RUE        DE LA CROIX ROMPUE         
ROUTE      ROUTE DEPARTEMENTALE 30    
ALLEE      FRANCOIS TRUFFAUT          
CHEMIN     DE LA FOSSE BIDAN          
RUE        DJANGO REINHARDT           
PLACE      DELASSUE                   
AVENUE     DES DROITS DE L HOMME      
CD         N 30                       
CHEMIN     D EN BAS                   
RUE        DU 19 MARS 1962            
RUE        DESCHAMPS GUERIN           
RUE        DESCHAMPS GUERIN           
ALLEE      DENIS DIDEROT              
PLACE      DES ERABLES                
ALLEE      DE L EGLANTINE             
ALLEE      DE L ESCAPADE              
ALLEE      ELSA TRIOLET               
AVENUE     FELIX FAURE                
RUE        DES ETATS GENERAUX         
           LDT FERME DE LA GARENNE    
RUE        DUKE ELLINGTON             
           LDT FERME BALLASTIERE      
PLACE      DE LA FORET                
           LDT FERME DU BARRAGE       
           LES FONCEAUX               
RUE        GEORGES BOURGOIN           
           ZAC DU QUARTIER DE LA GARE 
RUE        ERIK SATIE                 
ALLEE      ETIENNE MEHUL              
PLACE      DES GENIEVRES              
PASSAGE    GEORGES MORIZET            
