20151101
54         MEURTHE ET MOSELLE            
LIEU-DIT   MADIAN                     
LIEU-DIT   MENUS PRES                 
LIEU-DIT   MONTANT DU PRE NOTRE DAME  
LIEU-DIT   LES MONTANTS               
LIEU-DIT   LA NOUE                    
LIEU-DIT   LA NOUE A COTE DU PRE      
LIEU-DIT   LES PAQUIS                 
LIEU-DIT   PERLOT                     
LIEU-DIT   PETIT PERLOT               
LIEU-DIT   LA PLANCHE                 
LIEU-DIT   AU PONCEL                  
LIEU-DIT   LA PRELLE                  
LIEU-DIT   PRES DE LA NOUE            
LIEU-DIT   PRES DE PUITS              
LIEU-DIT   QUART DES MEZIERES         
LIEU-DIT   RAYE BECASSE               
LIEU-DIT   REMITRESSE                 
LIEU-DIT   REVERS DES MENUS PRES      
LIEU-DIT   LA ROSIERE                 
LIEU-DIT   SUR LA ROSIERE             
LIEU-DIT   LA ROSIERE                 
LIEU-DIT   AUX ROUAUX                 
LIEU-DIT   SAULCY DE VILLERS          
LIEU-DIT   SOUS LE BOIS CHATEL        
LIEU-DIT   LES TAILLES                
LIEU-DIT   LE VILLAGE                 
LIEU-DIT   AU SORBIER                 
LIEU-DIT   SOUS LA BATLURE            
LIEU-DIT   LA GOUTTE SUR LE CHEMIN DE 
LIEU-DIT   BAN DE LAY                 
LIEU-DIT   PRELLE                     
IMPASSE    CHAMP FERRY                
ROUTE      DU CIMETIERE               
CHEMIN     DES COSSONS                
ROUTE      DE DOMMARTEMONT            
ROUTE      DE DOMMARTIN SOUS AMANCE   
RUE        DU GRAND COURONNE          
RUE        DES JARDINS                
RUE        JEAN MERMOZ                
RUE        JULES MELINE               
RUE        JULES ROUGIEUX             
RUE        DU MAL FOCH                
RUE        DU MARECHAL LYAUTEY        
RUE        MAUCOLIN                   
IMPASSE    DE LA NOUE                 
RUE        RAYMOND POINCARE           
           commune :     AINGERAY                       departement : MEURTHE ET MOSELLE            
LOT        DU MONGAMBE                
CLOS       DU MONGAMBE                
LIEU-DIT   LES ARDENNES               
LIEU-DIT   AU BAS DE MALZEY           
LIEU-DIT   AU BAS TREMBLOT            
LIEU-DIT   BOIS DE LA TETE L HERMITE  
LIEU-DIT   BOIS DE NAMPLAIN           
LIEU-DIT   BOIS DES CHOUERES          
LIEU-DIT   BOIS DES HAIOTTES          
LIEU-DIT   BOIS DU BANAL              
LIEU-DIT   AU BOUVROT                 
LIEU-DIT   AU CERISIER                
LIEU-DIT   CHANOT                     
LIEU-DIT   EN CHARMONT                
LIEU-DIT   SUR LE CHEMIN DE BANAL     
LIEU-DIT   SUR LE CHEMIN DE TOUL      
LIEU-DIT   AUX CHOUERES               
LIEU-DIT   EN CHVAUOUY                
LIEU-DIT   LA CLAIRE                  
LIEU-DIT   AU CLOSE                   
LIEU-DIT   LA COMBE                   
LIEU-DIT   SUR LE COROT               
LIEU-DIT   CORVEE MAILLOT             
LIEU-DIT   COTE DE VOIREMONT          
LIEU-DIT   LA COTE DES MULETS         
LIEU-DIT   LA COTE DU FOUR            
LIEU-DIT   COTE MELA                  
LIEU-DIT   CROIX SAINT NICOLAS        
LIEU-DIT   LE DEMOCHOT                
LIEU-DIT   DESCENDANT LA GRAND CROIX  
LIEU-DIT   AU DESSUS DE LA VAUX ETIEN 
