20151101
CHEMIN     DE BELLE HERBE             
CHEMIN     DU CHAMP DU BOIS           
CHEMIN     DES CHARMES                
RUE        CHATRIAN                   
CHEMIN     DU CIMETIERE               
CHEMIN     DU DENIS                   
CHEMIN     DES DIMES                  
CHEMIN     DU DOMESTAL                
ROUTE      DU DONON                   
RUE        DES EGLANTIERS             
PLACE      DE L EGLISE                
RUE        DE L ECOLE MATERNELLE      
CHEMIN     DES FLOTTEURS              
CHEMIN     DE LA FONTAINE AUX ENFANTS 
RUE        DE LA FORGE                
RUE        DE LA GARE                 
RUE        GENERAL JORDY              
RUE        GENERAL LECLERC            
RUE        GENERAL RAMPONT            
ROUTE      DE LETTENBACH              
RUE        DES LAURIERS               
CHEMIN     DU LAVOIR                  
RUE        DES LILAS                  
CHEMIN     DES MARJOLAINES            
RUE        DU MOULIN                  
RUE        DU MOULIN DE FRANCE        
CHEMIN     DES NOISETIERS             
RUE        DE LA PAPETERIE            
PLACE      NORBERT PREVOT             
IMPASSE    PIERRE MARIE               
PASSAGE    PIERRE MARIE               
RUE        PIERRE MARIE               
PLACE      DES PASSEURS               
RUE        DES MARNAGEURS             
CHEMIN     DES POMMIERS               
CHEMIN     DES RANTZAU                
RUE        DES ROCHES                 
RUE        DES RONDS CHAMPS           
IMPASSE    DES RONDS CHAMPS           
CHEMIN     DE RONDE ROCHE             
RUE        DE LA SARRE ROUGE          
ROUTE      DE SARREBOURG              
PLACE      DES SCIERIES               
RUE        DES SEGARDS                
RUELLE     DE SUZELLE                 
IMPASSE    DE LA VIEILLE EGLISE       
CHEMIN     DE LA VIERGE               
ROUTE      DE VOYER                   
CHEMIN     DE WALSCHEID LA VALETTE    
           commune :     ACHAIN                         departement : MOSELLE                       
LIEU-DIT   BAQUESSESRAIES             
LIEU-DIT   BOLMESADE                  
LIEU-DIT   BONNE FONTAINE             
LIEU-DIT   BRAYEMADE                  
LIEU-DIT   BRECHIELLE                 
LIEU-DIT   BREUIL                     
LIEU-DIT   CHAPEAU                    
LIEU-DIT   CHEMIN D EXPLOITATION      
LIEU-DIT   CHEMIN DE MARTHILLE        
LIEU-DIT   CHEMIN DE MORHANGE         
LIEU-DIT   CHEMIN DEPARTEMENTAL       
LIEU-DIT   CHEMIN DU MOULIN           
LIEU-DIT   CHEMIN VERT                
LIEU-DIT   CHENERVANDE                
LIEU-DIT   COLLINE DE BACKERS         
LIEU-DIT   LES COLLINES               
LIEU-DIT   COMPTU                     
LIEU-DIT   CORVEE DE BELLANGE         
LIEU-DIT   CORVEE DU HOBEL            
LIEU-DIT   CRISQUART                  
LIEU-DIT   DERRIERE LES JARDINS       
LIEU-DIT   DERRIERE LES MAISONS       
LIEU-DIT   DESERTEURS                 
LIEU-DIT   AU DESSUS DES COLLINNES    
LIEU-DIT   AU DESSUS DU PATURAL       
LIEU-DIT   DORRNICKEL                 
LIEU-DIT   SUR L ECLUSE               
LIEU-DIT   LES ENCLOS                 
LIEU-DIT   ESCHERTAL                  
LIEU-DIT   ETACKER                    
LIEU-DIT   EVERLIN                    
LIEU-DIT   FAULLOCH                   
LIEU-DIT   FONTAINE DE BACKERS        
LIEU-DIT   FOSSE                      
LIEU-DIT   GOUVERTE                   
LIEU-DIT   GRAND KIRSELIN             
LIEU-DIT   GRAND VABRE                
LIEU-DIT   GRANDE HAIE                
LIEU-DIT   LA GRANDE ROUTE            
LIEU-DIT   LA GRANDE ROUTE            
LIEU-DIT   GRANDES CHENEVIERES        
LIEU-DIT   GRANDES VIGNES             
LIEU-DIT   GYPSERIE                   
LIEU-DIT   HAIDIER                    
LIEU-DIT   HALLER                     
LIEU-DIT   HALMESSTEIN                
LIEU-DIT   HAUT CHEMIN                
LIEU-DIT   HERZIGLENGT                
LIEU-DIT   HINQUELBILLE               
LIEU-DIT   HOHLGASSE                  
LIEU-DIT   KIRSELIN                   
LIEU-DIT   KLEEPLATZ                  
LIEU-DIT   KOBEL                      
LIEU-DIT   KRITZEL                    
LIEU-DIT   LA LAMPE                   
LIEU-DIT   LANGFUHR                   
LIEU-DIT   LANGMESS                   
LIEU-DIT   LAPSADE                    
LIEU-DIT   NONZEREICH                 
LIEU-DIT   PAFFENHECK                 
LIEU-DIT   SUR LE PAQUIS              
LIEU-DIT   PATURAL                    
LIEU-DIT   PEFFERFELD                 
LIEU-DIT   PETIT BRECHIELLE           
LIEU-DIT   PETITE COLLINE             
LIEU-DIT   ROHRACKER                  
LIEU-DIT   ROSSBACH                   
LIEU-DIT   ROUTE NATIONALE            
LIEU-DIT   RUISSEAU DU MOULIN         
LIEU-DIT   SOUS ESCHERTAL             
LIEU-DIT   SOUS LA BONNE FONTAINE     
LIEU-DIT   SPARGNERFELD               
LIEU-DIT   SPITZACKER                 
LIEU-DIT   STEIGE                     
LIEU-DIT   STEINBILLE                 
LIEU-DIT   VALISPOLD                  
LIEU-DIT   VIGNES DU SEIGNEUR         
LIEU-DIT   VILLAGE                    
LIEU-DIT   VITREVENT                  
LIEU-DIT   VOIE PUBLIQUE              
LIEU-DIT   WITZ                       
LIEU-DIT   CHEMIN RURAL               
LIEU-DIT   CHENEVIERE                 
LIEU-DIT   VOIE COMMUNALE             
LIEU-DIT   ROUTE DEPARTEMENTALE N 78  
LIEU-DIT   RUISSEAU BONNE FONTAINE    
LIEU-DIT   SENTIER                    
RUE        DE L EGLISE                
RUE        DE LA FONTAINE             
ROUTE      DE MARTHILLE               
ROUTE      DE MORHANGE                
RUE        PRINCIPALE                 
           commune :     ACHEN                          departement : MOSELLE                       
LIEU-DIT   ALLWIES                    
LIEU-DIT   ALLWIESERWALD              
LIEU-DIT   ALMECK                     
LIEU-DIT   BAEMENTHAL                 
LIEU-DIT   BEI DER GALLENMUEHLE       
LIEU-DIT   BEIM TIEFEN GRABEN         
LIEU-DIT   BICHWIES                   
LIEU-DIT   BINSENGARTEN               
LIEU-DIT   BINSENWIES                 
LIEU-DIT   BREITWIDDEL                
LIEU-DIT   BREITWIES                  
LIEU-DIT   BRITZENWIES                
LIEU-DIT   BRUCH                      
LIEU-DIT   BRUEHL                     
LIEU-DIT   BUSTERHUEBEL               
LIEU-DIT   BUSTERSLACH                
LIEU-DIT   BUSTERSWALD                
LIEU-DIT   BUSTERSWIESE               
LIEU-DIT   CHAUSSEE                   
LIEU-DIT   CHRISTGARTEN               
LIEU-DIT   DELLWIES                   
LIEU-DIT   ERSTER MOHWIESERHUEBEL     
LIEU-DIT   ERZGRUB                    
LIEU-DIT   ESELSWINKEL                
LIEU-DIT   FAERBERSGARTEN             
LIEU-DIT   FIRST                      
LIEU-DIT   FLUSSWIES                  
LIEU-DIT   FOSSENECK                  
LIEU-DIT   FRON                       
LIEU-DIT   FRONERWALD                 
LIEU-DIT   FUGMORGEN                  
LIEU-DIT   GALLENMUEHLE               
LIEU-DIT   GAMBUREN                   
LIEU-DIT   GEMEINDELAND IN DER NACHTW 
LIEU-DIT   GERSTACKER                 
LIEU-DIT   GLADENBERG                 
LIEU-DIT   GRETENWIES                 
LIEU-DIT   GRIESBORNLACH              
LIEU-DIT   GROSSMAEDWIES              
LIEU-DIT   GROSSMOHWIES               
LIEU-DIT   HADERNBORN                 
LIEU-DIT   HALBACKER                  
LIEU-DIT   HEBEL                      
LIEU-DIT   HEBELFELD                  
LIEU-DIT   HEBELWIES                  
LIEU-DIT   HELGENWIES                 
LIEU-DIT   HERRGARTEN                 
LIEU-DIT   HINTER DER BICHWIES        
LIEU-DIT   HINTER DER ERZGRUB         
LIEU-DIT   HINTER DER HELGENWIES      
LIEU-DIT   HINTER DER KNEPPENWIES     
LIEU-DIT   HINTER DER NACHTWEID       
LIEU-DIT   HINTER DER REHGEISENWIES   
LIEU-DIT   HINTER DER WINBACH         
LIEU-DIT   HINTER LANGSTEINMAECHER    
LIEU-DIT   HINTERSTE ELSCHBACH        
LIEU-DIT   HOF                        
LIEU-DIT   HOEH                       
LIEU-DIT   HOHBIRNBAUM                
LIEU-DIT   HOHLBERG                   
LIEU-DIT   HUSARENBERG                
LIEU-DIT   KIMMELSBERG                
LIEU-DIT   KIRSCHBORN                 
LIEU-DIT   KIRSCHBORNHUEBEL           
LIEU-DIT   KIRSCHBORNWALD             
LIEU-DIT   KLEINFELD                  
LIEU-DIT   KLEINKNEPPENWIES           
LIEU-DIT   KLEINMAEDWIES              
LIEU-DIT   KLEINMOHWIES               
LIEU-DIT   KLEINPENNSBRONN            
LIEU-DIT   KLUSECK                    
LIEU-DIT   KNEPPENWIES                
LIEU-DIT   KOHLBERG                   
LIEU-DIT   KRITZGARTEN                
LIEU-DIT   KRITZWIES                  
LIEU-DIT   KROMMACKER                 
LIEU-DIT   LABBISCH                   
LIEU-DIT   LACHGARTEN                 
LIEU-DIT   LANGFELD                   
LIEU-DIT   LANGGARTEN                 
LIEU-DIT   LEIER                      
LIEU-DIT   LERCHENBRONN               
LIEU-DIT   MAEDWIESERGARTEN           
LIEU-DIT   MEERWIES                   
LIEU-DIT   MEERWIESER GEWENN          
LIEU-DIT   MITTERSTEN KELLEN          
LIEU-DIT   MOHRENBERG                 
LIEU-DIT   MOHRENWIES                 
LIEU-DIT   MOKENPFUHL                 
LIEU-DIT   MORGENSCHNABEL             
LIEU-DIT   MUSTHUEBEL                 
LIEU-DIT   NAUGARTEN                  
LIEU-DIT   NAUROT                     
LIEU-DIT   NAUWIESERBERG              
LIEU-DIT   NEBEN DER NACHTWEID        
LIEU-DIT   NEUWEND                    
LIEU-DIT   NIEDERBRUEHL               
LIEU-DIT   OBEN AM LANGGARTEN         
LIEU-DIT   OBEN AN BUSTERS            
LIEU-DIT   OBEN AN BUSTERSLACH        
LIEU-DIT   OBEN AN DER SALWIES        
LIEU-DIT   OBEN AN DER SURSALWIES     
LIEU-DIT   OBEN AN DER WINBACH        
LIEU-DIT   OBEN AN POLMERSWIES        
LIEU-DIT   OBEN AN SCHNEPPEN          
LIEU-DIT   OBEN IM TAL                
LIEU-DIT   OBERE LEIER                
LIEU-DIT   OBERSTEN KELLEN            
LIEU-DIT   OBERSTWINBACH              
LIEU-DIT   OLIGMUEHLE                 
LIEU-DIT   PENNSBRONN                 
LIEU-DIT   PICHWIES                   
LIEU-DIT   PICHWIESERGARTEN           
LIEU-DIT   PIFFERSRAEDCHENGEWANN      
LIEU-DIT   PIFFERSRAEDCHENWIES        
LIEU-DIT   POLMERSWIES                
LIEU-DIT   RAHLINGERWEG               
LIEU-DIT   REBBERG                    
LIEU-DIT   REBEN                      
LIEU-DIT   REDERCHINGERWEG            
LIEU-DIT   REHGEISENWIES              
LIEU-DIT   ROGGENACKER                
LIEU-DIT   RONDWIES                   
LIEU-DIT   ROSSELBERG                 
LIEU-DIT   SAARGEMUENDERWEG           
LIEU-DIT   SALWIES                    
LIEU-DIT   SATTELBACH                 
LIEU-DIT   SCHIERGARTEN               
LIEU-DIT   SCHIESSECK                 
LIEU-DIT   SCHITTEFELD                
LIEU-DIT   SCHLOESSERS GARTEN         
LIEU-DIT   SCHNEPPENWIESE             
LIEU-DIT   SCHNOKENWIES               
LIEU-DIT   SECHSACKER                 
LIEU-DIT   SELGENSTRASSE              
LIEU-DIT   SPIESERWALD                
LIEU-DIT   SPIESERWIES                
LIEU-DIT   UNTEN AN BUSTERSWALD       
LIEU-DIT   UNTEN IM TAL               
LIEU-DIT   UNTERSTE WINBACH           
LIEU-DIT   VILLAGE                    
LIEU-DIT   VOR DER BICHWIES           
LIEU-DIT   VORDERSTER ELSCHBACH       
LIEU-DIT   VORN AN SCHNEPPEN          
LIEU-DIT   WALKMUEHLE                 
LIEU-DIT   WANERS WIESE               
LIEU-DIT   WEIDESHEIMERBERG           
LIEU-DIT   WEIDESHEIMERWALD           
LIEU-DIT   WIDENHOBEN                 
LIEU-DIT   WINBACH                    
