20151101
73         SAVOIE                        
LIEU-DIT   LE MEILLER                 
LIEU-DIT   LES MOLIES                 
LIEU-DIT   LE MONT                    
LIEU-DIT   MONTRECUL                  
LIEU-DIT   LES MOULINS                
LIEU-DIT   NACRAY                     
LIEU-DIT   LES NANTS                  
LIEU-DIT   LE NATIE                   
LIEU-DIT   LE NATIER                  
LIEU-DIT   NAVETTE                    
LIEU-DIT   NEUVRE                     
LIEU-DIT   SUR NEVRET                 
LIEU-DIT   L ORMAY                    
LIEU-DIT   LE PALIN                   
LIEU-DIT   LA PERRETTE                
LIEU-DIT   LA PERRIERE                
LIEU-DIT   LA PERROTINE               
LIEU-DIT   LE PERU                    
LIEU-DIT   LE PESEY                   
LIEU-DIT   LA PETEILLE                
LIEU-DIT   LE PETIT EPIGNY            
LIEU-DIT   PETIT VERDUN               
LIEU-DIT   LA PETITE COMBE            
LIEU-DIT   LA PETITE PRAIRIE          
LIEU-DIT   LES PETITS EMPTES          
LIEU-DIT   LES PETITS GRANDS PRES     
LIEU-DIT   PEUDEGUAIN                 
LIEU-DIT   LA PIA                     
LIEU-DIT   LA PIAT                    
LIEU-DIT   LA PIAZ DU CREY            
LIEU-DIT   LA PIAZ DU PRE             
LIEU-DIT   PIAZ SAINT MARCEL          
LIEU-DIT   LA PIERRE                  
LIEU-DIT   PIERRE A MORET             
LIEU-DIT   PIERRE BLANCHE             
LIEU-DIT   LA PIERRE D EN BAS         
LIEU-DIT   LA PIERRE D EN HAUT        
LIEU-DIT   LA PIERRE DU BAT           
LIEU-DIT   PIERRES GROSSES            
LIEU-DIT   PLAMPARC                   
LIEU-DIT   PLAN DES HEURES            
LIEU-DIT   PLAN DU TRUIT              
LIEU-DIT   PLAN DU TRUY               
LIEU-DIT   PLAN PAICHU                
LIEU-DIT   PLAN PRAZ                  
LIEU-DIT   PLAN PUGIN                 
LIEU-DIT   PLAN SAPEY                 
LIEU-DIT   PLANCHAINAY                
LIEU-DIT   PLANCHAMP                  
LIEU-DIT   PLANCHAMPS                 
LIEU-DIT   LA PLANCHETTE              
LIEU-DIT   PLANET DE VORCHERE         
LIEU-DIT   LE PLANET DES MURES        
LIEU-DIT   PLANJEAN                   
LIEU-DIT   PLANSOIRE                  
LIEU-DIT   LES PLANTEES               
LIEU-DIT   LA PLANTIVE                
LIEU-DIT   LES PLANTIVES              
LIEU-DIT   PLAUTRET                   
LIEU-DIT   LE POMMARET                
LIEU-DIT   LE PONTET                  
LIEU-DIT   PRATELIN                   
LIEU-DIT   PRE A LACHAT               
LIEU-DIT   PRE AU CHAP                
LIEU-DIT   PRE BAL                    
LIEU-DIT   PRE BARREAU                
LIEU-DIT   PRE BAUDIN                 
LIEU-DIT   PRE D ENFER                
LIEU-DIT   PRE DE LA RAIE             
LIEU-DIT   PRE GREPPAS                
LIEU-DIT   PRE DE L ANE               
LIEU-DIT   PRE SALIN                  
LIEU-DIT   PREMORIN                   
LIEU-DIT   PRES CARRES                
LIEU-DIT   PRES D ENFER               
LIEU-DIT   PRES DES SAUGES            
LIEU-DIT   PRES DU MOULIN             
LIEU-DIT   PRES MORIN                 
LIEU-DIT   PRES PECLET                
LIEU-DIT   PRES SERVIER               
LIEU-DIT   PRES SOUS LES EMPTES       
LIEU-DIT   PRES TAVAN                 
LIEU-DIT   PRES VILLOUDRY             
LIEU-DIT   QUARANTE PLANES            
LIEU-DIT   QUETAR                     
LIEU-DIT   QUETAR D EN HAUT           
LIEU-DIT   EN QUINSON                 
LIEU-DIT   LA RECHAUDIERE             
LIEU-DIT   EN REVECHET                
LIEU-DIT   LE ROCHASSET               
LIEU-DIT   EN ROCHER                  
LIEU-DIT   ROSALIRE                   
LIEU-DIT   AUX ROTES                  
LIEU-DIT   SAINT LAURENT              
LIEU-DIT   LA SANTION                 
LIEU-DIT   LA SAUGE                   
LIEU-DIT   LA SAUGETTE                
LIEU-DIT   LA SENTINELLE              
LIEU-DIT   SOUS LA BIETTAZ            
LIEU-DIT   SOUS LE PONTET             
LIEU-DIT   SOUS LE PRE                
LIEU-DIT   SOUS LES EMPTES            
LIEU-DIT   SOUS NAVETTE               
LIEU-DIT   SOUS VILLOUDRY             
LIEU-DIT   LE SOUSARD                 
LIEU-DIT   TARAVAN                    
LIEU-DIT   LA TOUR                    
LIEU-DIT   LA TOUR A CHAPEAU          
LIEU-DIT   LES TREMBLES               
LIEU-DIT   LA VALETTE                 
LIEU-DIT   EN VERDAN                  
LIEU-DIT   LE VERNAY                  
LIEU-DIT   LA VERNAZ                  
LIEU-DIT   SUR LA VERNAZ              
LIEU-DIT   LE VERNE                   
LIEU-DIT   VERS L EGLISE              
LIEU-DIT   VERS LES CHAMPS            
LIEU-DIT   SUR VILLABRINGER           
LIEU-DIT   VILLARBERENGER             
LIEU-DIT   VILLARGEREL                
LIEU-DIT   SUR VILLE                  
LIEU-DIT   VILLOUDRY                  
LIEU-DIT   LA VIMORT                  
LIEU-DIT   LE VIOLARD                 
LIEU-DIT   LA VONDAN                  
LIEU-DIT   VORCHERE                   
LIEU-DIT   LAITOLET                   
LIEU-DIT   PLAN FAY                   
LIEU-DIT   LE BOCHET                  
LIEU-DIT   CHAMP LOUP                 
LIEU-DIT   LA CHARMETTE               
LIEU-DIT   LE CHATELARD               
LIEU-DIT   LA COMBE                   
LIEU-DIT   LES COMBES                 
LIEU-DIT   LA COTE                    
LIEU-DIT   LES COTES                  
LIEU-DIT   LE CRET                    
LIEU-DIT   LE GRAND PRE               
LIEU-DIT   LES GRANDS CHAMPS          
LIEU-DIT   LACHAT                     
LIEU-DIT   LADRAY                     
LIEU-DIT   LA LECHERE                 
LIEU-DIT   MURGER DES FAILLES         
LIEU-DIT   LE PLAN                    
LIEU-DIT   LE RIONDET                 
LIEU-DIT   SOUS VILLE                 
LIEU-DIT   LES TEPPES                 
LIEU-DIT   VERDUN                     
LIEU-DIT   LA GORGETTE                
LIEU-DIT   BARRAGE DE LA COCHE        
LIEU-DIT   VILLABERANGER              
LIEU-DIT   LA GRANDE PRAIRIE NORD     
LIEU-DIT   LA GRANDE PRAIRIE SUD      
LIEU-DIT   LES GRANGES D'EN HAUT      
LIEU-DIT   LES GRANGES D'EN BAS       
LIEU-DIT   SOUS LES COTES             
LIEU-DIT   SUR LES COTES              
           CHUTE DE LA COCHE          
           CHUTE DE RANDENS           
           CHUTE DE LA BATHIE         
LOT        LES HAUTS DE GRAND COEUR   
           USINE D 'INCINERATION  O.M 
           PISCINE DU MOREL           
           TRANSFO GLIERES EPINEUSES  
RUE        RUE DES ANCIENS REMPARTS   
RUE        DES VIEUX REMPARTS         
CHEMIN     DU CONTENT                 
RUE        RICHARD CURT               
RUE        DE LA GARE                 
GR         GRANDE RUE                 
N          DE GRAND COEUR             
RUE        DU PONT                    
PLACE      DE LA POSTE                
RUE        DU BARRAGE                 
RUE        DU BELLACHAT               
PLACE      DU CHATEAU                 
RUE        DU CHEVAL NOIR             
PASSAGE    DE LA COCHE                
RUE        DU CRET COQUET             
PLACE      DE L EGLISE                
CHEMIN     DU JET                     
RUE        DE LACHAT                  
PLACE      DE LA LIBERTE              
ALLEE      DES MARMOTTES              
CHEMIN     DES MOULINS                
RUE        DES MOULINS                
RUE        PIERRE A MORET             
RUE        DU PLAN DU TRUY            
RUE        DE LA PORTE                
ALLEE      DU PRESSOIR                
RUE        DU QUINSON                 
RUE        DE LA RECHAUDIERE          
PLACE      DE LA SAINT JEAN           
ROUTE      DE VILLARGEREL             
ALLEE      DES BRUYERES               
ALLEE      DES TILLEULS               
CHEMIN     DES ANCOLIES               
ALLEE      DES BOULEAUX               
CHEMIN     DES LOISIRS                
AVENUE     DE SAVOIE                  
RUE        DES THERMES                
RUE        DE L'ETRAT                 
PLACE      SAINT LAURENT              
RUE        DE LA CASCADE              
RUE        DES POMMIERS               
ROUTE      DE SAINT OYEN              
PLACE      DU 8 MAI 1945              
ALLEE      DES GENTIANES              
ALLEE      DES PEUPLIERS              
ALLEE      DU CLOS DES PINS           
CHEMIN     DU BOURJAILLET             
RUE        DE LA PLANCHETTE           
ROUTE      DE VALMOREL                
CHEMIN     DE BELLECOMBE              
RUE        DE LA PETITE PRAIRIE       
RUE        DU CANAL                   
RUE        DU BIOLLAY                 
RUE        DES TUILERIES              
ALLEE      DU CLOS MERCIER            
CHEMIN     DE LA FERME                
ALLEE      DU GRAND PRE               
ALLEE      DU REGAIN                  
RUE        DU PLAUTRET                
ALLEE      DES ARTISANS               
ALLEE      DU CLOS RUBIN              
PLACE      DE LA SAINT MARCEL         
RUE        DE VERDUN                  
CHEMIN     DU PETIT VERDUN            
CHEMIN     DE LA SENTINELLE           
RUE        DU PRE SERVIER             
CHEMIN     D'EN REVECHET              
CHEMIN     DES GLIERES                
