20151101
RUE        DE LA NOUVELLE CITE SAINT  
RUE        DU NOVION                  
IMPASSE    DE L OMBRAGE               
ALLEE      DU 11 NOVEMBRE 1918        
REMPART    DES OISEAUX                
RUE        PADOS                      
PLACE      DU PALAIS DE JUSTICE       
ALLEE      DU PARC                    
RUE        AUX PAREURS                
ROUTE      DE PARIS                   
RUE        PASTEUR                    
CHEMIN     DU PATIS                   
RUE        PAUL BENARD                
RUE        PAUL BENARD                
RUE        PAUL DELIQUE               
RUE        PAUL DUCLERCQ              
IMPASSE    DU PETIT MARAIS            
RUE        DU PETIT MARAIS            
RUE        DES PEUPLIERS              
RUE        PHILEAS LEBESGUE           
RUE        DE PICARDIE                
RUE        PIERRE BROSSOLETTE         
RUE        PIERRE SAUVAGE             
RUE        PIERRE SEMARD              
PLACE      DU PILORI                  
FG         DES PLANCHES               
RUE        DU PLANTIS                 
RUE        DES PLATANES               
RUE        DE LA PLUME                
VOIE       PLUVIOSE                   
QUAI       DE LA POINTE               
ROUTE      DES POLONAIS               
RUE        DES POMMIERS               
RUE        PONGERVILLE                
RUE        DU PONT A PLICOURT         
RUE        DU PONT AUX BROUETTES      
RUE        DU PONT D AMOUR            
RUE        DU PONT DE BOULOGNE        
PLACE      DU PONT DES PRES           
PLACE      DU PONT NEUF               
QUAI       DU PONT NEUF               
AVENUE     DU PORT                    
BOULEVARD  DE LA PORTELETTE           
RUE        DE LA PORTELETTE           
CHEMIN     DES POSTES                 
IMPASSE    DU CHEMIN DE POSTES        
RUE        DES POULIES                
RUE        PRAIRIAL                   
RUE        DU PRAYEL                  
RUE        DE PROVENCE                
BOULEVARD  DES PRES                   
AVENUE     DU PDT RENE COTY           
RUE        DU PRESIDENT LEON BLUM     
RUE        DU PDT ROBERT SCHUMAN      
AVENUE     DU PDT VINCENT AURIOL      
RUE        DES PRUNIERS               
RUE        DE QUEBEC                  
RUE        DES RAMES                  
RUE        DES RAPPORTEURS            
BOULEVARD  DE LA REPUBLIQUE           
RUE        DE LA REUNION              
RUE        RINGOIS                    
AVENUE     DU RIVAGE                  
IMPASSE    RIVE DROITE DE LA SOMME    
RUE        DE ROCHESTER               
VOY        DES ROQUES                 
IMPASSE    ROUCOULT                   
ROUTE      DE ROUEN                   
IMPASSE    DE ROUVROY                 
CHS        DE ROUVROY                 
IMPASSE    DES SALICAIRES             
RUE        DU SAINT ESPRIT            
RUE        SAINT GILLES               
GR         GDE RUE SAINT JACQUES      
PTR        PTE RUE SAINT JACQUES      
PLACE      SAINT JACQUES              
VOY        SAINT JEAN                 
RUE        SAINT PAUL                 
IMPASSE    SAINT SAUVE                
PLACE      SAINT SEPULCRE             
RUE        SAINT SEPULCRE             
PRV        SAINT VULFRAN              
RUE        SAINT VULFRAN              
RUE        SAINTE CATHERINE           
IMPASSE    SAINTE MARIE               
RUE        DES SAINTES MARIES         
RUE        SANSON                     
RUE        DES SARCELLES              
RUE        DE LA SAUTINE              
RUE        DE SAVOIE                  
RUE        DU SCARDON                 
RUE        DES SIX MOULINS            
PLACE      DU SOLEIL LEVANT           
RUE        DU SOLEIL LEVANT           
RUE        DE SOLOGNE                 
RIVE       DROITE DE LA SOMME         
RIVE       GAUCHE DE LA SOMME         
CHEMIN     DE SUR SOMME A LAVIERS     
VC         12 DE SUR SOMME A MENCHECO 
ALLEE      DU SOUVENIR FRANCAIS       
RUE        DE LA SUCRERIE             
RUE        DES SUCRIERS               
RUE        DE LA TALANCE              
RUE        DE LA TANNERIE             
RUE        DES TEINTURIERS            
RUE        DE LA TERRASSE             
RUE        THERMIDOR                  
FG         THUISON                    
GR         GDE RUE DE THUISON         
PTR        PTE RUE DE THUISON         
RUE        DES TILLEULS               
QUAI       AUX TOURBES                
