20151101
27         EURE                          
LIEU-DIT   LE GOULET DU VAL RENOULT   
LIEU-DIT   GRUCHET                    
LIEU-DIT   LES HAUTES TERRES          
LIEU-DIT   INGREMARE                  
LIEU-DIT   LES LONGS CHAMPS           
LIEU-DIT   LES LONGUES RAYES          
LIEU-DIT   MALPALU                    
LIEU-DIT   MARE DES FOSSES            
LIEU-DIT   LES MARES                  
LIEU-DIT   METREVILLE                 
LIEU-DIT   LE MONT DES VIGNES         
LIEU-DIT   MOULIN D AILLY             
LIEU-DIT   MOULIN DE LA FOLIE         
LIEU-DIT   LES ORMEAUX                
LIEU-DIT   L ORTIER                   
LIEU-DIT   LE PELLERET                
LIEU-DIT   LA PEPINIERE               
LIEU-DIT   LES PERILLEUSES            
LIEU-DIT   PIECES JACOBE              
LIEU-DIT   PLAINE D INGREMARE         
LIEU-DIT   PLAINE DE METREVILLE       
LIEU-DIT   PLAINE DES FAUX DITS       
LIEU-DIT   PLAINE DES LONDES          
LIEU-DIT   PLAINE DES QUAIZES         
LIEU-DIT   PLAINE ET BOIS DE METREVIL 
LIEU-DIT   PLAINE NOTRE DAME          
LIEU-DIT   LE POIRIER GAYOT           
LIEU-DIT   POMMIER DUBOC              
LIEU-DIT   PRE BICAULT                
LIEU-DIT   LE PRE COQUIN              
LIEU-DIT   LES QUAIZES                
LIEU-DIT   LA RENARDIERE              
LIEU-DIT   SOUS LES COLONGEAIS        
LIEU-DIT   LE VAL RENOULT             
LIEU-DIT   LA VALLEE DE GOURNAY       
LIEU-DIT   LES VIGNES D AILLY         
LIEU-DIT   LES VIVES TERRES           
ROUTE      D ACQUIGNY AILLY           
ROUTE      D ACQUIGNY                 
CHEMIN     D AILLY                    
RUE        DU BOUT DE VETZ            
RUE        DE LA BRIQUETERIE          
RUE        DE LA BROCHE               
IMPASSE    DU CHEMIN DE TOSNY         
CHEMIN     DE LA CHAPELLE             
CHEMIN     DU CIMETIERE               
RUE        DE LA BUCAILLE             
RUE        DES COLONGEAIS             
RUE        DE LA CROIX DE BUIS        
RUE        DE L EGLISE                
